h 和
hjpc 黄浦
hjpi 惠普
hjpj 黄浦江
hjpo 惠
hjpv 黄埔
hjpw 黄牌
hjqb 黄芪
hjqd 黄雀
hjqw 黄泉
hjrt 挥金如土
hjs 壶
hjsc 黄金市场
hjsg 黄山
hjsg 酣睡
hjsi 壶
hjsj 黄金时间
hjsl 黄鼠狼
hjsp 胡说
hjsq 胡适
hjst 黄色
hjt 觳
hjt. 觳
hjtg 胡同
hjtp 鹕
hjtv 黄土
hjtx 胡桃
hjty 海角天涯
hjtz 黄铜
hjwr 环境污染
hjws 环境卫生
hjxe 胡须
hjyi 黄羊
hjyk 黄页
hjym 环境优美
hjyp 韩语
hjyr 后继有人
hjys 红极一时
hjyt 欢聚一堂
hjyw 荒郊野外
hjyy 胡言
hjzi 惠州
hjzm 胡子
hjzp 获奖作品
hk 还
hk, 夯
hkar 厚爱
hkas 灰暗
hkba 惶恐不安
hkbb 厚薄
hkbc 还不错
hkbd 还不到
hkbg 还不够
hkbj 还比较
hkbk 还不
hkbn 还不能
hkbp 还被
hkbr 还不如
hkbs 还不是
hkbu 还把
hkbw 灰白
hkbx 还必须
hkcd 灰尘
hkcf 还从
hkci 还曾
hkcq 还长
hkcs 横空出世
hkcz 还存在
hkd. 还对
hkd; 还到
hkde 还得
hkdf 还贷
hkdi 厚道
hkdq 还等
hkdy 厚度
hke 瓠
hke. 瓠
hkg 虺
hkg/ 还给
hkgj 虺
hkgn 灰姑娘
hkgs 航空公司
hkgz 灰鸽子
hkh, 还好
hkhe 还很
hkhf 还会
hkhk 厚厚
hki 灰
hkir 灰
hkj 磺
hkja 磺
hkjf 还价
hkjh 还击
hkji 灰烬
hkjl 还叫
hkjm 灰阶
hkjy 还将
hkkj 还款
hkkn 还可能
hkky 还可以
hkkz 还可
hkll 灰溜溜
hklp 厚礼
hklx 还林
hkmc 还没
hkmj 航空母舰
hkmm 灰蒙蒙
hkmy 还没有
hkn. 还能
hkng 还能够
hkns 很可能是
hkpo 还怕
hkpv 还
hkqc 还清
hkqp 还请
hkqv 还去
hkqz 还钱
hkrp 还让
hks 厚
hksc 灰沙
hksl 海枯石烂
hksm 厚
hkso 厚实
hksp 还说
hksq 还手
hksq 还算
hkss 还是
hkst 灰色
hktk 海阔天空
hktp 还谈
hktv 灰土
hkwh 还未
hkwi 还为
hkwy 厚望
hkwy 还望
hkx/ 还乡
hkxd 还小
hkxe 还须
hkxf 还像
hkxl 还需
hkxp 灰心
hkxw 还向
hkxx 还想
hkxy 还需要
hkyj 还要
hkyk 还有
hkyk 还原
hkyt 还用
hkyw 还以为
hkyy 还应
hkzb 厚葬
hkzf 还债
hkzj 还真
hkzk 还在
hkzl 还只
hkzq 厚重
hkzs 还早
hl 号
hl/ 喙
hl/k 喙
hl; 号
hla 唬
hla, 唬
hlb 嗬
hlbf 嗬
hlbg 哈巴狗
hlbs 旱涝保收
hlby 嚆
hlc 嗨
hlcb 喝茶
hlce 呵斥
hlcj 喝醋
hlcl 呼哧
hlcm 呼出
hlcq 号称
hlcq 嗨
hlcr 喝彩
hld; 喝到
hlda 喝点
hldc 喝倒彩
hldi 喊道
hldj 画龙点睛
hldk 哈达
hldt 喝多
hldu 喊打
hldv 霍地
hleb 哈尔滨
hlew 何乐而不为
hlf 哈
hlfd 火力发电
hlff 哈佛
hlfn 喉
hlft 哗
hlfy 霍
hlfz 哈
hlg 嘿
hlgd 哕
hlgh 踝
hlgi 嘿
hlgq 喉管
hlhh 互利互惠
hlhj 哈哈镜
hlhl 呵呵
hlhl 哈哈
hlhl 嘿嘿
hlhl 呼唤
hlhl 呼喊
hlhr 忽冷忽热
hlhs 花里胡哨
hlht 糊里糊涂
hlhu 呵护
hlhx 活灵活现
hlhz 慌里慌张
hlj 哄
hlj/ 喉结
hlja ^嚡
hlja 哄
hljb 汗流浃背
hljc 喝酒
hljj 呼救
hljl 喊叫
hljl 呼叫
hljq 鹤立鸡群
hljs 后来居上
hljt 号角
hljv 吓
hlk 喊
hlki 咴
hlkz 喊
hll 嚯
hllf 号令
hlll 喉咙
hlll 呼噜
hllm 嚯
hllq 霍乱
hlm 吼
hlm; 吼
hlmg 哈密瓜
hlmk 号码
hlmm 黄粱美梦
hlmm 汗流满面
hlmo 哈密
hln, 喝奶
hlnn 哈尼
hlnz 哈尼族
hlp/ 哄骗
hlpw 号牌
hlqq 呼气
hlqt 哈欠
hlqu 哄抢
hlqv 唤起
hlr 呼
hlrq 呼
hlrt 哗然
hls 喝
hlsg 喝水
hlsj 呼声
hlsj 喊声
hlsj 吼声
hlsk 哈萨克
hlsq 喉舌
hlsr 喊杀
hlst 喝
hlsw 寒来暑往
hlt 唤
hltc 喝汤
hlte 唿
hltg 唤
hltl 后浪推前浪
hlto 喉头
hltu 哄抬
hltz 囫囵吞枣
hlw 嗥
hlwn 嗥
hlwo 喝完
hlxd 呼吸道
hlxj 唤醒
hlxl 呼吸
hlxl 呼啸
hlxq 哄笑
hly 哼
hly, 咳
hlyh 话里有话
hlyl 呼吁
hlyl 嚎
hlyl 哼
hlyp 喊冤
hlyt 吭
hlyy 呼应
hlz 呵
hlz, 号召
hlzh 洪涝灾害
hlzi 喊着
hlzj 喝醉
hlzl 呵
hlzm 号子
hm 孩
hmdg 函电
hmet 孩儿
hmf 隳
hmff 隳
hmgl 汗马功劳
hmha 或明或暗
hmjf 函件
hmjl 荒谬绝伦
hmld 横眉冷对
hmlt 哈姆雷特
hmm 函
hmnm 横眉怒目
hmrs 讳莫如深
hmsi 函数
hmsu 函授
hmsz 火冒三丈
hmtu 孩提
hmty 孩童
hmw 隍
hmwn 隍
hmxc 和睦相处
hmy, 孩
hmyt 黄毛丫头
hmyx 回眸一笑
hmzm 孩子
hn 弧
hn. 弘
hnbc 海纳百川
hncd 汗牛充栋
hndi 弘道
hndq 华南地区
hndy 弧度
hne. 弧
hnfc 弘法
hngf 弧光
hnhk 憨厚
hnln 红男绿女
hnmy 猴年马月
hnp 憨
hnpo 憨
hnx/ 弧线
hnxh 弧形
hnyg 患难与共
hnyu 弘扬
hnzj 患难之交
ho 宏
hoao 怀安
hob 慌
hobd 恨不得
hobh 怀表
hobn 恨不能
hobu 怀抱
hoby 寒冰
hoby 慌
hocc 寒潮
hocg 害虫
hock 寒碜
hoco 寒窗
hocq 豁出去
hoct 害处
hocu 怀揣
hocx 宏村
hode 害得
hodj 寒带
hodk 宏大
hodk 豁达
hodo 恒定
hodt 寒冬
hof 恍
hofq 恢复
hofq 恍
hoft 寒风
hog 寰
hog. 宏观
hogf 寒光
hogj 悔过
hogn 悔改
hogo 宦官
hogs 寰
hoh 害
hohc 恒河
hohf 怀化
hohj 害
hohn 恢弘
hoho 恢宏
hoho 悔恨
hoho 怀恨
hoho 恍惚
hohz 惶惑
hoj 宦
hoja 黉
hojf 寒假
hojl 寒噤
hojl 怙
hojn 宦
hojt 恒久
hojx 怀旧
hojy 悍将
hok 怀
hok. 宏
hokf 怀
hoki 恢
hokj 惶恐
hokl 豁口
hokz 憾
holc 寒流
holg 怀里
holp 宏论
holq 慌乱
holy 寒冷
homo 慌忙
homt 豁免
homu 寒门
hon 恨
hon; 恨
honf 怀念
hoo 寒
hop 逭
hopo 害怕
hopv 逭
hoq 悔
hoq/ 悔
hoqh 寰球
hoqq 寒气
hor 豁
hor, 恍如
horf 害人
horf 豁
hort 恍然
hort 豁然
hos 悍
hosd 害臊
hosg 恒山
hosh 悍
hosj 寒暑假
hosj 寒酸
hosj 憾事
hosk 害死
hoss 寒暑
hot 惚
hote 惚
hotg 宏图
hotg 鲎
how 惶
howc 恒温
howf 宏伟
howj 寒武纪
hown 惶
howo 悔悟
hoxi 害羞
hoxp 恒心
hoxs 寒暄
hoxs 恒星
hoy, 怀孕
hoyh 怀远
hoyk 宏愿
hoyk 怀有
hoyo 寰宇
hoys 怀玉山
hoyt 怀疑
hoyy 寒意
hoz 恒
hozg 怀中
hozi 怀着
hozn 慌张
hozs 恒
hp 话
hpb 谎
hpbl 话别
hpbn 鹤壁
hpbu 谎报
hpbx 话柄
hpby 谎
hpcq 谎称
hpfn 话费
hpfz 和平发展
hpgc 和平共处
hpgg 鹤岗
hpgx 祸根
hpgy 狐朋狗友
hph 罕
hphg 祸患
hphm 讳
hpho 祸害
hphp 谎话
hphx 罕
hpj 讧
hpjc 和平进程
hpjg 罕见
hpjg 黄牌警告
hpjj 和平解决
hpjl 祜
hpjn 话剧
hpjq 户籍
hpjz 讧
hpk 户
hpkb 户口簿
hpkc 户口册
hpki 诙
hpkl 户口
hpl 祸
hplg 祸
hplm 扈
hply 和平利用
hpmt 户名
hpmx 话梅
hpng 户内
hpo 戽
hpoj 戽
hpp 诨
hpp; 诨
hpq 诲
hpq/ 诲
hpqx 话
hps 褐
hpsi 户数
hpsj 祸事
hpsp 话说
hpst 褐色
hpst 褐
hpt 鹤
hptc 和盘托出
hpto 户头
hptp 和平谈判
hptp 鹤
hptq 话筒
hpts 话题
hpty 和平统一
hpwt 户外
hpwt 话务
hpwy 话务员
hpxp 诙谐
hpxy 和平协议
hpxz 话匣子
hpyb 和平演变
hpyh 和平友好
hpyp 话语
hpyy 谎言
hpyy 话音
hpyy 讳言
hpz 诃
hpzg 话中
hpzj 户政
hpzl 诃
hpzy 户主
hqab 和蔼
hqbz 后勤保障
hqd 禾
hqdv 篁墩
hqdv 禾
hqf 篌
hqfd 和服
hqfn 篌
hqft 和风
hqg 秽
hqgd 秽
hqgz 后勤工作
hqh, 和好
hqh/ 和缓
hqhc 何去何从
hqhf 和会
hqhl 合情合理
hqj 簧
hqja 簧
hqjn 和局
hqjt 和解
hqjx 划清界限
hql 和
hqmb 禾苗
hqmg 和睦
hqmi 和美
hqmm 含情脉脉
hqmy 魂牵梦萦
hqpg 和平鸽
hqpl 和平
hqqq 和气
hqqy 和亲
hqsb 横七竖八
hqsf 和尚
hqsi 和善
hqsj 和声
hqsl 和事佬
hqt 鹄
hqte 笏
hqtp 和谈
hqtp 鹄
hqw 篁
hqwn 篁
hqxg 和县
hqxn 和弦
hqxn 和稀泥
hqxp 和谐
hqxq 祸起萧墙
hqxs 和煦
hqxt 花拳绣腿
hqy 氦
hqy, 氦
hqy/ 和约
hqyx 花前月下
hqzi 和着
hqzm 害群之马
hqzx 后起之秀
hqzz 豪情壮志
hr 乎
hrbj 诲人不倦
hrbq 害人不浅
hrdw 恍然大悟
hrgs 恍如隔世
hrgt 豁然贯通
hrhs 好人好事
hrkl 豁然开朗
hrqx 乎
hrt 貉
hrtv 貉
hrtw 骇人听闻
hrxp 撼人心魄
hryh 浩如烟海
hrym 花容月貌
hryt 浑然一体
hryx 焕然一新
hrzq 浩然正气
hs 晃
hsbd 胡说八道
hsby 旱冰
hsdb 晃荡
hsdd 虎视眈眈
hsdh 晃动
hsdm 好事多磨
hsdv 旱地
hsf 晗
hsfp 晗
hsfq 晃
hsh 旱
hshd 何时何地
hshl 火烧火燎
hshr 昊
hshs 绘声绘色
hshx 旱
hsjq 旱季
hsjy 火上加油
hsk 颢
hskg 颢
hskt 哈萨克斯坦
hskw 后生可畏
hsld 欢声雷动
hslx 胡思乱想
hsmm 火烧眉毛
hsmy 浑水摸鱼
hsp 晖
hsp; 晖
hsq 晦
hsq/ 晦
hsqj 横扫千军
hsqo 旱情
hsqq 晦气
hssc 晦涩
hssl 海市蜃楼
hssm 海誓山盟
hssy 含沙射影
hst 曷
hstf 曷
hstg 旱田
hstt 旱獭
hstz 画蛇添足
hsxs 浑身解数
hsxy 欢声笑语
hsyf 晃悠
hsyh 火树银花
hsyi 旱烟
hsyl 荒山野岭
hszh 红十字会
hszi 晃着
hszo 旱灾
ht 忽
htas 昏暗
htb 獾
htbf 鹱
htbg 恨铁不成钢
htbl 獾
htby 换汤不换药
htcc 昏沉
htcw 狐臭
htdf 昏倒
htdh 狠毒
htdk 号啕大哭
htdv 忽地
htdx 哄堂大笑
hte 狐
hte. 狐
htek 忽而
htf 猴
htfj 航天飞机
htfn 猴
htfs 回天乏术
htg 猾
htg. 猾
htgk 奂
htgy 航天工业
htgy 黄土高原
htgz 猴哥
hth 犴
hthj 昏黄
hthn 虎头虎脑
hthn 昏头昏脑
hths 核糖核酸
htht 狠狠
hthx 犴
htj 猢
htjc 花团锦簇
htjd 花天酒地
htjg 忽见
htjl 猢
htjy 会谈纪要
htlg 忽略
htlt 狐狸
htly 狠辣
htm 郇
htmf 狠命
htmi 昏迷
htn 狠
htn; 狠
hto 斛
htoj 斛
hton 鲩
htpo 忽
htqd 呼天抢地
htrt 忽然
hts 昏
hts; 馄
htsa 回头是岸
htsg 昏睡
htsp 忽视
htsu 忽闪
htsw 虎头蛇尾
htsy 航天事业
httl 灰头土脸
httt 馄饨
htw 凰
htwh 猴王
htwj 哄抬物价
htwn 鳇
htwn 凰
htwu 忽闻
htxd 欢天喜地
htxp 狠心
hty 訇
htyf 忽悠
htyh 訇
htyt 狐疑
htyw 互通有无
htzm 猴子
htzu 狠抓
hu 换
hubh 换班
hubn 挥臂
hubq 挥笔
huch 护城河
huck 换成
hucm 挥出
hucq 换乘
hud, 挥刀
hude 换得
hudf 换代
hudh 挥动
hudh 撼动
hudq 护短
hudu 换掉
hudx 换档
huf, 挥发
hufc 护法
hufd 护肤
hufm 换防
hufp 换房
hug 擐
hugg 换岗
hugj 换工
hugs 擐
huhb 护花
huhc 换汇
huhe 护航
huhe 换行
huhf 换货
huhl 挥霍
huhy 挥毫
hujf 挥剑
hujn 换届
hujp 挥军
hujq 换季
huk 撼
huk. 闳
hukz 撼
hul 攉
hulc 挥泪
hulh 护理
hull 换来
hulm 攉
hulx 护林
humj 护目镜
hun 撖
huns 阚
huns 撖
hup 护
hup; 挥
hupk 护
huqi 挥拳
huqj 换取
huqq 换气
hurf 换人
hus 捍
husa 换上
husc 挥洒
husd 挥师
husf 护身符
hush 捍
husi 护送
husj 护士
husl 换手率
husq 挥手
husq 换算
husw 护身
hut 阍
hut; 阍
hutg 换
huv 阖
huv. 阖
huwf 换位
huwm 捍卫
huwm 护卫
huwq 挥舞
huwy 换文
huxc 换洗
huxj 换下
huxw 换向
huxy 换新
huy 阂
huy, 阂
huyb 换药
huyz 换言之
huzf 护住
huzi 挥着
huzi 护着
huzs 护照
huzy 换装
hv 坏
hvci 赫兹
hvct 坏处
hvdm 坏蛋
hvdu 坏掉
hvdx 坏东西
hvf 堠
hvfn 堠
hvfz 坏分子
hvg 盍
hvgc 壕沟
hvgs 盍
hvhp 坏话
hvhv 赫赫
hvkf 坏
hvm 郝
hvp 恚
hvpo 恚
hvrf 坏人
hvrt 赫然
hvsj 坏事
hvsk 坏死
hvv 赫
hvvw 赫
hvxb 坏血病
hvy 壕
hvyl 壕
hvzg 坏账
hvzz 赫哲族
hw 皇
hwbl 毫无保留
hwcv 皇城
hwdu 毁掉
hwdy 皇帝
hwgj 毫无根据
hwgo 皇宫
hwgp 皇冠
hwgx 毫无关系
hwh 鼾
hwha 皇
hwhe 皇后
hwhr 海外华人
hwhv 毁坏
hwhx 鼾
hwjo 皇家
hwlx 毁林
hwmb 宏伟目标
hwml 毁灭
hwmx 毁灭性
hwp 遑
hwpv 遑
hwq 皓
hwqa 皓
hwqb 海外侨胞
hwqx 皇权
hwro 毁容
hwrs 好为人师
hwry 荒无人烟
hwsa 皇上
hwsf 毁伤
hwsi 皓首
hwsj 鼾声
hwso 皇室
hwsu 毁损
hwt 毁
hwt. 毁
hwtz 海外投资
hwwq 回味无穷
hwwy 化为乌有
hwy/ 毁约
hwyd 皓月
hwyg 互为因果
hwyh 毁于
hwyo 毁誉
hwyt 混为一谈
hwyw 毫无疑问
hwyy 毫无意义
hwyy 毫无怨言
hwzy 皇族
hx 核
hxbc 横滨
hxbd 横行霸道
hxbz 互相帮助
hxcg 横财
hxcj 互相促进
hxco 横穿
hxcq 红杏出墙
hxcx 核查
hxd. 核对
hxdb 核蛋白
hxdc 横渡
hxdg 核电
hxdi 横断
hxdl 核动力
hxdm 横断面
hxdn 核弹
hxdo 核定
hxdz 核电站
hxe 桁
hxea 桁
hxeg 呼啸而过
hxf 桦
hxf, 核发
hxfg 横幅
hxfh 桧
hxfl 化学肥料
hxfs 核辐射
hxft 桦
hxfy 化学反应
hxg/ 横贯
hxgs 核苷酸
hxgw 欢欣鼓舞
hxgx 横杆
hxgy 化学工业
hxgz 横亘
hxj 横
hxj, 横加
hxja 横
hxjd 互相监督
hxjp 核计
hxjq 含笑九泉
hxjy 核减
hxkl 横跨
hxko 横空
hxks 核扩散
hxla 海峡两岸
hxlb 核裂变
hxlc 横梁
hxlx 横向联系
hxmm 横眉
hxn. 核能
hxqt 核潜艇
hxrg 横肉
hxrk 含辛茹苦
hxrl 核燃料
hxsj 核酸
hxso 核实
hxsq 核算
hxsq 灰心丧气
hxss 横竖
hxst 混淆视听
hxsu 横扫
hxsx 桦树
hxsx 槐树
hxsy 核试验
hxt 槲
hxti 核糖
hxtt 槲
hxtx 核桃
hxw 槐
hxwh 核武
hxwj 横行无忌
hxwn 槐
hxwq 核武器
hxws 核威慑
hxwx 核威胁
hxwy 化险为夷
hxwz 化学物质
hxx/ 横线
hxxe 横行
hxxp 核心
hxxw 横向
hxxz 核销
hxy 杭
hxy, 核
hxyq 沆瀣一气
hxys 化学元素
hxyt 杭
hxyv 横越
hxyx 会心一笑
hxz 桓
hxzc 互相支持
hxzi 杭州
hxzl 河西走廊
hxzm 核子
hxzs 杭州市
hxzs 桓
hxzy 核准
hxzz 核战争
hy 毫
hy, 劾
hy,c 亥
hy; 冱
hy;n 冱
hyao 毫安
hybk 毫不
hybm 红颜薄命
hyby 很有必要
hycx 很有成效
hycz 货源充足
hyd 肓
hydg 豪赌
hydk 皓月当空
hyds 婚姻大事
hyf 瘊
hyff 毫伏
hyfn 瘊
hyfq 获益匪浅
hyfx 花样翻新
hyfy 豪放
hygl 欢迎光临
hygl 话音刚落
hyhb 花样滑冰
hyhf 豪华
hyhx 豪华型
hyhy 好言好语
hyj 癀
hyja 癀
hyjd 会议决定
hyjj 火眼金睛
hyjs 会议精神
hyjx 豪杰
hyjy 痕迹
hyk 豪
hyk, 豪
hykg 颃
hykj 毫克
hylk 毫厘
hylq 亨利
hyly 胡言乱语
hym 亨
hym; 豪迈
hymb 毫米波
hymi 毫米
hymq 毫毛
hymu 豪门
hyn 痕
hyn; 痕
hypy 汉语拼音
hyq 麾
hyq; 毫
hyq; 麾
hyqh 后院起火
hyqj 会议期间
hyqn 豪强
hyqo 豪情
hyqq 豪气
hyqy 花言巧语
hyrw 会议认为
hys/ 豪绅
hysq 毫升
hysx 慧眼识英雄
hysz 豪爽
hyt 痪
hyt. 亨通
hytg 痪
hywc 厚颜无耻
hywh 毫无
hywl 话音未落
hyxj 麾下
hyxq 好言相劝
hyxw 很有希望
hyyd 毁于一旦
hyys 和颜悦色
hyyx 还有一些
hyyy 很有意义
hyzj 红颜知己
hyzo 豪宅
hyzy 豪言壮语
hz 或
hz. 翮
hz.; 翮
hzb 镬
hzbf 镬
hzbk 画布
hzbq 画笔
hzbq 挥之不去
hzbu 画报
hzbx 画板
hzcm 画出
hzct 画册
hzd. 或对
hzde 画得
hzdq 华中地区
hzf 铧
hzfc 画法
hzfg 画幅
hzft 画风
hzft 铧
hzfw 胡作非为
hzfz 铪
hzg 画
hzgc 何足挂齿
hzgj 画
hzhz 画画
hzi 钬
hzir 钬
hzji 画卷
hzjo 画家
hzjq 挥之即去
hzjs 货真价实
hzjy 或将
hzkh 画刊
hzkz 或可
hzly 画廊
hzlz 或
hzmk 画面
hzp 惑
hzpc 画派
hzpo 惑
hzpw 画片
hzqc 哗众取宠
hzql 火中取栗
hzqq 或缺
hzr 锾
hzrg 恨之入骨
hzri 锾
hzsa 画上
hzsd 画师
hzso 画室
hzss 或是
hzt 锪
hzte 锪
hztg 画图
hzwl 化整为零
hzwy 悔之晚矣
hzwy 画外音
hzwz 好自为之
hzxf 画像
hzxp 或许
hzxs 或许是
hzy 镐
hzy. 或以
hzyc 呼之欲出
hzyh 话中有话
hzyk 或有
hzyl 镐
hzym 画院
hzyu 画押
hzz/ 画纸
hzze 画质
hzzf 惑众
hzzg 画中
hzzj 或者
hzzn 画展
hzzs 或者说
hzzs 或者是
