z 在
zits 总体上
zitu 糌
zitv 灼
zitz 总投资
ziu 州
ziuv 州
ziv 灶
ziwk 总务科
ziwt 总务
zix/ 总线
zixd 总协定
zixe 遵循
zixq 总需求
zixx 着想
ziy 炷
ziy; 总与
ziyb 炸药
ziyd 着眼点
ziyg 着眼
ziyi 遵义
ziyj 尊严
ziyj 总要
ziyj 炷
ziyk 总有
ziys 总预算
ziyw 总以为
ziyy 着眼于
zizc 总资产
zizd 着重点
zizf 总值
zizg 总则
zizg 总账
zizh 总指挥
zizi 郑州
zizj 总政
zizk 总在
zizl 总重量
zizm 粽子
zizp 总之
zizq 着重
zizq 尊重
zizq 郑重
zizq 州长
zizq 总长
zizs 遵照
zizt 遵旨
zizy 着装
zj 再
zj. 支
zj.; 翥
zj; 载
zj;. 甄
zj;a 载
zja 髭
zjaa 髭
zjar 真爱
zjb/ 整编
zjb; 正比
zjba 正北
zjbb 正经八百
zjbc 载波
zjbg 总结报告
zjbk 直奔
zjbl 真金不怕火炼
zjbn 再不能
zjbp 正被
zjbs 再不是
zjbu 直播
zjbu 直属
zjbu 直拨
zjbw 正版
zjbw 直白
zjbw 再版
zjbx 真棒
zjby 支部
zjby 政变
zjbz 招架不住
zjca 正餐
zjcd 直肠
zjcf 正常
zjch 正常化
zjcl 支持率
zjcm 支出
zjcn 直尺
zjcp 真诚
zjcq 政策
zjcq 职称
zjcr 正常人
zjcs 折戟沉沙
zjcs 政策上
zjct 正处
zjcu 支持
zjcu 支撑
zjcv 整场
zjcx 政策性
zjcy 再次
zjcz 支持者
zjd 朝
zjd. 正对
zjd; 整顿
zjd; 遭到
zjd; 直到
zjda 支点
zjda 正点
zjde 正待
zjdf 正当
zjdf 政党
zjdg 正电
zjdh 正电荷
zjdi 正道
zjdk 直达
zjdm 支队
zjdn 正当年
zjdo 酌定
zjdp 真谛
zjdq 政敌
zjdt 再多
zjdu 直抵
zjdv 整地
zjdy 再度
zjdz 直接导致
zjfb 政府办
zjfc 政法
zjfe 正反
zjff 支付
zjfj 政府军
zjfk 作奸犯科
zjfm 正反面
zjft 正负
zjft 正方体
zjft 整风
zjft 正逢
zjfw 政法委
zjfx 正方形
zjfy 政府
zjfz 正副
zjg 直
zjg. 直观
zjg/ 再给
zjg; 正轨
zjgd 直接关系到
zjgf 整个
zjgg 正果
zjgh 正规
zjgh 正规化
zjgh 直
zjgj 职工
zjgn 整改
zjgq 正告
zjgr 整个人
zjgt 坐井观天
zjgt 栽跟头
zjh 赜
zjh, 正好
zjh, 真好
zjh, 再婚
zjha 赜
zjhb 栽花
zjhb 载荷
zjhe 支行
zjhe 直航
zjhf 整合
zjhf 再会
zjhp 真话
zjhs 朝晖
zjhv 真坏
zjhx 真核
zjj 正
zjj, 支架
zjj/ 政绩
zjj/ 正经
zjj/ 政纪
zjjb 真菌
zjjc 整洁
zjje 直径
zjjf 真假
zjjg 再见
zjjg 政界
zjjj 整
zjjn 政局
zjjn 支局
zjjo 直觉
zjjs 再就是
zjjt 直角
zjju 直接
zjjv 酎
zjjx 整机
zjjy 再就业
zjjz 捉襟见肘
zjjz 喆
zjjz 正
zjkg 真空管
zjkm 在京开幕
zjko 真空
zjko 载客
zjko 政客
zjkp 正课
zjkq 再看
zjkv 整块
zjl 哉
zjlc 支流
zjlc 直流
zjld 直流电
zjld 直截了当
zjlf 政令
zjlh 真理
zjlh 整理
zjli 煮烂
zjll 再来
zjln 直隶
zjlp 政论
zjlq 整流器
zjlr 职
zjls 酌量
zjly 直立
zjm 鄹
zjmc 再没
zjmk 正面
zjmk 直面
zjmm 真面目
zjmo 正忙
zjmq 鬃毛
zjms 载明
zjmt 正名
zjmu 正门
zjmz 再
zjn. 职能
zjnj 正南
zjnn 支那
zjnp 支农
zjnq 整年
zjnt 在劫难逃
zjo 枣
zjoj 斟
zjon 鬃
zjoo 煮
zjp 志
zjp, 真皮
zjpc 正派
zjpj 支票
zjpj 支配
zjpl 真品
zjpl 正品
zjpo 志
zjpq 整篇
zjpv 遭
zjpw 正片
zjq 政
zjq; 真切
zjqa 酢
zjqc 支渠
zjqf 政企
zjqj 正巧
zjqj 支取
zjqk 正确
zjql 正确率
zjqo 真情
zjqo 酌情
zjqq 志气
zjqq 正气
zjqr 政
zjqv 再去
zjqx 政权
zjqx 职权
zjqy 整齐
zjqz 证据确凿
zjr 真
zjr, 正如
zjrf 真人
zjrf 醉人
zjro 整容
zjrq 自即日起
zjrr 载入
zjrs 整日
zjrv 术
zjry 中级人民法院
zjs 者
zjs/ 支书
zjsb 正式版
zjsc 再生产
zjsf 遵纪守法
zjsg 真实感
zjsg 正史
zjsh 再三
zjsi 整数
zjsj 直升机
zjsj 政事
zjsm 真善美
zjso 真实
zjsp 正视
zjsp 再说
zjsq 再生
zjsr 遭受
zjss 真是
zjss 正是
zjst 正色
zjsw 直射
zjsx 真实性
zjsy 煮熟
zjsz 正式
zjsz 直爽
zjsz 珠江三角洲
zjt 酌
zjt. 直通
zjt/ 正统
zjtf 整体
zjtf 载体
zjtf 政体
zjtg 正同
zjth 整天
zjtk 整套
zjtp 再谈
zjtq 朝廷
zjts 正题
zjts 酯
zjtt 整条
zjtv 政坛
zjtv 酌
zjtx 整体性
zjwe 再往
zjwf 职位
zjwh 支委会
zjwj 支吾
zjwl 资金外流
zjwp 正误
zjwq 政委
zjwq 正午
zjwt 职务
zjwt 政务
zjwy 正文
zjwz 正襟危坐
zjx 栽
zjx/ 直线
zjx; 直辖
zjxb 正弦波
zjxc 逐渐形成
zjxf 整修
zjxh 再现
zjxh 真心话
zjxh 整形
zjxj 政协
zjxl 朝霞
zjxn 正弦
zjxp 真心
zjxq 直选
zjxs 直辖市
zjxt 直系
zjxt 朝夕
zjxw 志向
zjxw 正向
zjxx 正想
zjxx 真相
zjxx 醉醺醺
zjxy 宗教信仰
zjxz 直销
zjy 醉
zjy. 再以
zjy; 正与
zjyb 职业病
zjyc 再一次
zjyd 正月
zjyf 醉
zjyg 遭遇
zjyh 载运
zjyi 正义
zjyj 正要
zjyj 志愿军
zjyk 志愿
zjyk 遭殃
zjyk 载有
zjyl 职员
zjym 朝阳
zjyo 载誉
zjyp 再议
zjys 职业
zjyt 再用
zjyu 支援
zjyw 正因为
zjyx 直接影响
zjyy 直言
zjyz 志愿者
zjz; 直至
zjzb 知己知彼
zjzb 政治部
zjzc 政治
zjzc 整治
zjzf 正值
zjzf 作茧自缚
zjzf 再做
zjzg 栽赃
zjzg 正中
zjzh 职责
zjzi 载着
zjzj 真正
zjzj 整整
zjzj 政治局
zjzj 正直
zjzj 斟酌
zjzk 正在
zjzl 再接再厉
zjzl 载重量
zjzn 煮粥
zjzo 正宗
zjzq 载重
zjzq 真知
zjzr 追究责任
zjzs 政治上
zjzt 最佳状态
zjzu 真挚
zjzw 震惊中外
zjzx 支柱
zjzy 真主
zjzz 自给自足
zk 左
zka 砧
zkal 砧
zkao 在案
zkb, 左边
zkb/ 在编
zkba 逐步
zkbj 在北京
zkbq 逐笔
zkbr 自愧不如
zkbx 砧板
zkca 在此
zkcf 左侧
zkcm 逐出
zkct 在册
zkcv 在场
zkcy 逐次
zke 斫
zkej 斫
zkf 仄
zkfh 丈夫
zkgf 逐个
zkgg 在岗
zkgn 在国内
zkh 砖
zkh. 砖
zkha 碡
zkhc 砖混
zkhf 在华
zkhr 在乎
zkhs 罪魁祸首
zkhw 砸毁
zkhy 召开会议
zkj 殖
zkj/ 逐级
zkjc 逐渐
zkjd 左脚
zkjg 殖
zkjm 砸
zkjn 臧
zkjo 在家
zkjs 张口结舌
zkjy 在京
zkjz 左键
zkjz 左
zklh 在理
zkli 砸烂
zkls 丈量
zkly 逐鹿
zkmd 殖民地
zkmk 左面
zkmn 殖民
zkng 在内
zknl 在哪
zknl 在哪里
zknn 在那
zknq 逐年
zkp 逐
zkpc 左派
zkpv 逐
zkq 砟
zkqa 砟
zkqf 左倾
zkqg 在全国
zkqi 在前
zkqj 在其
zkrf 丈人
zkrs 逐日
zksa 左上
zksf 砸伤
zksj 在世
zksk 砸碎
zksq 左手
zkt 磔
zktd 左腿
zkto 砖头
zktr 在逃
zktt 逐条
zkty 磔
zkv 丈
zkv 在
zkw; 砖瓦
zkwf 在位
zkwg 在我国
zkwt 在外
zkwu 在握
zkwy 在望
zkx/ 在线
zkxe 在行
zkxg 在香港
zkxj 在下
zkxp 丈许
zkxq 在先
zkxs 在校生
zkxx 在校
zky. 左翼
zkyg 在野
zkyh 在于
zkyk 左右
zkyq 左移
zkys 左右手
zkyx 在一些
zkyy 在意
zkyz 逐一
zkz; 左转
zkzg 在中国
zkzj 在职
zkzl 在这里
zkzo 逐字
zkzy 在座
zkzy 专款专用
zl 只
zl; 啭
zl;a 啭
zla 嘴
zlaa 趾
zlaa 呲
zlaa 嘴
zlar 足
zlay 尊老爱幼
zlb, 嘴边
zlb; 只比
zlba 坐立不安
zlbd 坐冷板凳
zlbg 只不过
zlbh 珠联璧合
zlbm 嘴巴
zlbp 只被
zlbs 战略部署
zlbu 只把
zlbx 争论不休
zlbz 质量标准
zlca 只此
zlck 嘴唇
zlcr 足彩
zlcy 震颤
zld. 只对
zld; 只到
zldb 震荡
zlde 只得
zldh 震动
zldj 直流电机
zldk 竹篮打水一场空
zldp 只读
zldq 只等
zldw 战略地位
zldy 足底
zldz 中流砥柱
zle 踬
zlej 踬
zleo 足额
zlf 唑
zlff 唑
zlfk 振聋发聩
zlfl 嘱咐
zlfy 战略防御
zlfz 战略方针
zlg 躅
zlg/ 只给
zlgh 咀
zlgk 只顾
zlgl 质量管理
zlgn 只敢
zlgq 只管
zlgs 自力更生
zlgs 躅
zlgt 足够
zlh 啧
zlh, 只好
zlha 啧
zlhb 战略伙伴
zlhf 只会
zlhj 字里行间
zlhl 震撼力
zlhu 震撼
zli 踯
zlih 踯
zlj 吱
zlj. 吱
zlj/ 震级
zlja 喋
zljc 战略决策
zljg 只见
zljj 质量技术监督局
zljk 啫
zljm 咂
zljo 震惊
zljs 嘲
zljt 嘴角
zljy 踪迹
zljy 足迹
zlk 震
zlk, 啄
zlkf 智力开发
zlkh 震
zlkl 跖
zlkq 只看
zlkt 躁狂
zlkx 只可惜
zll 噪
zlld 嘴脸
zllf 咱俩
zllg 嘴里
zllj 足联
zlll 躁
zlll 噪
zlll 啫喱
zlls 足量
zlmb 战略目标
zlmf 咱们
zlmj 只卖
zlml 咒骂
zlmy 至理名言
zln 嘱
zln, 震怒
zln. 只能
zlne 嘱
zlnr 中老年人
zlns 只能是
zlo 踪
zlo, 咤
zlon 踪
zlp, 嘴皮
zlpo 只怕
zlps 支离破碎
zlpz 嘴皮子
zlq 咋
zlqa 躜
zlqa 咋
zlqb 吒
zlqc 足球场
zlqd 足球队
zlqg 踵
zlqh 足球
zlqj 只求
zlqo 震情
zlqs 足球赛
zlr 只
zls 嘬
zlsa 嘴上
zlsf 啄食
zlsj 噪声
zlsj 吱声
zlsj 嘬
zlso 震慑
zlsp 只说
zlsq 只剩
zlss 只是
zlsw 只身
zlsy 招揽生意
zlt 咒
zltj 崭露头角
zltu 嘱托
zltv 足坛
zltv 啁
zlu 哳
zlue 哳
zlw 咱
zlwi 只为
zlwm 指鹿为马
zlwn 唣
zlwn 咱
zlwz 杂乱无章
zlx 喳
zlxe 只须
zlxg 朝令夕改
zlxg 再立新功
zlxj 足协
zlxl 只需
zlxm 只限
zlxp 只许
zlxs 喳
zlxw 喋血
zlxx 只想
zlxy 只限于
zly 蹴
zly. 足以
zly. 足矣
zlyc 震源
zlyd 战略要地
zlyg 只因
zlyj 只要
zlyk 只有
zlyl 蹴
zlyr 哜
zlys 左邻右舍
zlys 踪影
zlyt 只用
zlyx 钟灵毓秀
zlyy 噪音
zlyz 只有在
zlza 只占
zlzd 治理整顿
zlzf 只值
zlzg 震中
zlzk 只在
zlzl 足足
zlzl 踯躅
zlzl 啧啧
zlzl 吱吱
zlzq 走来走去
zlzs 战略战术
zlzx 展览中心
zlzy 装聋作哑
zlzy 只准
zm 子
zm/ 骘
zm/z 骘
zm; 阵
zm;j 阵
zma 陟
zmaa 陟
zmak 阻碍
zmak 障碍
zmaw 障碍物
zmbd 捉摸不定
zmbf 自命不凡
zmbw 执迷不悟
zmcl 自谋出路
zmcs 专门从事
zmdb 子弟兵
zmdi 子弟
zmdl 争名夺利
zmdn 子弹
zmdu 阻挡
zmdv 阵地
zmdx 指名道姓
zmdy 自鸣得意
zmfc 阵法
zmfp 子房
zmg 阻
zmgh 走马观花
zmgh 阻
zmgm 阻隔
zmgo 子宫
zmgs 子公司
zmgx 中美关系
zmhh 照猫画虎
zmhs 怎么回事
zmhw 坠毁
zmj 陬
zmja 陬
zmjd 阵脚
zmjg 专门机构
zmjh 阻击
zmjj 阻截
zmjx 坠机
zmk 奘
zmkk 众目睽睽
zmku 阻抗
zmkv 奘
zml, 阻力
zmlb 坠落
zmlf 珠穆朗玛峰
zmli 子粒
zmlk 阵列
zmlm 珠穆朗玛
zmlu 阻拦
zmlx 坠楼
zmm/ 子母
zmml 子目录
zmmn 子民
zmn, 子女
zmnn 阻尼
zmnu 阻挠
zmq 孜
zmqa 阼
zmqr 孜
zmrc 专门人才
zmro 阵容
zmrr 坠入
zmrs 知名人士
zmsl 子嗣
zmsm 子孙
zmso 阻塞
zmsr 走马上任
zmss 子时
zmsu 阵势
zmsx 真名实姓
zmsy 贼眉鼠眼
zmty 阵痛
zmtz 殖民统治
zmv 坠
zmwq 子午
zmwx 子午线
zmwy 阵亡
zmx/ 阵线
zmxh 阵形
zmxm 在某些方面
zmy 障
zmyb 阵营
zmyg 子曰
zmyi 障
zmyj 阵雨
zmyy 子夜
zmz 子
zmza 阻止
zmzc 阻滞
zmzf 阻值
zmzl 追名逐利
zmzm 阵阵
zmzm 孜孜
zmzy 装模作样
zmzy 殖民主义
zn 张
znbm 职能部门
znbu 展播
znbx 展板
zncb 走南闯北
zncj 展翅
zncm 展出
zncn 咫尺
zndk 张大
znej 知难而进
znet 知难而退
znf, 张飞
zng 帚
zngt 展馆
zngu 张挂
zngx 帚
znhh 乍暖还寒
zni 粥
znij 粥
znj 展
znj, 展架
znja 展
znjg 张家港
znjj 张家界
znjk 张家口
znjr 周年纪念日
znkh 展开
znkh 张开
znkl 张口
znkt 张狂
znl 咫
znl, 张力
znlg 展览馆
znlg 张罗
znlh 展览会
znll 展露
znlp 展览品
znlr 咫
znls 展览
znlt 展览厅
znpl 展品
znpp 展评
znq. 张
znqj 展期
znqn 重男轻女
znqz 展区
zns 昼
znsh 展示
znso 展室
znsz 昼
znt. 展台
zntg 张贴
zntk 展厅
znw 属
znwn 属
znwy 展望
znwy 张望
znxc 展现出
znxh 展现
znxz 展销
znyu 张扬
znyy 昼夜
znzj 强者
znzl 张嘴
znzl 强制力
znzn 张张
zo 字
zo; 窒
zo;g 窀
zo;v 窒
zobh 字表
zocg ^字串
zocp 字词
zodg 字典
zodq 字第
zodw 字段
zofc 字符串
zofq 字符
zog 宙
zoga 惴
zogj 宙
zogo 宰割
zogx 字根
zoh 宗
zohb 灾荒
zohd 宗
zohl 字号
zoho 灾害
zoho 憎恨
zohp 灾祸
zohz 字画
zoi 灾
zoig 憎
zoir 灾
zoj 寨
zoj. 忮
zojb 字节
zojc ^字节串
zojj 宗教
zojj 宗教界
zojj 怔
zojr 寨
zojt 字句
zoju 字据
zojy 字迹
zoko 宰客
zoky 字库
zom/ 字母
zomb 字幕
zomk 字面
zomn 灾民
zomz 字
zon. 灾难
zonq 灾年
zonx 灾难性
zopa 字频
zopc 宗派
zopp 宗谱
zoq 窄
zoqa 怍
zoqa 窄
zoqb 宅
zoqo 灾情
zoqz 灾区
zor 忪
zor. 忪
zosd 宗师
zosi 字数
zosr 宰杀
zotf 字体
zotg 字帖
zott 字条
zoxd 窄小
zoxh 字型
zoxw 窒息
zoxx 宰相
zoy 宰
zoyg 字眼
zoyi 字义
zoyi 宰
zoym 宅院
zoyx 字样
zoyy 字音
zozf 怔住
zozg 宗主国
zozm 宅子
zozm 寨子
zozo 怔怔
zozt 宗旨
zozy 宗族
zp 之
zp, 诏
zp,l 诏
zp. 褶
zp.; 褶
zp; 谮
zp;t 谮
zpa 祉
zpaa 祉
zpag 祯
zpb; 之比
zpba 祖辈
zpbc 之滨
zpbf 之便
zpbj 之本
zpbl 之别
zpcf 祖传
zpci 之差
zpco 之窗
zpcp 证词
zpcp 之初
zpcq 之称
zpct 之处
zpdi 诊断
zpdj 之都
zpdk 之大
zpdq 之敌
zpdt 诸多
zpdt 之多
zpdv 之地
zpeh 之二
zpf 诊
zpfe 诊
zpfn 诊费
zpfp 祝福
zpfr 祖父
zpft 之风
zpg 祖
zpgb 诸葛
zpgg 祖国
zpgh 诅
zpgh 祖
zpgj 之故
zpgk 之感
zpgl 诸葛亮
zpgp 之冠
zpgy 之高
zpgz 之歌
zph, 祝贺
zphb 之花
zphe 之后
zphf 诸侯
zphq 之和
zpi 禚
zpih 禚
zpj 证
zpja 诹
zpjc 祝酒
zpjf 证件
zpjh 证监会
zpjj 证
zpjk 诸
zpjm 之际
zpjo 之家
zpjp 之计
zpjq 祖籍
zpjt 之久
zpju 之间
zpju 证据
zpjx 之极
zpjy 之交
zpk 冢
zpk, 诼
zpk, 冢
zpkl 之口
zpko 之快
zpl 祝
zpl, 之力
zplc 之流
zpli 之类
zplk 之列
zpll 之路
zplr 识
zplt 祝
zplx 之林
zply 诊疗
zpm/ 祖母
zpmk 之面
zpml 诛灭
zpmp 之谜
zpmr 证明人
zpms 证明
zpmt 之名
zpmx 证明信
zpn 肇
zpn, 之女
zpn. 之难
zpnf 祝你
zpng 之内
zpnh 肇
zpnq 之年
zpp/ 诈骗
zppf 诈骗犯
zpq 诈
zpqa 祚
zpqa 诈
zpqb 证券报
zpqi 之前
zpqi 证券
zpqj 诈取
zpqj 诛
zpql 众叛亲离
zpqo 之情
zpqq 之气
zpqy 肇庆
zpr, 诸如
zprf 证人
zprq 之日起
zprs 之日
zps/ 证书
zpsa 之上
zpsa 祖上
zpsd 祖师
zpse 诊所
zpsg 之四
zpsh 祝寿
zpsh 之三
zpsi 之首
zpsj 肇事
zpsj 真凭实据
zpsm 祖孙
zpso 证实
zpsp 之说
zpsq 之手
zpsr 诛杀
zpss 之时
zpst 之色
zpsu 之势
zpsy 之所以
zpsz 肇事者
zpt 诤
zpt; 祗
zpte 之徒
zptk 谵
zptn 诌
zptn 诤
zptp 鸩
zpty 之痛
zpv 之
zpwf 诸位
zpwi 之为
zpwj 之五
zpwq 之物
zpwt 之外
zpwy 谵妄
zpwz 这篇文章
zpx, 之嫌
zpx/ 之乡
zpxe 之行
zpxj 之下
zpxm 诈降
zpxp 之心
zpxq 祖先
zpy 谆
zpyf 之余
zpyh 之于
zpyi 谪
zpyk 祝愿
zpyl 谆
zpys 祖业
zpyt 谘
zpyy 证言
zpyy 之夜
zpyz 之一
zpz; 之至
zpza 之战
zpzc 诊治
zpzf 之作
zpzg 之中
zpzl 诅咒
zpzm 诸子
zpzo 祖宗
zpzp 谆谆
zpzs 证照
zpzt 之争
zpzt 褶皱
zpzy 证章
zq 制
zq. 长
zq/ 纂
zq/k 篆
zq/u 纂
zq; 簪
zq;t 簪
zqa 毡
zqal 毡
zqaz 乍
zqb, 怎办
zqba 长辈
zqbh 制表
zqbj 知本家
zqbk 重磅
zqbt 制备
zqbw 重兵
zqbx 自强不息
zqby 重病
zqc/ 筑巢
zqc; 租车
zqcc 造船厂
zqce 造船
zqcf 重创
zqcj 制裁
zqck 赞成
zqck 造成
zqck 制成
zqcm 长出
zqcp 造词
zqct 造册
zqcy 造船业
zqda 重点
zqde 长得
zqdf 只欠东风
zqdg 沾亲带故
zqdh 制度化
zqdi 知道
zqdk 重大
zqdk 长大
zqdn 制导
zqdo 制定
zqdp 制订
zqdq 制动器
zqds 制度上
zqdu 重担
zqdv 重地
zqdy 制度
zqe 笊
zqef 笊
zqf 稚
zqfc 知法
zqfd 制服
zqfe 造反
zqff 制伏
zqfg 重罚
zqfk 政企分开
zqfp 造福
zqft 重负
zqfw 职权范围
zqfx 正确方向
zqfy 雉
zqfy 稚
zqg 重
zqg/ 租给
zqgd 制高点
zqgf 赞
zqgh 租
zqgh 瞻前顾后
zqgj 种
zqgn 怎敢
zqgo 长官
zqgq 竹竿
zqgs 证券公司
zqgy 重工业
zqgz 赞歌
zqgz 重
zqh 竺
zqh/ 朱红
zqha 箦
zqhc 重活
zqhe 制衡
zqhh 智慧
zqhs 争强好胜
zqj 筑
zqjc 朱
zqjf 租金
zqjf 造价
zqjf 造假
zqjf 租借
zqjg 租界
zqjg 稹
zqjh 长进
zqjk 箸
zqjk 筑
zqjn 知己
zqjo 知觉
zqjq 竹简
zqjs 重金属
zqjy 重奖
zqjy 造就
zqjy 证券交易
zqjy 制剂
zqk 箴
zqkq 乍看
zqky 篆刻
zqkz 箴
zql 知
zql, 智力
zql, 重力
zqld 正确领导
zqlf 租赁
zqli 种类
zqlj 长老
zqll 筑路
zqlq 智利
zqlr 正气凛然
zqls 重量
zqlx 造林
zqlx 竹林
zqly 制冷
zqm 邾
zqmb 怎么办
zqmb 长满
zqmc 朝秦暮楚
zqmd 知名度
zqmh 怎么会
zqmi 赞美
zqmn 怎么能
zqmp 智谋
zqms 怎么说
zqmt 怎么
zqmt 知名
zqmw 自取灭亡
zqmy 怎么样
zqmz 怎么着
zqn, 稚嫩
zqn. 智能
zqn. 怎能
zqnb 造孽
zqnh 智能化
zqnj 智囊
zqnk 怎奈
zqnt 智囊团
zqp 造
zqpc 制片厂
zqpl 制品
zqpo 怎
zqpv 迮
zqpv 造
zqpw 制片
zqq 竹
zqqa 笮
zqqh 知青
zqqi 重拳
zqqj 租期
zqqk 秩
zqqo 知情
zqqq 稚气
zqqr 自欺欺人
zqqv 知趣
zqqx 竹
zqrf 重任
zqrs 正确认识
zqs 智
zqs 制
zqs/ 篆书
zqsc 证券市场
zqsd 制胜
zqsf 赞赏
zqsf 重伤
zqsg 重水
zqsh 知识化
zqsj 知识界
zqsm 知识面
zqsp 知识
zqsp 重视
zqsq 竹笋
zqsr 赞颂
zqsu 长势
zqsu 造势
zqsx 知识性
zqsy 智商
zqsz 制式
zqt 秭
zqtd 笫
zqtd 秭
zqtg 赞同
zqtg 种田
zqtl 赞叹
zqtn 筝
zqtu 重托
zqtx 重头戏
zqtz 证券投资
zqu 籀
zqut 籀
zqwq 重物
zqww 准确无误
zqxg 知县
zqxh 造型
zqxh 重型
zqxj 朱熹
zqxl 长兄
zqxo 制宪
zqxp 重心
zqxp 知心
zqxp 赞许
zqxr 知悉
zqxs 知晓
zqxt 志趣相投
zqxw 造血
zqxx 长相
zqxy 秩序
zqy/ 制约
zqyb 制药
zqyc 制药厂
zqyj 重要
zqyk 重压
zqyo 赞誉
zqyp 造谣
zqyp 造诣
zqyt 重用
zqyt 租用
zqyu 赞扬
zqyx 怎样
zqyy 知音
zqyy 箴言
zqyz 制约着
zqz/ 造纸
zqza 制止
zqzb 杂七杂八
zqzc 造纸厂
zqzf 制作
zqzg 赞助
zqzj 长者
zqzj 智者
zqzk 重在
zqzl 知足
zqzm 种子
zqzm 竹子
zqzm 长子
zqzo 造字
zqzq 种种
zqzq 制造
zqzq 重重
zqzs 装腔作势
zqzs 制造商
zqzx 种植
zqzy ^种族
zqzy 制造业
zqzz 重镇
zr 兆
zr,v 兆
zrbj 责任编辑
zrbq 自然保护区
zrbx 真人不露相
zrcl 诸如此类
zrcz 在日常生活中
zrdm 自认倒霉
zrer 自然而然
zrfg 自然风光
zrgl 自然规律
zrgx 中日关系
zrhj 自然环境
zrhv 兆赫
zri 豸
zrib 豸
zrjg 自然景观
zrjz 正人君子
zrkd 指日可待
zrkx 自然科学
zrky 主任科员
zrrj 昭然若揭
zrsc 载入史册
zrsr 知人善任
zrsy 峥嵘岁月
zrtj 自然条件
zrto 兆头
zrwl 助人为乐
zrww 置若罔闻
zrzh 自然灾害
zrzl 自然增长率
zrzs 真人真事
zrzy 自然资源
zs 最
zs, 昭
zs,l 昭
zsao 早安
zsaq 最矮
zsar 最爱
zsb, 照办
zsbc 在所不辞
zsbh 早班
zsbk 最不
zsbn 最不能
zsbp 早被
zsbu 早报
zsbx 在所不惜
zsby 至死不渝
zsca 早餐
zscb 早茶
zscf 照常
zsch 早春
zsci 最差
zscl 正式成立
zscm 照出
zscn 最迟
zscp 最初
zscq 最长
zscs 早晨
zscu 早操
zscu 照抄
zscy 早产
zsd; 照到
zsda 早点
zsdd 最低点
zsdf 最低
zsdh 最大化
zsdk 最大
zsdl 知书达理
zsdn 掌上电脑
zsdq 最短
zsdt 最多
zsdw 直属单位
zsdx 中山大学
zsdz 最大值
zsex 自上而下
zsf, 照发
zsfj 直升飞机
zsfp 正式发票
zsft 早饭
zsfy 众说纷纭
zsfz 知识分子
zsgb 最根本
zsgd 最高点
zsgf 最高峰
zsgg 最贵
zsgj 最高级
zsgk 照顾
zsgq 照管
zsgy 最高
zsh, 最好
zshe 最后
zshf 照会
zshg 最惠国
zshj 指手画脚
zshs 最好是
zshv 最坏
zsi 凿
zsig 黹
zsih 凿
zsj 早
zsja 最
zsjb 最基本
zsje 最近
zsjf 最佳
zsjg 最具
zsjs 转瞬即逝
zsjs 知识竞赛
zsjt 最久
zsju 早间
zsjx 照旧
zsjy 早就
zsjz 增收节支
zsk 昃
zskf 昃
zskh 凿开
zsko 最快
zskq 照看
zskr 炙手可热
zsld 掌声雷动
zslf 照例
zslg 最累
zslh 照理
zsli 照料
zslj 坐失良机
zsls 著书立说
zsly 照亮
zsly 早恋
zsly 自身利益
zsm, 最妙
zsmh 指桑骂槐
zsmi 最美
zsmj 蛛丝马迹
zsmk 照面
zsml 找上门来
zsmo 最慢
zsms 照明
zsms 朝三暮四
zsms 醉生梦死
zsmz 掌上明珠
zsn. 最难
zsn. 最能
zsng 装神弄鬼
zsnm 在所难免
zsnq 早年
zso 照
zsoo 照
zspj 照排机
zspo 最怕
zspu 照排
zspw 照片
zsq 昨
zsqa 昨
zsqc 最浅
zsqg 自食其果
zsqi 最前
zsqj 早期
zsql 自食其力
zsqn 最强
zsqr 仗势欺人
zsqs 正式签署
zsqv 早起
zsrn 最弱
zsrp 最让
zsrr 志士仁人
zsrs 昨日
zsrs 早日
zsrt 昭然
zsru 最热
zsry 最容易
zssa 早上
zssc 最深
zssd 最少
zssf 最使
zssh 昭示
zsso 照实
zssp 早说
zssr 最受
zsss 综上所述
zssu 早逝
zssw 照射
zssy 早熟
zssz 最爽
zstb 纸上谈兵
zstc 最突出
zsth 昨天
zstn 早退
zswi 最为
zsws 早晚
zsws 昨晚
zsws 最晚
zsxa 早些
zsxd 最小
zsxg 照相馆
zsxh 最小化
zsxj 照相机
zsxl 昭雪
zsxq 最先
zsxx 照相
zsxy 最新
zsxz 最小值
zsyf 照耀
zsyf 在水一方
zsyh 最远
zsyk 早有
zsyn 早已
zsys 最易
zsyx 照样
zsyy 照应
zsyy 昨夜
zsyz 招商引资
zsz/ 最终
zszd 众矢之的
zszh 自说自话
zszi 照着
zszj 尊师重教
zszk 早在
zszl 植树造林
zszl 自私自利
zszm 自生自灭
zszq 早知
zszs 最早
zszy 最重要
zszz 众所周知
zszz 自始至终
zt 猪
zt, 皱
zt,g 皱
zt/ 鲻
zt/m 鲻
zt; 氏
ztb, 周边
ztbb 皱巴巴
ztbd 专题报道
ztbg 专题报告
ztbj 总体布局
ztbl 争霸
ztbr 遮天蔽日
ztbu 周报
ztby 争辩
ztcb 杂草
ztcf 争创
ztcl 争吵
ztcq 周长
ztcu 争持
ztd; 周到
ztdd 震天动地
ztde 争得
ztdf 争当
ztdh 志同道合
ztdk 争夺
ztdo 争斗
ztdy 争端
ztdz 争夺战
zteh 周二
