d 的
dksr 大受
dkss 得克萨斯
dksu 大势
dksv 大赦
dksx 大树
dkt 碉
dkt. 大通
dkt; 砥
dktb 大踏步
dktd 大腿
dkte 歹徒
dktf 大体
dktg 大同
dktj 大团结
dktk 大厅
dkto 大头
dktp 大谈
dkts 大屠杀
dkts 大体上
dktv 碉
dkty 大唐
dkv 大
dkwd 大腕
dkwe 达斡尔
dkwh 大王
dkwi 大为
dkwl 大雾
dkwm 大卫
dkww 大无畏
dkxb 大西北
dkxd 大小
dkxf 大侠
dkxf 大修
dkxg 大虾
dkxh 大型
dkxj 大喜
dkxl 大雪
dkxm 大熊猫
dkxo 大学
dkxp 大写
dkxq 大笑
dkxq 大选
dkxs 大学生
dkxt 大象
dkxv 大幸
dkxx 大校
dkxy 大西洋
dkxz 大协作
dky 碲
dky/ 大约
dky; 大雅
dkyc 大洋
dkyd 抵抗运动
dkyh 大于
dkyi 大义
dkyi 碲
dkyj 大雨
dkyj 大开眼界
dkyj 大跃进
dkyk 大雁
dkyk 大有
dkyl 礅
dkym 大院
dkyr 大爷
dkys 大业
dkyt 大鱼
dkyw 大禹
dkyy 大衣
dkyy 大意
dkyz 大洋洲
dkz; 大致
dkza 大战
dkzb 大字报
dkzc 大洲
dkzf 大众
dkzf 大作
dkzg 大中
dkzh 大专
dkzj 大政
dkzl 大嘴
dkzm 碟子
dkzn 大展
dkzo 大字
dkzo 大宗
dkzr 大自然
dkzs 大专生
dkzv 夺走
dkzv 大增
dkzx 大中型
dkzy 大杂院
dkzz 大中专
dl 吨
dl, 叨
dl. 蹬
dl.e 噔
dl.e 蹬
dl;g 吨
dlb 嗒
dlba 踱步
dlbf 嗒
dld; 跌到
dlda 蹲点
dldd 多劳多得
dldf 跌倒
dldf 叮当
dldo 跌宕
dldq 大陆地区
dldq 颠来倒去
dlfg 跌幅
dlfs 独领风骚
dlfx 定量分析
dlfz 大力发展
dlg 吊
dlgl 嘀咕
dlgx 吊杆
dlgx 吊
dlgy 电力供应
dlgz 吊钩
dlhd 雕梁画栋
dlhh 吊环
dlhj 地理环境
dlhs 独立核算
dli 蹲
dlij 蹲
dlir 啖
dlj 叮
dlja 喋
dlja 蹀
dljd 跺脚
dljf 跌价
dljk 嘟
dljl 跌跤
dljq 大力加强
dlk 哒
dlko 呔
dlko 哒
dlkz 大力开展
dllb 跌落
dlll 叨唠
dlm 咄
dlmb 顶礼膜拜
dlmg 咄
dln 叼
dlnl 叮咛
dlnl 嘟囔
dlo 啶
dlon 啶
dlpx 吊棚
dlq 跌
dlqg 等量齐观
dlqk 跌
dlqv 踮起
dlqx 吊桥
dlr 蹈
dlri 蹈
dlrr 嗲
dlsc 大量生产
dlsj 吊索
dlsk 独立思考
dlsl 哆嗦
dlsp 吊扇
dlst 锻炼身体
dlsu 跌势
dlt 跺
dltc 大力提倡
dltf 跌停
dltg 大力推广
dlth 地老天荒
dlti 哆
dlto 咚
dlts 大浪淘沙
dltx 哚
dltx 跺
dlwf 吨位
dlwk 吊胃口
dlws 得陇望蜀
dlwz 地理位置
dlx 呆
dlxc 东拉西扯
dlxj 蹲下
dlxt 动力系统
dlxw 喋血
dlxz 吊销
dlxz 鼎力相助
dly 嘀
dlyi 嘀
dlyl 叮咬
dlyl 吊唁
dlyq 踱
dlyw 踮
dlz; 跌至
dlzc 大力支持
dlzc 栋梁之材
dlzl 叮嘱
dlzt 等离子体
dlzy 吊装
dlzz 独立自主
dm 队
dma 阽
dmal 阽
dmar 道貌岸然
dmbd 地面部队
dmbf 登门拜访
dmbm 蛋白酶
dmbn 陡壁
dmbr 大谬不然
dmbw 蛋白
dmbz 蛋白质
dmdd 大名鼎鼎
dmdm 倒买倒卖
dmdy 大模大样
dmf 队
dmfd 队服
dmg 蛋
dmgi 蛋糕
dmgj 蛋
dmgz 队歌
dmhb 蛋花
dmhj 蛋黄
dmkj 蛋壳
dmlb 堕落
dmlg 队里
dmli 蛋类
dmlk 队列
dmnz 独木难支
dmpv 陡坡
dmqc 蛋清
dmqg 陡峭
dmqy 队旗
dmqz 到目前为止
dmrr 堕入
dmrt 陡然
dmsd 多谋善断
dmt 陶
dmtd 堕胎
dmtq 陶
dmv 堕
dmva 陡
dmwf 队伍
dmxh 队形
dmyh 动脉硬化
dmyk 队友
dmyl 队员
dmzj 陡直
dmzp 蛋制品
dmzq 队长
dn 刁
dnbd 大逆不道
dnbu 逮捕
dncm 导出
dncy 大年初一
dndg 导电
dndn 导弹
dndp 导读
dndx 导电性
dngg 导购
dngn 弹弓
dngq 导管
dnhe 导航
dnhs 导火索
dnhx 导火线
dni 弹
dnig 弹
dnj 导
dnjv 导
dnl 屌
dnlg 屌
dnlp 导论
dnmn 刁民
dnn. 刁难
dnp 逮
dnpc 大脑皮层
dnpv 逮
dnrr 导入
dnru 导热
dnsd 导师
dnsi 导数
dnt 殿
dnt. 导通
dnt. 殿
dntf 导体
dntf 殿堂
dntq 对牛弹琴
dnwl 电脑网络
dnwt 弹丸
dnx/ 导线
dnxb 东南西北
dnxj 殿下
dnxl 冬暖夏凉
dnxw 导向
dnyb 弹药
dnyc 导演
dnyc 导游
dnyn 导引
dnyt 导游图
dnyy 导言
dnz; 导致
dnzf 逮住
dnzm 弹子
dnzz 刁钻
do 定
do, 忉
doa 悼
doao 定案
doas 悼
dob 懂
dob/ 定编
dobd 懂不懂
dobq 懂
docm 定出
docp 悼词
docy 定产
doda 定点
dodd 斗胆
dode 懂得
dodi 定单
dodj 定都
dodz 斗地主
doeo 定额
dog 恫
dogg 定购
dogg 定岗
dogq 定稿
dogu 斗拱
dogx 定格
dogz 恫
doh, 定好
dohe 懂行
dohf 定货
dohl 恫吓
doi 惮
doig 惮
doj 斗
doj. 窦
doj/ 定级
dojd 定居点
dojf 定价
dojf 定金
dojg 定睛
dojh 定计划
dojk 定
dojn 定居
dojn 定局
dojp 惦记
dok 惰
dokj 惰
dokl 宕
dol, 定力
dole 定律
dolh 定理
dolp 定论
dolq 斗笠
dols 定量
doly 定率
domt 定名
don. 定能
donf 惦念
donf 悼念
donq 斗牛
dook 斗殴
doqj 定期
doqo 定情
dort 定然
dos 怛
dosj 懂事
dosp 定神
doss 定时
dosu 定势
dosz 定式
dosz 怛
dowf 定位
dowi 定为
doxh 定型
doxj 定下
doxo 惰性
doxo 定性
doxw 定向
doxw 定心丸
doy 惦
doyh 定于
doyi 定义
doyj 定要
doyl 定员
doys 定影
doyw 惦
dozf 定做
dozg 定罪
dozj 斗志
dozk 定在
dozl 斗嘴
dozm 定子
dozq 定制
dozq 斗智
dozt 斗争
dp 读
dp. 裰
dp.. 裰
dp.l 诒
dpb 褡
dpbf 褡
dpbj 读本
dpbp 颠扑不破
dpbt 调包
dpbu 调拨
dpbu 读报
dpbu 订报
dpcg 打破常规
dpck 诞辰
dpcm 订出
dpcx 调查
dpd; 读到
dpdh 调动
dpdi 订单
dpdo 读懂
dpdx 调档
dpdy 调度
dpf 裆
dpfc 读法
dpfr 谠
dpft 裆
dpgg 订购
dpgj 读过
dpgq 祷告
dph 祷
dph, 订婚
dphe 读后
dphf 订货
dphg 读后感
dphh 订货会
dphk 祷
dphl 调号
dphm 调函
dphp 订户
dphw 诋毁
dpj 订
dpj. 读
dpja 谍
dpjf 订金
dpjf 订价
dpjj 打破僵局
dpll 颠沛流离
dply 调离
dply 订立
dpmu 调门
dppc 调派
dppj 调配
dpqg 调遣
dpqj 读取
dprf 调任
dps/ 读书
dpsd 打破沙锅问到底
dpsi 读数
dpsj 订书机
dpsp 读诵
dpsq ~诞生
dpsr 读书人
dpt 调
dpt; 诋
dpto 调头
dptv 调
dpw 诞
dpw; 诞
dpwo 读完
dpwq 读物
dpwy 读文
dpxc 东拼西凑
dpxj 独辟蹊径
dpxp 读写
dpxs 短篇小说
dpy 谛
dpy/ 订约
dpyh 调运
dpyi 谛
dpyk 调研
dpyt 调用
dpyu 订阅
dpyy 读音
dpyy 调研员
dpzf 订做
dpzi 读着
dpzj 读者
dpzj 订正
dpzm 调子
dpzq 订制
dpzs 毒品走私
dpzv 调走
dpzy 订座
dq 等
dq. 丢
dq.e 簦
dq/ 笃
dq/z 笃
dqao 答案
dqb, 等边
dqb; 等比
dqbc 短波
dqbd 等不到
dqbj 第八届
dqbl 等比例
dqbm 等部门
dqbr 第八
dqby 答辩
dqcb 稻草
dqcf 短促
dqci 等差
dqck 定期存款
dqcm 迭出
dqcq 短程
dqcr 稻草人
dqct 短处
dqcy 等次
dqd. 敌对
dqd; 等到
dqde 等待
dqdi 答道
dqdl 大起大落
dqdl 大权独揽
dqdq 等等
dqdq 短短
dqdu 丢掉
dqdu 短打
dqdv 等地
dqeb 第二步
dqec 第二次
dqed 第二代
dqeg 第二个
dqeh 第二
dqej 第二届
dqel 第二轮
dqem 第二名
dqen 第二年
dqer 第二日
dqes 第二十
dqet 第二天
dqew 第二位
dqf 答
dqf, 短发
dqfd 氮肥
dqff 等份
dqfm 等方面
dqfq 答复
dqfr 等分
dqfs 对齐方式
dqfy 敌方
dqfz 答
dqg 笛
dqgg 等国
dqgj 短工
dqgj 笛
dqgr 稻谷
dqgx 党群关系
dqgy 等高
dqgz 当前工作
dqhc 荡气回肠
dqhe 敌后
dqhf 等候
dqhl 等号
dqhp 答话
dqi 氮
dqig 箪
dqij 簖
dqir 氮
dqj 犊
dqj. 犊
dqj/ 等级
dqjf 等价
dqjg 等价格
dqji 答卷
dqjj 第九届
dqjl 短距离
dqjm 簟
dqjn 丢尽
dqjp 敌军
dqjt 第九
dqjt 短句
dqju 短接
dqjw 等价物
dqjx 敌机
dqjz 等级制
dqkh 丢开
dqkp 短裤
dqlc 第六次
dqld 丢脸
dqlh 答理
dqlj 第六届
dqll 短路
dqls 等量
dqly 第六
dqmf 短命
dqmi 稻米
dqmq 打情骂俏
dqmz 丢面子
dqn 第
dqnf 等你
dqnm 第
dqp 迭
dqpb 大气磅礴
dqpl 短跑
dqpm 单枪匹马
dqpp 短评
dqpq 短篇
dqpv 迭
dqpw 短片
dqq 敌
dqq; 第七
dqqc 短浅
dqqj 短期
dqqk 等情况
dqqn 短期内
dqqo 敌情
dqqp 短裙
dqqq 短缺
dqqq 氮气
dqqr 敌
dqqv 迭起
dqqy 丢弃
dqqz 第七章
dqr 稻
dqrf 丢人
dqrf 敌人
dqri 稻
dqs 笪
dqsb 第三步
dqsc 第三次
dqsd 第三代
dqse 第十二
dqsf 第三方
dqsg 第四
dqsh 第三
dqsj 大千世界
dqsj 第十
dqsj 等速
dqsk 等死
dqsl 第十六
dqsn 第三年
dqsp 敌视
dqsq 丢失
dqss 第十三
dqst 第三条
dqsw 第十五
dqsy 第十一
dqsz 第三者
dqsz 等式
dqsz 笪
dqt 氡
dqtf 短途
dqtg 稻田
dqtg 等同
dqto 氡
dqts 答题
dqty 等同于
dqvj 等
dqw 氘
dqwc 大器晚成
dqwc 等温
dqwc 第五次
dqwj 第五
dqwl 地球物理
dqwn 篼
dqwq 敌我
dqwr 大气污染
dqwt 等问题
dqwu 答问
dqwy 短文
dqx/ 短线
dqxb 短训班
dqxd 短小
dqxf 短信
dqxj 丢下
dqxp 答谢
dqxp 短袖
dqxp 短讯
dqxu 等闲
dqxw 短期行为
dqxx 短信息
dqxy 等效
dqyb 第一步
dqyc 第一次
dqyd 第一代
dqyg 第一个
dqyh 等于
dqyj 第一届
dqyl 第一轮
dqym 第一名
dqyn 第一年
dqyp 第一批
dqyp 短语
dqys 第一手
dqyt 答疑
dqyw 第一位
dqyx 第一线
dqyy 答应
dqyy 敌意
dqyz 第一
dqz 短
dqz; 短暂
dqzf 等值
dqzi 等着
dqzk 丢在
dqzl 短
dqzm 稻子
dqzm 笛子
dqzq 稻种
dqzq 敌占区
dqzw 大权在握
dr 爹
dr, 貂
dr,l 貂
drbr 当仁不让
drdr 爹爹
drgh 洞若观火
dri 籴
drij 籴
drjj 断然拒绝
drjw 待人接物
drm, 爹妈
drn, 爹娘
drnm 多如牛毛
drp, 貂皮
drrn 度日如年
drti 爹
drtt 动如脱兔
drwc 荡然无存
drxp 动人心魄
drxx 动人心弦
drxy 丢人现眼
dryd 低人一等
drym 多如蚁毛
ds 旦
ds; 戥
ds;r 戥
dsbj 读书笔记
dsbl 滴水不漏
dscb 滴水成冰
dscj 点石成金
dscy 第三产业
dsdf 大是大非
dsdj 动手动脚
dsds 颠三倒四
dsfj 大煞风景
dsgb 电视广播
dsgg 电视广告
dsgz 单身贵族
dshh 刀山火海
dshy 大受欢迎
dsjd 第三季度
dsjd 第四季度
dsjh 大声疾呼
dsjm 电视节目
dsjn 短时间内
dslm 电闪雷鸣
dsls 丢三落四
dsnl 多少年来
dspd 电视频道
dsqs 独善其身
dsrg 但是如果
dssh 都市生活
dssj 第三世界
dssq 大势所趋
dssw 大失所望
dsws 打扫卫生
dsxp 东施效颦
dsxq 低声下气
dsxs 低三下四
dsxt 旦夕
dsxw 电视新闻
dsyq 大势已去
dsyy 但是由于
dsyz 独树一帜
dsz 旦
dszb 电视转播
dszn 独生子女
dszq 多事之秋
dszq 东山再起
dt 多
dt; 氐
dt;v 氐
dtb, 多边
dtbd 多不多
dtbh 当头棒喝
dtbi 多半
dtbl 独霸
dtbw 独白
dtbx 多边形
dtby 多变
dtcc 多层次
dtcf 独创
dtch 冬春
dtcj 独裁
dtcl 独唱
dtcm 多出
dtcn 多层
dtcq 多长
dtcq 多重
dtcr 多彩
dtct 多处
dtcx 独创性
dtcy 多次
dtcz 独裁者
dtd; 独到
dtda 多点
dtde 独得
dtde 多得
dtdh 得天独厚
dtdi 独断
dtdk 多大
dtdq 多短
dtds 丹东市
dtdt 多多
dtdv 多地
dtdz 多党制
dtek 多而
dtet 朵儿
dtf 雕
dtf, 多发
dtfb 多发病
dtfm 多方面
dtfr 多分
dtft 丹凤
dtfw 多方位
dtfy 多方
dtfy 雕
dtg 独
dtge 冬瓜
dtgf 多个
dtgg 多国
dtgj 甸
dtgj 独
dtgm 独孤
dtgn 多功能
dtgo 多寡
dtgx 岛
dtgy 多高
dtgz 大庭广众
dth, 多好
dthm 多画面
dthp 多话
dthy 点头哈腰
dti 狄
dtir 狄
dtj 鲽
dtj, 多加
dtj/ 多级
dtja 鲽
dtjg 独具
dtjh 多极化
dtjn 独居
dtjo 独家
dtjo 多家
dtjq 冬季
dtjt 多久
dtjx 独角戏
dtjx 多极
dtjy 多见于
dtkh 多亏
dtkm 多孔
dtko 多快
dtkq 多看
dtky 雕刻
dtla 多虑
dtld 顶天立地
dtld 多伦多
dtlk 独龙
dtlt 独联体
dtlu 独揽
dtlx 独立性
dtly 独立
dtlz 独龙族
dtm 邸
dtmg 冬眠
dtmh 丹麦
dtmq 独木桥
dtms 多面手
dtmt 多么
dtmt 多媒体
dtmt 多面体
dtmz 多民族
dtn. 多能
dtng 岛内
dtnh 多瑙河
dtnl 多年来
dtnq 多年
dtns 多年生
dto 冬
dtph 动态平衡
dtpq 多篇
dtqd 多渠道
dtqh 丹青
dtqo 多情
dtrf 多人
dtrs 多日
dts 剁
dtsc 多少次
dtsd 多少
dtse 多所
dtsf 邸舍
dtsg 多少个
dtsi 多数
dtsj 多事
dtsm 多收
dtsn 多少年
dtsp 多说
dtsq 多少钱
dtsr 多数人
dtss 多时
dtsw 独身
dtsz 独生子
dtt 鲷
dtt. 多台
dttf 独体
dttg 丹田
dtth 冬天
dttl 多听
dtto 多头
dttq 独特
dtts 道听途说
dttv 鲷
dttv 多
dttx 独特性
dttz 独体字
dtw/ 多维
dtwf 多位
dtwi 多为
dtx 朵
dtxa 多些
dtxd 大体相当
dtxe 独行
dtxf 雕像
dtxj 多项
dtxk 多学科
dtxm 冬小麦
dtxp 多谢
dtxp 多心
dtxu 冬闲
dtxx 多想
dtxy 大同小异
dty 丹
dtyb 当头一棒
dtyc 冬泳
dtyd 多月
dtyf 多余
dtyg 岛屿
dtyh 多样化
dtyh 多云
dtyh 多于
dtyh 多元化
dtyk 独有
dtym 丹阳
dtyn 多已
dtyt 多用
dtyx 多样
dtyy 多音
dtyz 多音字
dtz 鸟
dtz; 冬至
dtza 独占
dtzf 多做
dtzg 多则
dtzh 独奏
dtzk 多在
dtzl 多嘴
dtzq 多种
dtzw 独自
dtzy 独资
dtzy 多姿
dtzz 党团组织
du 打
du. 掇
du.. 掇
dua 掉
duas 掉
dub 搭
dubf 担保
dubf 搭
dubg 打败
dubk 打不开
dubp 打保票
dubr 担保人
dubt 打包
dubu 打扮
dubx 挡板
dubz 挡不住
ducf 抵偿
duck 打成
ducm 打出
duco 打穿
ducp 打词
ducq 搭乘
ducr 打岔
duct 抵触
ducz 打错
dud; 打到
duda 打点
dude 打得
dudf 打倒
dudf 担当
dudg 打赌
dudg 打盹
dudh 打动
dudh 抖动
dudi 打断
dudk 抵达
dudm 捣蛋
dudm 掉队
dudo 打斗
dudu 抵挡
dudu 打掉
dudw 打的
dudx 搭档
dudy 垫底
duf 挡
duf, 打发
dufa 打非
dufc 打法
duff 垫付
dufm 提防
dufr 打翻
duft 担负
duft 挡
dufx 担风险
dug/ 担纲
dugc 打滚
dugj 打工
dugj 打过
dugl 打嗝
dugm 打工妹
dugs 打官司
dugw 捣鬼
dugz 打工者
duh, 打好
duhh 打哈哈
duhj 打火机
duhl 打呼噜
duhp 搭话
duhq 打哈欠
duht 打昏
duhu 掉换
duhv 打坏
duhw 打鼾
duhw 捣毁
dui 掸
duig 掸
duj 揲
duj 打
duj, 打架
duj, 担架
duja 揲
dujc 打基础
dujd 打交道
dujf 打假
dujh 打击
dujj 搭救
dujn 搭建
dujp 挡箭牌
dujs 垫脚石
duju 打搅
dujv 打劫
dujy 抵京
dukh 打开
dukl 抵抗力
duku 抵抗
duku 抵扣
dukv 打垮
dulb 掉落
dulg 打蜡
dulh 搭理
duli 打烂
dulj 抵赖
dull 打雷
dull 挡路
dulq 捣乱
dulq 打乱
duls 打量
duls 掂量
dult 打猎
dulu 打捞
dulz 打铃
dumc 打满
dumf 抵命
duml 打骂
dumy 打磨
duo 抖
duoj 抖
dupj 搭配
dupk 打破
dupu 打拼
dupw 打牌
dupw 垫片
duqg 垫圈
duqh 打球
duqi 打拳
duqj 打群架
duqq 打气
duqv 打起
duqv 打趣
duqx 搭桥
durf 担任
durr 打入
duru 打扰
dus 担
dusa 搭上
dusc 打湿
dusf 打伤
dusg 打水
dusj 提
dusk 打死
dusk 打碎
dusk 捣碎
dusp 搭讪
dusq 打手
dusq 打算
duss 打手势
dusu 打扫
dusz 担
dut 抵
dut. 打通
dut; 抵
dutd 打胎
dutl 打听
dutn 打退
duto 掉头
dutp 捣
dutu 打探
dutz 打铁
dutz 打头阵
duv 垫
duwo 打完
dux/ 掉线
duxc 抵消
duxc 打消
duxj 打下
duxl 打响
duxp 担心
duy 掂
duyc 打渔
duye 抵御
duyj 打印机
duyk 打压
duyo 担忧
duyp 抵押品
duyq 抵押权
duys 打油诗
duyt 打印
duyu 抵押
duyw 掂
duyy 打赢
duz; 打转
duz; 掉转
duzf 挡住
duzf 抵债
duzf 打仗
duzg 打中
duzh 打招呼
duzi 打着
duzi 挡着
duzi 抵着
duzj 搭载
duzj 打字机
duzk 打折扣
duzl 打足
duzm 担子
duzo 打字
duzq 抵制
duzq 打造
duzr 担责任
duzt 打杂
duzu 打折
duzy 打字员
duzy 打颤
duzz 打针
dv 地
dv; 垤
dv;v 垤
dva 坫
dvag 堤岸
dval 坫
dvba 地步
dvbf 地堡
dvbh 地表
dvbv 堤坝
dvbx 地板
dvc; 堵车
dvck 地磁
dvcn 地层
dvct 地处
dvcy 地产
dvda 地点
dvdc 地洞
dvdd 地对地
dvdh 地动
dvdi 地道
dvdj 地带
dvdk 地对空
dvdw 地段
dvdy 地底
dvf 堆
dvfm 堤防
dvfs 地方上
dvfx 地方性
dvfy 地方
dvfy 堆放
dvfy 堆
dvg 垌
dvge 地瓜
dvgo 地宫
dvgz 垌
dvhi 堆焊
dvhj 地黄
dvj 堵
dvj/ 地级
dvja 堞
dvjd 地脚
dvjf 地价
dvjg 地界
dvjj 地基
dvjj 堵截
dvjk 堵
dvjo 地窖
dvjq 堆积
dvkb 地矿部
dvkj 地矿局
dvkk 地矿
dvkl 地跨
dvkv 地块
dvl, 地力
dvlc 地漏
dvlg 地里
dvlh 地理
dvlk 地龙
dvll 地雷
dvlo 地牢
dvlq 地利
dvlx 地理学
dvmb 地
dvmc 堆满
dvmd 地膜
dvmg 地幔
dvmk 地面
dvmr 地貌
dvms 地面上
dvmt 地名
dvmz 地面站
dvn 埭
dvnj 埭
dvp, 地皮
dvpe 地盘
dvpl 地平
dvpx 地平线
dvpy 地痞
dvqh 地球
dvqj 地壳
dvqj 地勤
dvqk 堆砌
dvqq 地气
dvqr 地球人
dvqs 地球上
dvqx 地区性
dvqz 地区
dvru 地热
dvs 堤
dvsa 地上
dvsj 地税局
dvsj 堤
dvso 堵塞
dvsq 地税
dvsu 地势
dvsy 地市
dvt 垛
dvt; 坻
dvtg 地图
dvto 地头
dvtq 地毯
dvts 地头蛇
dvtu 地摊
dvtx 垛
dvtz 地铁
dvwc 地温
dvwf 地位
dvwq 地委
dvx/ 地线
dvxh 地形
dvxj 地下
dvxo 地穴
dvxp 地心
dvxs 地下室
dvxs 地下水
dvxt 地形图
dvy 墩
dvy/ 地缘
dvyl 墩
dvyt 地狱
dvyv 地域
dvyy 地衣
dvz; 地轴
dvzb 地质部
dvze 地质
dvzf 堵住
dvzh 地中海
dvzj 地支
dvzk 地砖
dvzl 地震
dvzm 墩子
dvzq 地租
dvzt 地质图
dvzv 地址
dvzx 地质学
dvzy 地主
dw 段
dwbn 躲避
dwcb 躲藏
dwd; 躲到
dwfq 黛瓦粉墙
dwft 兜风
dwgg 大为改观
dwgj 躲过
dwj 牒
dwj. 牍
dwja 牒
dwjh 躲进
dwjj 对外经济
dwjs 队伍建设
dwkf 对外开放
dwkh 躲开
dwlb 段落
dwlg 兜里
dwmj 单位面积
dwmy 对外贸易
dwqk 的确
dwqz 兜圈子
dwrs 党外人士
dwsf 兜售
dwsj 党委书记
dwsj 的士
dwsu 躲闪
dwt 兜
dwt. 段
dwtv 的
dwtx 躲
dwtz 对外投资
dwxb 段莘
dwzc 对外政策
dwzd 弹丸之地
dwzi 躲着
dwzj 当务之急
dwzk 躲在
dwzm 段子
dx 档
dx; 栋
dx;d 栋
dxad 档案袋
dxag 档案馆
dxaj 档案局
dxal 大兴安岭
dxao 档案
dxas 档案室
dxbb 多行不义必自毙
dxbd 大小不等
dxby 大学毕业
dxcy 档次
dxfj 杜甫
dxft 档
dxgs 电信公司
dxgw 大喜过望
dxj 椟
dxj. 椟
dxj/ 杜绝
dxjh 短小精悍
dxjl 杜鹃
dxjt 大相径庭
dxlc 栋梁
dxlr 刀下留人
dxm/ 杜马
dxn 棣
dxnj 棣
dxns 倒行逆施
dxo 柁
dxo, 柁
dxpl 邓小平理论
dxps 胆小怕事
dxpz 邓小平同志
dxqd 大行其道
dxqy 大型企业
dxrs 胆小如鼠
dxsf 典型示范
dxss 大显身手
dxst 大显神通
dxsw 地下水位
dxsz 等闲视之
dxt 柢
dxt; 柢
dxtm 大兴土木
dxv 杜
dxw 椴
dxwh 椴
dxxm 大型项目
dxys 得心应手
dxzb 等闲之辈
dxzf 杜仲
dxzp 断袖之癖
dxzu 杜撰
dy 度
dy. 度
dy; 冻
dy;d 冻
dya 店
dyal 店
dyb 瘩
dyb, 底边
dybc 大言不惭
dybf 瘩
dybi 凋敝
dybs 第一把手
dybw 盗版
dybw 底版
dybx 底板
dyby 底部
dyby 大有裨益
dycf 敦促
dycm 端出
dycn 底层
dycy 冻疮
dycz 电源插座
dyda 端点
dydb 大摇大摆
dydh 动员大会
dyfz 盗匪
dyg 端
dyga 端
dygb 党员干部
dygg 帝国
dygj 度过
dygq 底稿
dygs 盗
dygx 帝
dyhc 盗汗
dyhi 敦煌
dyhk 敦厚
dyho 冻害
dyi 瘅
dyig 瘅
dyj 疔
dyj/ 冻结
dyjc 度假村
dyjd 第一季度
dyjf 度假
dyjf 冻僵
dyjf 底价
dyjg 癫
dyjo 店家
dyju 盗掘
dykl 端口
dykw 大有可为
dylb 凋落
dylg 店里
dylh 度量衡
dyll 凋零
dyls 度量
dylx 底楼
dymb 盗墓
dymj 盗卖
dymk 店面
dymq 大义灭亲
dymt 店名
dyn 癜
dynf 端倪
dyng 店内
dynq 癜
dyp 憝
dype 底盘
dypo 憝
dypt 大雨滂沱
dypw 底牌
dypw 底片
dypz 店铺
dyq 敦
dyqa 盗窃案
dyqf 盗窃犯
dyqj 盗取
dyqn 待业青年
dyqo 盗窃
dyqp 敦请
dyqq 底气
dyqr 敦
dyqv 端起
dyqx 掉以轻心
dyrs 度日
dyrz 大有人在
dys 疸
dysf 冻伤
dysi 底数
dysi 度数
dysj 第一书记
dysk 冻死
dyso 敦实
dyst 底色
dysz 大意失荆州
dysz 疸
dyt 底
dyt; 底
dytl 底特律
dytv 凋
dywe 独一无二
dywf 帝位
dywh 帝王
dywj 端午节
dywq 端午
dywx 得意忘形
dywz 大有文章
dyx/ 底细
dyx/ 底线
dyxb 底薪
dyxj 底下
dyxm 底限
dyxp 凋谢
dyxp 端详
dyxw 大有希望
dyxy 癫痫
dyyb 底蕴
dyyc 大有益处
dyyk 端砚
dyyl 店员
dyyt 盗用
dyyy 得意洋洋
dyz 痘
dyzb 底子薄
dyzf 端坐
dyzg 盗贼
dyzi 端着
dyzj 端正
dyzl 痘
dyzm 底子
dyzq 帝制
dyzt 大雅之堂
dyzw 大有作为
dyzy 端庄
dyzy 店主
dyzy 底座
dz 豆
dz. 铎
dz.e 镫
dz.h 铎
dz; 钝
dz;g 钝
dzat 独占鳌头
dzay 斗志昂扬
dzbg 电子表格
dzbj 党支部书记
dzbm 党政部门
dzbt 豆包
dzby 豆瓣
dzcp 电子产品
dzcs 大中城市
dzcw 电子出版物
dzcz 豆豉
dzdc 多姿多彩
dzde 逗得
dzdj 动则得咎
dzdy 斗智斗勇
dzf 铛
dzfn 豆腐脑
dzfp 豆腐皮
dzfr 豆腐乳
dzft 铛
dzfy 豆腐
dzfz 豆腐渣
dzg 钿
dzgb 党政干部
dzgg 刁钻古怪
dzgj 钿
dzgy 电子工业
dzgz 待字闺中
dzhb 豆花
dzhf 钝化
dzhl 逗号
dzht 大展宏图
dzj 钉
dzja 甙
dzjb 豆荚
dzjf 镀金
dzjg 党政机关
dzjj 地主阶级
dzjs 电子技术
dzjy 豆浆
dzkb 豆蔻
dzkq 豆科
dzkt 地质勘探
dzkx 电子科技大学
dzl 铞
dzld 党政领导
dzlg 铞
dzli 锻炼
dzlt 逗留
dzlv 豆
dzlz 打肿脸充胖子
dzmb 豆苗
dzmd 镀膜
dzo 锭
dzoj 钭
dzon 锭
dzp 逗
dzpv 逗
dzq 铥
dzqa 铤
dzqa 铥
dzqe 逗趣儿
dzqg 大张旗鼓
dzqv 逗趣
dzqy 断章取义
dzr 铫
dzr; 铫
dzrf 逗人
dzry 大智若愚
dzs 锝
dzsb 电子设备
dzsc 豆沙
dzsh 锝
dzsj 党组书记
dzsw 电子商务
dzt 钓
dztv 钓
dztz 镀铜
dzw 锻
dzwh 大众文化
dzwh 锻
dzwk 当之无愧
dzwz 大做文章
dzxj 胆战心惊
dzxw 东张西望
dzxx 电子信箱
dzxx 电子信息
dzxy 斗转星移
dzxy 对症下药
dzxz 镀锌
dzy 镀
dzyb 豆芽
dzyc 豆油
dzyd 钓鱼岛
dzyi 镝
dzyj 电子邮件
dzyl 镦
dzyq 电子仪器
dzyq 镀
dzyt 钓鱼
dzyx 电子邮箱
dzyz 镀银
dzzc 豆渣
dzzk 钉在
dzzm 钉子
dzzm 豆子
dzzp 豆制品
dzzq 锻造
dzzw 电子政务
