w 为
wtly 外来语
wtm 邬
wtmb 外贸部
wtmg 外蒙古
wtmk 外面
wtmr 外貌
wtmt 外贸
wtn 乌
wtn. 危难
wtnp 务农
wtpa 外频
wtpc 外婆
wtqf 外企
wtqj 务求
wtqp 务请
wtqq 外迁
wtqv 外墙
wtrf 外人
wts 刎
wts/ 乌纱
wtsc 外事处
wtsf 外伤
wtsh 猥琐
wtsj 外事
wtsm 乌纱帽
wtsn 外甥女
wtso 务实
wtsp 外设
wtsq 外甥
wtsw 外单位
wtsy 外商
wttb 乌托邦
wttc 外滩
wttd 五体投地
wttk 外套
wtto 外头
wttr 外逃
wtv 丸
wtwg 外围
wtwl 文韬武略
wtwt 外务
wtwy 外文
wtwy 危亡
wtx/ 外线
wtxa 务虚
wtxg 外县
wtxh 外形
wtxm 危险
wtxp 危险品
wtxq 危险期
wtxr 外星人
wtxs 外星
wtxw 外向
wtxx 外向型
wtxy 猥亵
wtxz 外销
wty; 乌鸦
wtyg 外因
wtyh 乌云
wtyh 外运
wtyk 乌有
wtym 外阴
wtyp 外语
wtyt 外用
wtyu 外援
wtyw 外延
wtyx 外语系
wtyy 外衣
wtzf 外债
wtzg 外置
wtzk 外在
wtzm 丸子
wtzq 外长
wtzq 危重
wtzy 外资
wu 问
wubl 握别
wucm 挖出
wud; 问到
wudg 问鼎
wudi 问道
wudq 问答
wudu 挖掉
wudv 挖地
wugj 问过
wuh 闱
wuh, 问好
wuhf 问候
wuhg 挽回
wuhl 问号
wuhm 闱
wuhp 问话
wuj 闻
wuja 闻
wujc 问津
wuji 问卷
wujj 挽救
wujn 捂
wujo 挝
wujs 握紧
wujt 问及
wuju 挖掘
wukb 挖苦
wukh 挖开
wul 问
wulj 挽联
wult 挽留
wumt 闻名
wun 握
wunq 握
wuo 挖
wuo, 挖
wuqc 挖潜
wuqj 挖墙脚
wuqv 问起
wur 阌
wuri 阌
wusj 问世
wusj 闻声
wusq 握手
wut 挽
wutf 问他
wutg 挽
wuts 问题
wutv 挖土
wuwu 问问
wuxp 闻讯
wuxp 问讯
wuyk 握有
wuzf 握住
wuzf 捂住
wuzh 问责
wuzi 握着
wuzi 捂着
wuzv 挖走
wuzz 问责制
wv 坞
wvh 圩
wvhb 圬
wvhx 圩
wvlg 坞里
wvtn 坞
ww 皖
wwba 皖北
wwbf 唯物辩证法
wwbq 威武不屈
wwbs 无往不胜
wwbz 无微不至
wwdd 稳稳当当
wwdg 蔚为大观
wwdl 娓娓道来
wwdt 娓娓动听
wwdx 未完待续
wwdz 唯我独尊
wweq 维吾尔自治区
wwey 温文尔雅
wwez 维吾尔族
wwg 魍
wwgi 魍
wwgj 文物古迹
wwgz 忘我工作
wwh 璺
wwha 璺
wwj 鼯
wwjn 鼯
wwjz 围魏救赵
wwlw 魍魉
wwnj 皖南
wwnm 舞文弄墨
wwnn 歪歪扭扭
wwnn 唯唯诺诺
wwon 皖
wwqq 完完全全
wwsg 唯物史观
wwsq 文武双全
wwsy 望文生义
wwsy 为我所用
wwsz 玩物丧志
wwxx 歪歪斜斜
wwys 万无一失
wwzd 文武之道
wwzg 蔚为壮观
wwzy 唯物主义
wwzz 无妄之灾
wwzz 完完整整
wx 枉
wxbf 戊戌变法
wxcd 卧薪尝胆
wxcz 文学创作
wxdb 无线电波
wxdk 无息贷款
wxdl 文心雕龙
wxds 卫星电视
wxdt 无线电台
wxfc 枉法
wxfw 维修服务
wxgl 闻讯赶来
wxgx 万象更新
wxgx 桅杆
wxha 枉
wxhq 五星红旗
wxj 梧
wxjj 微型计算机
wxjn 梧
wxk 杌
wxkb 杌
wxkc 无隙可乘
wxkj 无懈可击
wxrt 枉然
wxsh 晚些时候
wxt 桅
wxtk 桅
wxts 梧桐树
wxtx 梧桐
wxwk 问心无愧
wxwp 危险物品
wxws 我行我素
wxxs 武侠小说
wxys 文学艺术
wxyz 五项原则
wxzc 无形资产
wxzl 文献资料
wxzp 文学作品
wxzy 唯心主义
wy 文
wy, 妄
wy,z 妄
wy/ 紊
wy/u 紊
wyb 亡
wybj 文本
wybk 文本框
wybl 亡羊补牢
wybl 忘不了
wybq 文笔
wyby 文艺表演
wycb 文萃
wycj 文才
wycm 未雨绸缪
wycr 文采
wycz 文艺创作
wyd; 望到
wyde 忘得
wydh 汪洋大海
wydh 妄动
wydi 弯道
wydu 忘掉
wydx 文档
wyfc 文法
wyfh 亡夫
wyfj 无以复加
wyft 文风
wyfx 文艺复兴
wygg 亡国
wygj 文革
wygj 亡故
wygl 物业管理
wygn 亡国奴
wygo 文官
wygq 文稿
wygr 文公
wygt 文工团
wygz 文艺工作
wyh 望
wyha 望
wyhb 文化部
wyhf 文化
wyhg 文化宫
wyhg 文化馆
wyhh 亡魂
wyhi 文火
wyhj 文化局
wyhj 文化节
wyhj 文化界
wyhl 物欲横流
wyho 忘怀
wyhs 文化上
wyht 庑
wyhy 文豪
wyhy 污言秽语
wyhy 无庸讳言
wyhz 文化站
wyj 痦
wyj, 妄加
wyjf 文件
wyjf 文集
wyjg 文具
wyjg 望见
wyjh 文静
wyjj 文教
wyjj 文件夹
wyjm 文件名
wyjn 痦
wyjp 忘记
wykq 文科
wyky 文库
wylb 无与伦比
wylh 文理
wylj 文联
wylj 物以类聚
wyll 弯路
wyln 亡灵
wylq 紊乱
wyls 五颜六色
wylw 无一例外
wymb 文明办
wymd 文脉
wymf 亡命
wymh 文明号
wymq 文秘
wyms 文明
wymt 亡命徒
wymy 文盲
wymy 文庙
wyn 弯
wynb 弯
wynf 妄念
wynj 忘年交
wynl 外引内联
wyp 忘
wypf 文凭
wypo 忘
wyq 痿
wyq; 亡妻
wyqd 痿
wyqg 弯曲
wyql 沃野千里
wyqo 忘情
wyqv 忘却
wyqx 文曲星
wyr 文
wyrf 文人
wyrn 文弱
wyry 无业人员
wys 瘟
wys/ 文书
wysg 文史
wysg 瘟
wysj 网页设计
wysk 文殊
wysp 瘟神
wyst 危言耸听
wytf 文体
wytg 妄图
wytt 文艺团体
wytv 文坛
wytx 文天祥
wywg 无缘无故
wywh 文武
wywh 无怨无悔
wywk 无依无靠
wywl 无忧无虑
wywq 文物
wywq 忘我
wywy 望望
wywz 无影无踪
wyxg 物以稀为贵
wyxh 忘形
wyxj 文献
wyxm 无一幸免
wyxo 文学
wyxq 文选
wyxt 望洋兴叹
wyxx 妄想
wyxy 文学院
wyy, 文娱
wyy; 文雅
wyyb 文艺
wyyc 望眼欲穿
wyyc 文艺演出
wyyd 弯腰
wyyd 无言以对
wyyj 望远镜
wyyl 文员
wyym 无业游民
wyys 万言书
wyyw 文言文
wyyy 瘟疫
wyyy 文言
wyzg 文中
wyzi 望着
wyzj 文职
wyzo 文字
wyzp 文艺作品
wyzq 乌烟瘴气
wyzs 无源之水
wyzu 文摘
wyzy 文章
wyzz 无意之中
wz 钨
wzbb 文质彬彬
wzbd 武装部队
wzbk 乌孜别克
wzbr 危重病人
wzbt 乌兹别克斯坦
wzcf 物质财富
wzcl 望子成龙
wzcl 文字处理
wzct 武装冲突
wzdj 围追堵截
wzdx 危在旦夕
wzdz 豌豆
wzfb 妄自菲薄
wzfz 武装分子
wzgs 物资公司
wzgy 物资供应
wzjc 物质基础
wzjl 物质奖励
wzjy 无照经营
wzjz 违章建筑
wzlf 五脏六腑
wzlt 物资流通
wzly 物质利益
wzo 豌
wzo, 豌
wzqh 万紫千红
wzqh 五中全会
wzql 为政清廉
wzqt 畏罪潜逃
wzqy 外资企业
wzqz 无足轻重
wzry 武装人员
wzs/ 钨丝
wzsh 物质生活
wzsj 网站设计
wzsy 无中生有
wzsy 万丈深渊
wztj 物质条件
wztn 钨
wzwd 稳扎稳打
wzwh 物质文化
wzwm 物质文明
wzwq 完整无缺
wzws 物质文明建设
wzyh 外资银行
wzyj 稳中有降
wzys 稳中有升
wzyx 万众一心
wzyz 为之一振
wzzb 瓮中捉鳖
wzzd 妄自尊大
