g 个
goqd 官腔
goqg 怪圈
goqq 官气
goqu 宫阙
gorf 怪人
gorp 割让
gos 割
gos/ 官绅
gosf 割舍
gosi 怪兽
gosj 怪事
gosn 官司
gosy 官商
got 宄
gotk 官厅
goto 寡头
gotq 宫廷
gowl 怪味
gowq 怪物
goxe 官衔
goxo 惯性
goyl 官员
goyn 怪异
goyt 惯用
goyy 寡言
gozg 怪罪
gozj 官职
gozu 怪招
gp 该
gpbg 该不该
gpbt 狗屁不通
gpby 诡辩
gpdf 该当
gpe 诟
gpez 诟
gpf 雇
gpfy 雇
gpgj 雇工
gpgs 该公司
gph 冠
gpht 冠
gpj 诂
gpjb 冠军杯
gpjl 诂
gpjp 冠军
gpjp 诡计
gpjp 诡谲
gpjs 冠军赛
gpjz 公平竞争
gpmq 诡秘
gpmt 冠名
gpmz 高朋满座
gpnp 雇农
gppw 该片
gpq 诰
gpqa 诰
gpqq 光盘驱动器
gpsc 股票市场
gpsk 该死
gpt 诡
gptk 诡
gptv 袼
gpv 褂
gpvv 诖
gpvv 褂
gpwy 该文
gpxb 冠心病
gpxj 该项
gpxm 该项目
gpy, 该
gpy. 冠以
gpyf 雇佣
gpyj 冠亚军
gpyl 雇员
gpym 该院
gpyn 诡异
gpyt 雇用
gpzm 该怎么
gpzp 诡诈
gpzy 雇主
gpzy 冠状
gq 管
gqb 罐
gqbb 攻其不备
gqbl 告别
gqbl 罐
gqbw 告白
gqcj 稿酬
gqck 告成
gqcq 告辞
gqdi 管道
gqdj 顾全大局
gqf 搿
gqf, 告发
gqfn 稿费
gqft 刮风
gqfz 搿
gqgq 乖乖
gqgx 供求关系
gqh 竿
gqh, 管好
gqhi 篝火
gqhs 篝
gqhx 秆
gqhx 竿
gqj 缸
gqjd 管脚
gqjf 稿件
gqjj 管教
gqjl 牯
gqjn 筻
gqjo 管家
gqjp 告诫
gqjt 告急
gqju 告捷
gqjz 缸
gql 告
gqlc 管理处
gqlf 管理费
gqlh 管理
gqlj 管理局
gqll 管路
gqlq 管理器
gqls 管理所
gqlx 管理学
gqly 管理员
gqlz 管理者
gqm 郜
gqmd 供求矛盾
gqml 关起门来
gqmo 告密
gqn 簋
gqn; 簋
gqng 管内
gqom 管
gqpf 乖僻
gqpk 告破
gqq 牿
gqqa 牿
gqqj 乖巧
gqqv 刮起
gqs 刮
gqsh 告示
gqsj 管事
gqsj 管束
gqsn 告诉你
gqsp 告诉
gqsw 告诉我
gqsx 各取所需
gqsz 乖
gqt 鸹
gqta 苟且偷安
gqtl 笱
gqtn 告退
gqto 罐头
gqtp 鹄
gqtp 鸹
gqts 苟且偷生
gqty 共青团员
gqu 箍
gquj 箍
gqwh 管委会
gqwn 告慰
gqx/ 管线
gqx; 管辖
gqxq 管辖权
gqxy 管弦乐
gqy 稿
gqye 隔墙有耳
gqyl 篙
gqyl 稿
gqyq 鼓起勇气
gqys 感情用事
gqyt 管用
gqz/ 告终
gqzm 稿子
gqzm 管子
gqzm 罐子
gqzp 告之
gqzq 告知
gqzq 管制
gqzw 国情咨文
gqzy 告状
gr 公
gr. 公
gra 虢
gra, 虢
grab 公安部
grac 公安处
graj 公安局
grao 公安
gras 谷氨酸
grat 公安厅
grb, 公办
grbh 供认不讳
grbj 刚柔并济
grbk 公布
grbu 公报
grby 公布于
grc; 公车
grcb 个人崇拜
grcc 公测
grcc 个人财产
grch 光荣称号
grci 公差
grck 公厕
grcl 隔热材料
grcn 公尺
grct 光荣传统
grde 公德
grdi 公道
grdq 公敌
grds 个人得失
grdv 谷地
grdy 谷底
grfc 公法
grff 感人肺腑
grfl 骨肉分离
grfn 公费
grfo 公愤
grfp 公房
grfr 公分
grgd 个人观点
grgi 公关
grgj 公共
grgk 公共课
grgl 公告栏
grgq 公告
grgr 公公
grgt 公馆
grhc 公海
grhf 公会
grhm 公函
grho 公害
grj. 公鸡
grje 公斤
grjf 公检法
grjj 公积金
grjj 工人阶级
grjo 公家
grjt 固若金汤
grjy 公交
grjy 公决
grkh 公开
grkj 公款
grkk 公开课
grks 公开赛
grkx 公开信
grl 谷
grlg 公里
grlh 公理
grli 公粮
grlj 公路局
grlk 公历
grll 公路
grlp 公论
grly 个人利益
grly 公立
grmb 公墓
grmn 公民
grmq 公民权
grnq 公牛
grpc 公派
grpf 公仆
grpi 公判
grpl 公平
grq; 公顷
grqn 个人全能
grqx 公权
grrp 公认
grrt 公然
grse 公所
grsf 公司法
grsg 公署
grsh 公式化
grsj 公事
grsm 公孙
grsn 公司
grso 公审
grsp 公诉
grsp 公社
grsq 公升
grsq 公私
grsr 个人收入
grss 个人所得税
grsz 公式
grt, 公帑
grtf 公堂
grtu 公投
grwb 公文包
grwg 公网
grwq 谷物
grwq 公物
grwt 公务
grwy 公文
grwy 公务员
grxc 骨肉相残
grxf 公休
grxj 刚柔相济
grxq 公选
gry. 公允
gry/ 公约
gryc 公演
gryg 公园
gryh 公元
gryi 公益
gryj 个人意见
gryk 公有
gryo 公寓
gryq 公元前
grys 个人隐私
gryt 公用
gryz 公有制
grz; 公转
grzc 公证处
grzc 过人之处
grzf 公众
grzj 公正
grzj 公职
grzl 个人资料
grzm 公子
grzm 谷子
grzp 公证
grzq 公制
grzr 公证人
grzs 公证书
grzx 公正性
grzy 个人主义
grzy 公章
grzy 公主
gs 杲
gscp 公司产品
gscw 隔三岔五
gsdg 根深蒂固
gsdj 哥斯达黎加
gsdl 瓜熟蒂落
gsfm 公私分明
gsfw 国事访问
gsfz 高速发展
gsgb 公事公办
gsgl 高速公路
gsgl 工商管理
gsgx 古色古香
gsgy 各式各样
gsh 旰
gshx 旰
gshy 公私合营
gsi 炅
gsir 炅
gsjb 攻守兼备
gsjj 各抒己见
gsjy 公司经营
gsls 高山流水
gsmc 高深莫测
gsnz 干涉内政
gsqy 工商企业
gsqz 各司其职
gsrc 骨瘦如柴
gsrc 更是如此
gssc 鬼使神差
gst 晷
gstu 晷
gstx 国色天香
gswl 格杀勿论
gsx 杲
gsxj 工商行政管理局
gsxl 工商行政管理
gsxz 工商行政
gsyc 更胜一筹
gsyh 工商银行
gsyl 更上一层楼
gsym 根深叶茂
gsyw 公司业务
gszc 公司注册
gszl 公司总经理
gszz 高速增长
gt 各
gt. 勾
gtbf 各部分
gtbg 够不够
gtbl 各别
gtbm 各部门
gtbw 各部委
gtby 各部
gtbz 关停并转
gtcc 钢铁长城
gtcs 各处室
gtct 各处
gtcy 各次
gtdf 勾当
gtdi 勾兑
gtdk 各大
gtdm 各队
gtdq 各地区
gtdu 勾搭
gtdv 各地
gtdw 各单位
gte 觚
gte. 觚
gtf 觥
gtfm 各方面
gtfq 觥
gtfy 各方
gtfy 共同富裕
gtfz 共同发展
gtg 龟
gtgf 各个
gtgg 各国
gtgh 猓
gtgh 龟
gtgj 鲴
gtgl 共同纲领
gtgn 鬼头鬼脑
gtgs 高抬贵手
gtgs 鳏
gtgt 逛逛
gtgx 够格
gtgy 逛公园
gthd 改天换地
gthe 各行
gthm 改头换面
gthr 光天化日
gthy 各行业
gthz 勾画
gtj 鲠
gtj/ 各级
gtj/ 勾结
gtjc 各阶层
gtjd 各阶段
gtje 逛街
gtjg 各界
gtjj 个体经济
gtjn 鲠
gtjo 各家
gtjy 个体经营
gtk 鳜
gtki 鳜
gtkl 高谈阔论
gtko 够快
gtkq 各科
gtl 各
gtld 个体劳动
gtli 各类
gtlj 勾勒
gtlk 龟裂
gtll 各路
gtls 旮旯
gtlx 各类型
gtly 共同利益
gtlz 个体劳动者
gtma 国泰民安
gtmz 各民族
gtng 馆内
gtnl 共同努力
gto 馆
gtom 馆
gtp 逛
gtpc 各派
gtpn 狗屁
gtpv 逛
gtqb 勾芡
gtqj 各期
gtql 够呛
gtqv 勾起
gtqx 各区县
gtqy 各企业
gtqz 各区
gtrf 各人
gtrg 狗肉
gts 旮
gts/ 龟缩
gtsn 狗屎
gtss 感同身受
gtst 各色
gtsx 各市县
gtsy 各市
gtsz 各式
gtt 够
gtt. 鲧
gttg 共同提高
gtti 够
gttl 狗
gtto 龟头
gttt 各条
gttz 狗腿子
gtv 鲑
gtvv 鲑
gtwc 共同完成
gtwf 各位
gtwo 狗窝
gtx. 狗熊
gtx/ 各乡
gtxg 各县
gtxj 各项
gtxk 各学科
gtxq 各县区
gtxs 各县市
gty 犷
gtyc 犷
gtyk 各有
gtyn 勾引
gtyn 各异
gtys 各业
gtyt 够用
gtyx 各样
gtzb 各总部
gtzc 共同之处
gtzf 勾住
gtzm 馆子
gtzq 各种
gtzq 馆长
gtzw 各自
gtzx 各条战线
gtzy 各族
gu 搞
gu/ 掼
gu/a 掼
gubd 搞不懂
gubq 搞不清
gubt 挂包
guck 搞成
gucm 搞出
gucr 挂彩
gucz 搞错
gud; 搞到
gude 搞得
gudi 挂断
gudo 搞定
gudu 挂掉
gufp 闺房
gug 掴
gugh 掴
gugw 搞鬼
gugx 拐棍
gugz 挂钩
guh, 搞好
guhc 搞活
guhf 挂号费
guhl 挂号
guhx 挂号信
guj 拱
guja 拱
gujs 擀
gujt 拐角
guju 挂接
gujx 挂机
gujz 扛
gukq 挂靠
gukv 搞垮
gul 拐
gul, 拐
gulk 挂历
gulq 搞乱
gulx 阁楼
gumc 挂满
gumj 拐卖
gumk 挂面
gumt 挂名
gun, 闺女
gunf 挂念
gup/ 拐骗
gupw 挂牌
guq 括
guqc 搞清
guqc 搁浅
guqv 挂起
guqx 拱桥
guqx 括
gusa 挂上
gusd 挂帅
gusq 拱手
gusq 挂失
gut 阁
gut. 搞通
gutv 阁
guu 搁
guu, 搁
guv 挂
guvv 闺
guvv 挂
guwy 拐弯
guxh 拱形
guxj 阁下
guxq 搞笑
guyl 阁员
guyl 搞
guzg 搁置
guzi 挂着
guzj 挂职
guzk 挂在
guzt 拱猪
guzx 拐杖
gv 赶
gvbs 赶不上
gvcm 赶出
gvcv 赶超
gvd; 赶到
gve 垢
gvez 垢
gvf 卦
gvfv 赶赴
gvgv 坩埚
gvhg 赶回
gvhx 赶
gvj 埂
gvja 坩
gvjf 赶集
gvjn 埂
gvjs 赶紧
gvkj 赶考
gvko 赶快
gvl 埚
gvlg 埚
gvll 赶路
gvll 赶来
gvmo 赶忙
gvq 圪
gvqb 圪
gvqj 赶巧
gvqv 赶去
gvsa 赶上
gvv 圭
gvwe 赶往
gvxj 赶下
gvxt 卦象
gvy 垓
gvy, 垓
gvz 塥
gvzi 赶着
gvzk 赶在
gvzl 塥
gvzq 赶制
gvzv 赶走
gw 鬼
gw. 鬼
gwbt 岗位补贴
gwbx 鬼把戏
gwcj 鬼才
gwe 皈
gwe. 皈
gwg 盥
gwgj 过五关斩六将
gwgo 鬼怪
gwgs 盥
gwhc 鬼混
gwhf 鬼画符
gwhh 鬼魂
gwhi 鬼火
gwhp 鬼话
gwjb 鬼节
gwjc 鬼见愁
gwjl 高屋建瓴
gwjl 古往今来
gwjt 岗位津贴
gwjy 古为今用
gwk 皋
gwky 皋
gwld 鬼脸
gwmg 鬼门关
gwmj 拐弯抹角
gwmw 鬼魅
gwn 躬
gwnb 躬
gwpp 锅碗瓢盆
gwpx 岗位培训
gwrx 鼓舞人心
gwrz 广为人知
gwsc 国外市场
gwsp 歌舞升平
gwsp 鬼神
gwtz 姑妄听之
gwv 睾
gwvi 睾
gwwt 睾丸
gwwy 国务委员
gwxd 狗尾续貂
gwyf 皈依
gwyl 国务院总理
gwys 鬼影
gwyt 国务院办公厅
gwyz 更为严重
gwzm 鬼子
gwzx 购物中心
gwzy 更为重要
gwzz 岗位责任制
gx 根
gx; 柜
gx;; 柜
gxbf 根本法
gxbj 根本
gxbs 根本上
gxbx 根本性
gxbx 棍棒
gxby 根部
gxck 构成
gxcm 根除
gxcs 各项措施
gxcx 棺材
gxdj 勾心斗角
gxdo 格斗
gxdy 根底
gxf 桧
gxfh 桧
gxfq 桄
gxgg 敢想敢干
gxgp 桂冠
gxgs 古香古色
gxgx 格格
gxgx 杠杆
gxgx 梗概
gxgz 改邪归正
gxgz 改弦更张
gxgz 各项工作
gxh 杆
gxhb 桂花
gxhd 更新换代
gxhl 根号
gxhx 杆
gxj 杠
gxj, 构架
gxj/ 根绝
gxja 柑
gxjb 杆菌
gxjc 工薪阶层
gxjd 根据地
gxjf 构件
gxjj 根基
gxjm 供需见面
gxjn 梗
gxjn 格局
gxjn 构建
gxjq 高新技术产业开发区
gxjs 高新技术
gxju 根据
gxjx 柑桔
gxjz 杠
gxku 概括
gxkx 概括性
gxky 概况
gxle 格律
gxlg 概略
gxlj 根瘤菌
gxll 贡献力量
gxlp 概论
gxlq 橄榄球
gxlu 格拉
gxlx 橄榄
gxlx 桂林
gxly 概率
gxlz 橄榄枝
gxlz 杠铃
gxmd 供需矛盾
gxml 根目录
gxmq 关系密切
gxmr 概貌
gxn 概
gxn; 概
gxn; 根
gxnf 概念
gxnh 概念化
gxns 橄
gxo 棺
gxom 棺
gxq 梏
gxqa 梏
gxqj 姑息迁就
gxqs 各行其是
gxqx 栝
gxqy 甘心情愿
gxrj 共享软件
gxrs 感性认识
gxs 棍
gxs; 棍
gxsg 构思
gxsh 格式化
gxsj 概述
gxsj 归心似箭
gxso 梗塞
gxsq 概算
gxst 各显神通
gxsy 隔靴搔痒
gxsz 格式
gxt 格
gxt. 构
gxt. 柜台
gxtg 构图
gxtl 枸
gxtv 格
gxv 桂
gxvv 桂
gxw 槔
gxwn 槔
gxwt 格外
gxxo 根性
gxxt 根系
gxxx 构想
gxy 槁
gxyc 根源
gxyg 桂圆
gxyj 概要
gxyj 姑息养奸
gxyl 椁
gxyl 槁
gxyy 格言
gxyz 改弦易辙
gxzc 根治
gxzd 各项制度
gxzh 关系正常化
gxzm 棍子
gxzm 格子
gxzm 梗阻
gxzm 柜子
gxzn 古稀之年
gxzq 广西壮族自治区
gxzq 构造
gxzq 构筑
gy 高
gyaf 高傲
gyao 广安
gyaq 高矮
gyas 高昂
gybj 广博
gybj 过犹不及
gybk 广布
gybm 工业部门
gybq 过意不去
gybs 歌咏比赛
gybt 各有不同
gybu 广播
gybz 高标准
gyc 广
gycc 高潮
gycc 高层次
gycc 苟延残喘
gyck 庚辰
gycl 高唱
gycm 高出
gycn 高层
gycp 工业产品
gycs 高材生
gyct 高处
gycv 广场
gycv 高超
gycx 敢于创新
gycy 高产
gycz 工业产值
gyd 膏
gyd; 广东
gyda 高点
gydb 高蛋白
gydf 高低
gydg 广电
gydh 广东话
gydk 广大
gydk 高大
gydk 高达
gydl 告一段落
gydq 高等
gydv 高地
gydx 高档
gydy 高度
gydy 高端
gydy 疙瘩
gydy 广度
gyef 高尔夫
gyeh 高二
gyeo 高额
gyfc 广泛
gyfg 高峰
gyfh 广丰
gyfq 高峰期
gyfr 高分
gyfs 工业废水
gyfx 广泛性
gyfz 高分子
gyg 裹
gygf 高估
gygf 赓
gygg 高贵
gygh 高干
gygh 裹
gygj 高工
gygj 痼
gygl 高跟
gygl 高
gygo 高官
gygp 广告牌
gygq 广告
gygx 高跟鞋
gygy 高高
gygz 高歌
gyhl 高呼
gyhl 高喊
gyho 高寒
gyht 官运亨通
gyj 疳
gyj. 庋
gyj/ 高级
gyja 疳
gyjc 赣江
gyjd 工业基地
gyjf 高价
gyjg 高见
gyjj 高教
gyjj 高精尖
gyjl 高叫
gyjn 高居
gyjo 高举
gyjs 高技术
gyjt 广角
gyjy 广交
gykh 广开
gykj 高考
gykj 高科技
gyko 高空
gyku 广阔
gyky 高亢
gyla 高龄
gylc 高粱
gyld 高利贷
gylf 高领
gyli 高炉
gyll 高利率
gylp 高论
gylr 高利润
gylw 挂一漏万
gylx 高楼
gylz 高丽
gym 郭
gymc 广漠
gymd 高密度
gymg 高帽
gyms 高明
gymy 广袤
gyn 庚
gyn. 高能
gynd 高难度
gynj 高年级
gynk 庚
gypa 高频
gypj 高配
gypo 戆
gyps 观音菩萨
gypx 高攀
gyq 疙
gyqb 疙
gyqc 高清
gyqd 高强度
gyql 高跷
gyqn 高强
gyqq 各有千秋
gyqv 高墙
gyqy 国有企业
gyqy 工业企业
gyr 衮
gyr. 衮
gyrf 高人
gyru 高热
gysa 各有所爱
gysc 高深
gysf 高尚
gysf 高耸
gysf 高僧
gysg 高山
gysh 高三
gysi 高烧
gysj 高速
gysj 光阴似箭
gysj 高声
gysp 高水平
gysq 高手
gysr 高收入
gyss 公用设施
gysy 公益事业
gysz 高素质
gysz 更有甚者
gyt 赣
gyte 高徒
gytr 挂羊头卖狗肉
gytu 高挑
gyty 赣
gywc 高温
gywd 高纬度
gywf 高位
gywi 广为
gywm 关于我们
gywr 工业污染
gywt 高危
gyxb 高薪
gyxf 高消费
gyxj 广西
gyxk 高雄
gyxl 高效率
gyxn 高性能
gyxo 高兴
gyxq 高新区
gyxx 高校
gyxy 高效
gyxy 高血压
gyxz 高血脂
gyy; 高雅
gyyb 膏药
gyyd 高压电
gyyg 高压锅
gyyh 高于
gyyi 广义
gyyk 高原
gyyk 高压
gyym 高院
gyyq 高于一切
gyyv 广域
gyyw 广域网
gyyx 高压线
gyyy 过眼云烟
gyyy 高音
gyyz 高一
gyzb 高招办
gyzc 高涨
gyze 高质
gyzg 高中
gyzi 广州
gyzi 赣州
gyzl 高质量
gyzl 顾影自怜
gyzm 庚子
gyzp 高祖
gyzs 高中生
gyzs 广州市
gyzt 高姿态
gyzu 高招
gyzz 工业总产值
gz 哥
gz; 匦
gz;a 匦
gzap 工作安排
gzb 钆
gzba 刚正不阿
gzbg 工作报告
gzbq 钢笔
gzbq 裹足不前
gzbx 钢板
gzcj 歌唱家
gzck 钢厂
gzcl 歌唱
gzcp 歌词
gzcw 改正错误
gzcx 钢材
gzd, 钢刀
gzdw 工作单位
gzdy 工资待遇
gzdz 钢钉
gzet 哥儿
gzff 工作方法
gzfg 歌赋
gzfs 工作方式
gzg 钢
gzg; 钢轨
gzgi 鬲
gzgi 锅盖
gzgj 亘古
gzgj 锢
gzgj 匮
gzgl 工资管理
gzgq 钢管
gzgr 钢
gzgw 敢作敢为
gzgz 哥哥
gzhc 钢混
gzhf 钙化
gzhl 歌喉
gzhy 工作会议
gzj 钙
gzj, 钢架
gzj; 钙
gzjg 公证机关
gzjh 工作计划
gzjj 固执己见
gzjl 钴
gzjn 歌剧
gzjq 钢筋
gzjy 工作经验
gzkb 管中窥豹
gzkk 钢盔
gzl 锅
gzlb 哥伦布
gzlc 工作流程
gzld 工作力度
gzlg 锅
gzli 锅炉
gzmf 哥们
gzmi 歌迷
gznm 孤掌难鸣
gzpi 钢瓶
gzpp 歌谱
gzpw 钙片
gzq 锆
gzqa 锆
gzqg 歌曲
gzqh 钢琴
gzqk 工作情况
gzqq 钢琴曲
gzqz 各族群众
gzrc 果真如此
gzrm 各族人民
gzrs 狗仗人势
gzrw 工作任务
gzry 工作人员
gzs 亘
gzs/ 钢丝
gzsg 钢水
gzsj 歌声
gzsj 钢索
gzsq 歌手
gzsr 歌颂
gzss 钢丝绳
gzsz 亘
gzt 歌
gzt. 钩
gztc 钢铁厂
gztf 歌
gztj 工作条件
gztk 歌厅
gztq 哥特
gztv 歌坛
gztv 铬
gztz 钢铁
gzwq 歌舞
gzwt 歌舞团
gzwy 高枕无忧
gzwz 各自为政
gzxl 工作效率
gzxs 歌星
gzxz 工作性质
gzy 镐
gzyb 歌艺
gzyc 各执一词
gzyl 歌咏
gzyl 镐
gzyp 歌谣
gzyq 鼓足勇气
gzyz 高瞻远瞩
gzyz 公之于众
gzyz 孤注一掷
gzyz 光宗耀祖
gzz 镉
gzzd 规章制度
gzze 钙质
gzzi 锅灶
gzzj 工作总结
gzzl 哥
gzzl 镉
gzzm 钩子
gzzt 故作姿态
