j 就
jhqv 进去
jhqx 进取心
jhrf 进人
jhrr 进入
jhrt 井然
jhrw 机毁人亡
jhrx 江河日下
jhsc 惊慌失措
jhsf 击伤
jhsf 进食
jhsg 井水
jhsg 进山
jhsg 进水
jhsj 进士
jhsk 击碎
jhsy 计划生育
jhsy 镜花水月
jht 玑
jht. 井台
jhtg 井田
jhtk 静态
jhtl 静听
jhtn 静
jhtn 进退
jhtn 击退
jhtv 玖
jhty 酒后吐真言
jhtz 计划体制
jhw 井
jhwd 惊魂未定
jhwf 进位
jhwh 计划委员会
jhwn 进屋
jhwq 静物
jhwx 家和万事兴
jhxb 进修班
jhxe 进行
jhxf 进修
jhxf 借花献佛
jhxj 井下
jhxp 静心
jhxq 进行曲
jhxs 进修生
jhxz 进行着
jhyb 进一步
jhyi 静养
jhyj 交换意见
jhyk 静压
jhyr 嫁祸于人
jhyx 集会游行
jhyy 进言
jhz/ 进驻
jhza 静止
jhzb 计划指标
jhzf 静坐
jhzg 击中
jhzn 进展
jhzq 进制
jhzy 机会主义
jhzy 进站
ji 精
ji, 剪
ji,z 姜
ji. 翦
ji.; 翦
ji/ 卷
ji; 兼
ji;; 炬
ji;z 兼
jiah 煎熬
jibi 兼并
jibt 兼备
jibw 精兵
jici 精粹
jicj 剪裁
jicp 精诚
jicq 兼程
jicr 精彩
jicr 剪彩
jid, 剪刀
jide 兼得
jidf 精当
jidp 精读
jidy 精度
jif/ 精纺
jig 眷
jigf 精光
jigh 精干
jigh 眷
jigj 精工
jigk 兼顾
jigl 炯
jigq 兼管
jigs 蠲
jiha 精
jihf 精华
jiho 精悍
jij 粳
jij; 剪辑
jijg 兼具
jijn 粳
jijq 精简
jijy 精减
jikk 精矿
jil, 精力
jili 精炼
jiln 精灵
jilp 精良
jilt 精馏
jily 眷恋
jim, 精妙
jimi 精美
jimk 卷面
jimo 精密
jimq 剪毛
jims 精明
jin 烬
jinb 糨
jinj 精囊
jinr 烬
jint 焗
jio 煎
jioo 煎
jipl 精品
jipn 精辟
jiq; 剪切
jiqb 剪切板
jiqd 精确度
jiqg 卷曲
jiqj 精巧
jiqk 精确
jiqs 精气神
jiqv 卷起
jir 爝
jir/ 卷绕
jirf 兼任
jiri 爝
jiro 兼容
jirr 卷入
jirx 兼容性
jirz 精锐
jis 羯
jisb 精神病
jisc 精深
jisg 精髓
jism 兼收
jisn 眷属
jisp 精神
jisq 精算
jiss 精神上
jist 羯
jit 鹣
jit. 精通
jitb 剪贴板
jitg 剪贴
jitp 鹣
jitq 卷筒
jiwe 精微
jix 桊
jix/ 精细
jixc 卷心菜
jixp 精心
jixq 精选
jiyb 精英
jiyc 焗油
jiyc 精液
jiyh 精于
jiyi 卷烟
jiyj 卷扬机
jiyk 兼有
jiys 剪影
jiyv 精盐
jiz/ 剪纸
jiz; 精致
jizb 精装本
jizc 精湛
jizj 兼职
jizm 精子
jizo 卷宗
jizq 精制
jizy 精装
jj 基
jj, 嘉
jj,l 嘉
jj. 柬
jj.c 柬
jj; 戟
jj;r 戬
jj;r 戟
jja 醵
jja, 醵
jjao 教案
jjb 鞯
jjbb 结结巴巴
jjbc 经济补偿
jjbf 基本法
jjbg 基本功
jjbj 基本
jjbk 鞯
jjbm 经济部门
jjbo 嘉宾
jjbp 聚宝盆
jjbs 经久不衰
jjbw 救兵
jjbx 经久不息
jjby 聚变
jjc. 教参
jjca 聚餐
jjcb 基础部
jjcc 进进出出
jjcf 经济成分
jjcj 积极参加
jjcj 晋察冀
jjck 基础
jjcm 救出
jjcn 基层
jjcp 晋祠
jjcq 教程
jjcs 基础上
jjcv 晋城
jjcx 教材
jjcy 积极参与
jjd; 聚到
jjda 基督
jjda 基点
jjdb 经济担保
jjdc 教导处
jjdd 简简单单
jjdf 晋代
jjdi 截断
jjdj 基督教
jjdl ^金鸡独立
jjdn 教导
jjdv 基地
jjdx 踽踽独行
jjdy 教导员
jjdz 阶级斗争
jje 靳
jjej 靳
jjf 截
jjf; 基辅
jjfa 解决方案
jjfc 教法
jjfd 经济发达
jjfd 基肥
jjfd 经济负担
jjfq 经济发达地区
jjfr 教父
jjfr 经济繁荣
jjfs 经济封锁
jjfy 醮
jjfy 截
jjfz 经济发展
jjg 贾
jjg/ 教给
jjgd 聚光灯
jjgf 赍
jjgf 贾
jjgg 救国
jjgh 堇
jjgj 教工
jjgl 经济管理
jjgn 教改
jjgo 教官
jjgq 截稿
jjgr 经济过热
jjgt 觐
jjgw 鞠躬
jjgx 经济关系
jjgy 近几个月
jjhb 截获
jjhc 救活
jjhd 经济活动
jjhf 聚会
jjhf 教会
jjhh 家家户户
jjhi 救火
jjhj 经济环境
jjhp 教诲
jjhs 聚精会神
jjhu 救护
jjhy 紧急会议
jjj 酵
jjj/ 晋级
jjjc 救济
jjjf 基金
jjjf 聚集
jjjf 聚焦
jjjg 经济结构
jjjh 基金会
jjjh 截击
jjjj 将计就计
jjjj 斤斤计较
jjjj 救济金
jjjk 酵
jjjl 兢
jjjm 棘
jjjn 基建
jjjn 聚居
jjjq 经济技术开发区
jjjq 聚积
jjjq 聚居区
jjjs 经济建设
jjjt 救急
jjjw 经济交往
jjjy 嘉奖
jjjz 戒骄戒躁
jjjz 髻
jjk 颉
jjkf 经济开发
jjkg 颉
jjkp 教课
jjkq 经济开发区
jjks 教科书
jjkw 岌岌可危
jjkw 教科文
jjkx 经济科学
jjky 久经考验
jjkz 积极开展
jjl 吉
jjl/ 教练
jjla 教龄
jjlc 截流
jjld 津津乐道
jjlf 聚敛
jjlj 嘉陵江
jjll 经济理论
jjlm 基隆
jjlp 吉隆坡
jjlq 吉利
jjlt 截留
jjlu 聚拢
jjlx 吉林
jjly 经济利益
jjm 鄄
jjm/ 酵母
jjmd 阶级矛盾
jjmf 救命
jjmj 酵母菌
jjmk 截面
jjmm 急急忙忙
jjmn 救民
jjmt 嘉勉
jjmy 经济贸易
jjn 嘏
jjna 嘏
jjnl 近几年来
jjns 吉尼斯
jjny 经久耐用
jjnz 绞尽脑汁
jjnz 基诺族
jjpc 吉普车
jjpc 教派
jjpi 吉普
jjpj 吉普车
jjps 吉普赛
jjpz 柬埔寨
jjq 教
jjqd 鬏
jjqj 截取
jjqk 紧急情况
jjql 竭尽全力
jjql 贾庆林
jjqr 救
jjqr 教
jjqv 救起
jjqy 嘉庆
jjrb 经济日报
jjrf 救人
jjrs 吉日
jjrt 截然
jjry 精简人员
jjs 晋
jjs/ 教书
jjsd 教师
jjsf 教唆犯
jjsh 经济社会
jjsi 基数
jjsj 教师节
jjsk 基石
jjsl 教唆
jjsl 经济实力
jjsl 节节胜利
jjso 教室
jjsq 晋升
jjsq 棘手
jjss 经济损失
jjst 经济实体
jjsu 教授
jjsy 救生衣
jjsz 救世主
jjt 鞫
jjt. 吉通
jjtd 积极态度
jjte 教徒
jjtf 吉他
jjtf 教堂
jjtg 截图
jjti 鞠
jjtj 经济条件
jjto 吉它
jjtq 经济特区
jjts 积极探索
jjtt 教条
jjtx 经济体系
jjty 鞫
jjtz 经济体制
jjv 墼
jjv 基
jjw 聚
jjwc 教务处
jjwe 聚
jjwj 经济危机
jjwl 经济往来
jjwq 教委
jjwr 紧紧围绕
jjws 接近尾声
jjwt 教务
jjww 唧唧歪歪
jjwy 救亡
jjwz 教务长
jjx/ 基线
jjxa 聚酰胺
jjxd 积极行动
jjxf 教学法
jjxj 经济学家
jjxl 涓涓细流
jjxl 教学楼
jjxo 教学
jjxp 教训
jjxp 吉祥
jjxr 吉凶
jjxs 见机行事
jjxs 救星
jjxw 吉祥物
jjxx 经济信息
jjxy 经济效益
jjxz 经济协作
jjyb 教育部
jjyc 教育处
jjyg 基因
jjyg 嘉裕关
jjyh 基于
jjyi 教养
jjyj 教育局
jjyk 教研
jjyl 教员
jjys 炯炯有神
jjys 基业
jjys 教研室
jjyt 井井有条
jjyt 济济一堂
jjyt 教育厅
jjyu 救援
jjyw 津津有味
jjyx 教育学
jjyy 教育
jjyy 兢兢业业
jjyz 基因组
jjz; 截至
jjza 截止
jjzb 经济指标
jjzc 救治
jjzd 截止到
jjzf 聚众
jjzf 截住
jjzg 救助
jjzj 聚酯
jjzk 聚在
jjzl 经济增长率
jjzm 教子
jjzo 救灾
jjzr 吉兆
jjzr 经济责任
jjzt 紧急状态
jjzw 经济作物
jjzy 基准
jjzz 叽叽喳喳
jjzz 经济增长
jjzz 经济组织
jk 碱
jk; 戛
jk;r 戛
jkbd 叫苦不迭
jkbt 绝口不提
jkby 缄口不言
jkcs 健康长寿
jkcy 艰苦创业
jkcz 交口称赞
jkdq 歼敌
jkdy 碱度
jkf 礁
jkfd 艰苦奋斗
jkfl 硷
jkfy 礁
jkfz 健康发展
jkhf 碱化
jki 厥
jki; 厥
jkj 礓
jkjh 歼击
jkjj 歼击机
jkjn 礓
jkjs 碱金属
jkkz 碱
jklt 叫苦连天
jkm 殛
jkml 歼灭
jkml 殛
jkn 厩
jkn; 厩
jkps 艰苦朴素
jkq 歼
jkqk 健康情况
jkqx 歼
jks 剞
jks 劂
jksi 奇数
jksk 礁石
jksp 进口商品
jkst 碣
jkt 矶
jkww 教科文卫
jkwz 惊恐万状
jkx 丌
jkxo 碱性
jkz 奇
jkzj 艰苦卓绝
jkzk 健康状况
jkzl 奇
jl 叫
jl, 跏
jl,l 跏
jl; 距
jl;; 距
jl;r 戢
jl;t 喈
jla 噱
jla, 噱
jlbd 接连不断
jlbx 夹板
jlbx 叫板
jlcf 纪律处分
jlch 叫春
jlcj 积劳成疾
jlcj 江郎才尽
jlcn 夹层
jlcp 精力充沛
jld; 叫到
jlde 叫得
jldi 叫道
jldj 夹带
jldw 计量单位
jlew 尽力而为
jlf 噍
jlf/ 夹缝
jlfc 叫法
jlfy 加利福尼亚
jlfy 噍
jlg 咀
jlgh 咀
jlgj 夹攻
jlgl 叽里咕噜
jlgl 叽里呱啦
jlh 践
jlh, 叫好
jlh, 践
jlhd 交流活动
jlhl 叫喊
jlhl 叫唤
jlhr 解铃还须系铃人
jlhw 趼
jlhz 叫花子
jli 嗟
jlih 嗟
jlj 咭
jlj/ 叫绝
jljc 纪律检查
jljf 距今
jljg 夹具
jljh 夹击
jljl 咀嚼
jljq 建立健全
jljt 夹角
jljy 交流经验
jljz 激励机制
jljz 咭
jlk 蹶
jlkb 叫苦
jlkg 颊
jlki 噘
jlki 蹶
jlkj 夹克
jlll 叫来
jlly 距离
jllz 据理力争
jlm 郏
jlm 叫
jlmg 紧锣密鼓
jlmj 叫卖
jlml 叫骂
jlmu 叫门
jln 踞
jln. 跽
jln; 唧
jlnh 踺
jlnq 踞
jlq 夹
jlqc 夹
jlqd 啾
jlqv 夹起
jlr 嚼
jlrf 叫人
jlri 嚼
jlrl 叫嚷
jlrs 军令如山
jlsj 叫声
jlsm 举例说明
jlsw 跻身
jlsx 交流思想
jlsy 跻身于
jlt 叽
jltl 践踏
jltp 鹃
jlw 踽
jlwm 价廉物美
jlwn 踽
jlwy 见利忘义
jlx 噤
jlxj 叫醒
jlxl 叫嚣
jlxx 噤
jly 跤
jlym 纪律严明
jlyr 跻
jlyr 霁
jlyr 哜
jlyr 跤
jlyt 急流勇退
jlyy 夹衣
jlza 记录在案
jlzd 奖励制度
jlzf 叫做
jlzi 叫着
jlzi 夹着
jlzj 积累资金
jlzk 夹在
jlzm 夹子
jlzt 夹杂
jlzx 交流中心
jm 际
jm/ 卺
jmbq 降半旗
jmcn 阶层
jmd; 降到
jmdf 降低
jmdw 阶段
jmdx 阶段性
jmey 简明扼要
jmf 阶
jmfg 降幅
jmfw 阶
jmgd 鸡鸣狗盗
jmgj 军民共建
jmgx 降格
jmhd 际
jmhi 降火
jmhw 阱
jmj/ 阶级
jmj/ 降级
jmjf 降价
jmjl 精美绝伦
jmjt 降解
jmjx 阶级性
jmln 今明两年
jmls 降临
jmlt 降落
jmlt 今明两天
jmlx 紧密联系
jmny 挤眉弄眼
jmqg 精明强干
jmsc 集贸市场
jmsg 降水
jmsl 降水量
jmsp 鸡毛蒜皮
jmsq 降生
jmsz 居民身份证
jmt 降
jmtj 紧密团结
jmtx 阶梯
jmty 降
jmv 孓
jmwc 降温
jmwh 居民委员会
jmwi 降为
jmwj 绝密文件
jmwl 假冒伪劣
jmwq 举目无亲
jmxe 亟须
jmxj 降下
jmxl 降雪
jmxq 阶下囚
jmxw 降息
jmyg 际遇
jmyj 降雨
jmyk 降压
jmyl 降雨量
jmyq 精密仪器
jmz 亟
jmz 孑
jmz; 降至
jmzh 近墨者黑
jmzj 降职
jmzr 节目主持人
jmzs 静脉注射
jn 即
jn. 建
jn.j 弪
jn; 既
jn;t 既
jnao 建安
jnb 己
jnbf 即便
jnbj 剧本
jnbk 既不
jnbn 既不能
jnbp 即被
jnbu 即把
jnby 局部
jncf 局促
jncj 君臣
jnck 建成
jncv 剧场
jncx 建材
jnd; 尽到
jnde 既得
jndf 建党
jndh 剧毒
jndj 建都
jndo 既定
jndt 居多
jndx 建档
jne 屐
jnea 屐
jnef 屦
jnel 九牛二虎之力
jnfa 既非
jnfd 酒囊饭袋
jnfp 建房
jnfy 己方
jng 届
jnga 缉拿归案
jngg 建国
jngj 建功
jngj 届
jngq 尽管
jngx 建构
jngy 居高
jnh, 建好
jnhd 纪念活动
jnhe 建行
jnhp 忌讳
jnj 居
jnj/ 局级
jnjf 剧集
jnjg 疆界
jnjh 节能降耗
jnjj 建军节
jnjl 居
jnjn 疆
jnjo 居家
jnjp 建军
jnju 居间
jnjy 即将
jnjy 建交
jnkk 艰难困苦
jnkn 尽可能
jnko 尽快
jnky 即刻
jnkz 即可
jnl 君
jnl, 尽力
jnlg 强
jnlk 剧烈
jnln 俊男靓女
jnlq 建立起
jnls 尽量
jnlt 居留
jnly 建立
jnlz 建立在
jnm 郡
jnm 即
jnmc 届满
jnmg 剧目
jnmj 锦囊妙计
jnmk 局面
jnmn 居民
jnmq 居民区
jnmx 建模
jnn. 既能
jno 尽
jnp 忌
jnpo 忌
jnpp 剧评
jnq 犟
jnqj 即期
jnqj 犟
jnql 尽全力
jnqo 尽情
jnqo 剧情
jnqv 建起
jnqx 君权
jnqz 艰难曲折
jnrf 己任
jnrs 即日
jnrt 既然
jnrt 居然
jns 剧
jnsa 居上
jnsb 建设部
jnse 居所
jnsf 即使
jnsj 居士
jnsl 吉尼斯纪录
jnsn 局属
jnso 居室
jnsp 建设
jnss 既是
jnss 届时
jnss 即时
jnsu 局势
jnsw 建设为
jnsx 建设性
jnsx 建树
jnsz 暨
jnsz 建设者
jnt 局
jntg 剧团
jntl 局
jnto 尽头
jntv 疆土
jnty 剧痛
jnwe 既往
jnwf 即位
jnwh 居委会
jnwh 君王
jnwi 即为
jnwq 建委
jnwr 局外人
jnwt 局外
jnxm 局限
jnxo 尽兴
jnxo 即兴
jnxp 尽心
jnxp 居心
jnxx 局限性
jnxy 局限于
jnxy 即席
jnxz 解囊相助
jnxz 艰难险阻
jny. 即以
jny; 即与
jnyh 建于
jnyh 居于
jnyj 既要
jnyk 既有
jnyl 今年以来
jnym 九牛一毛
jnym 剧院
jnyn 即已
jnyp 建议
jnys 建议书
jnyt 即用
jnyv 疆域
jnyv 局域
jnyw 局域网
jnz/ 剧组
jnz/ 剧终
jnzf 居住
jnzg 居中
jnzh 尽责
jnzj 尽职
jnzk 建在
jnzm 君子
jnzq 建筑
jnzq 建造
jnzq 局长
jnzs 尽早
jnzs 建筑师
jnzv 剧增
jnzw 建筑物
jnzx 建筑学
jnzy 建筑业
jnzy 君主
jo 家
joa 寂
joaj 寂
job, 举办
joba 举步
jobr 举报人
jobu 举报
jobw 举兵
jobx 举杯
jocf 家常
jocg 家财
joch 家蚕
jock 寄存
jocm 家丑
jocm 寄出
joco 觉察
jocp 惊诧
jocq 寄存器
jocu 举措
jocu 家畜
jocy 家产
jod; 寄到
jode 觉得
jodf 家当
jodg 家电
jodh 举动
jodh 惊动
jody 家底
joeo 惊愕
jofc 家法
jofp 家访
jofr 家父
jofy 寄放
jog 觉
jog/ 寄给
jogg 举国
jogh 惧
jogh 家规
jogt 觉
joh 举
joh/ 惊骇
johf 家伙
johg 寄回
johl 惊呼
joho 惊慌
johx 举
joi 窭
joij 窭
jojb 举荐
jojg 家具
jojh 寂静
joji 家眷
jojj 家教
jojk 惊厥
jojl 惊叫
jojn 家居
jojo 家家
jojr 寄件人
jojv 家境
jojv 窘境
jojy 究竟
jok 寄
jok, 家
jokj 惊恐
joky 寄
jol 蹇
jola 蹇
jolf 举例
jolg 家里
joll 寄来
jolr 家里人
jomg 举目
jomk 家门口
jomo 寂寞
jomu 家门
jon 窘
jong 惧内
jonk 窘
jopo 惧怕
jopp 家谱
jopr 家贫
jopw 窘迫
jopw 举牌
joq 窖
joqa 窖
joqd 悸
joqf 家禽
joqj 究其
joqk 惊奇
joqv 举起
joqx 举枪
joqz 寄钱
jorf 家人
jorf 惊人
joru 惊扰
jos 憬
jos/ 家书
josc 寄生虫
josf 家什
josg 家史
josi 寄送
josj 举世
josl 家属楼
josn 家属
joso 寄宿
josq 寄生
josq 举手
joss 寄宿生
josy 憬
jot 究
jotk 窘态
jotl 惊叹
jott 家兔
jotu 寄托
joty 家庭
jowe 寄往
jowh 家务活
jowo 觉悟
jows 家务事
jowt 家务
jowy 寄望
jox/ 家乡
joxe 举行
joxf 寄信
joxh 惊现
joxj 惊喜
joxj 觉醒
joxj 惊醒
joxl 惊吓
joxm 惊险
joxp 惊心
joxw 寄希望
joy 惊
joy. 寄予
joyg 家园
joyh 謇
joyl 惊
joyn 惊异
joyp 惊讶
joyp 寄语
joys 家业
joyt 家用
joz; 寄至
joza 举止
jozg 家中
jozi 举着
jozj 家政
jozp 举证
jozq 家长
jozq 举重
jozu 惊蛰
jozw 寄自
jozy 家族
jozz 家长制
jp 军
jp, 皲
jp,g 皲
jp. 谲
jp.m 谲
jp; 讵
jp;; 讵
jp;j 军
jpbd 肩膀
jpbj 肩并肩
jpbl 诀别
jpbq 记不清
jpbt 军备
jpby 军部
jpc; 军车
jpcc 计程车
jpcf 记仇
jpcj 计酬
jpcm 讲出
jpcq 计策
jpcz 记错
jpd 肩
jpd, 军刀
jpd; 讲到
jpdb 军代表
jpdd 讲道德
jpde 记得
jpdg 记大过
jpdi 讲道
jpdl 讲道理
jpdm 军队
jpdv 军地
jpf 衿
jpfc 军法
jpfc 讲法
jpfd 军服
jpfm 谨防
jpfn 计费
jpfn 军费
jpfp 讥讽
jpfp 衿
jpfq 军分区
jpfr 记分
jpft 肩负
jpfu 军阀
jpfy 军方
jpfz 袷
jpg 扃
jpg/ 讲给
jpgc 军工厂
jpgd 鸡皮疙瘩
jpgg 军国
jpgh 军规
jpgj 记过
jpgj 军工
jpgj 记功
jpgj 讲过
jpgl 扃
jpgo 军官
jpgq 讲稿
jpgs 讲故事
jpgz 军歌
jph 讲
jph; 计划
jphb 计划表
jphc 计划处
jphi 军火
jphk 军火库
jphl 记号
jphn 计划内
jpho 记恨
jpho 襟怀
jphp 讲话
jphq 讲和
jphs 计划书
jphs 军火商
jphw 诫
jphw 讲
jphx 讦
jpi 谫
jpiz 谫
jpj 计
jpj. 谏
jpj/ 军纪
jpj; 计较
jpja 谨
jpjb 军警
jpjd 肩胛
jpje 军舰
jpjf 讲价
jpjf 计价
jpjf 计件
jpjg 肩胛骨
jpjg 军界
jpjo 讲究
jpjp 讲讲
jpjq 计价器
jpjq 军籍
jpjt 讲解
jpjx 军机
jpjz 诘
jpkp 讲课
jpl, 军力
jpla 军龄
jplb 记录本
jplf 军令
jplh 讲理
jpli 军粮
jplj 筋疲力尽
jplm 讲礼貌
jpln 记录
jplo 记牢
jplp 军礼
jpls 计量
jply 军旅
jplz 军令状
jpmn 军民
jpmp 计谋
jpms 讲明
jpmt 记名
jpn 记
jpnb 记
jpnq 裾
jpnr 诀
jppc 讲排场
jppj 计票
jppl 军品
jppp 讲评
jpqc 讲清
jpqj 讲求
jpqo 诀窍
jpqo 讲情
jpqo 军情
jpqv 记起
jpqx 军权
jpqy 军旗
jpqz 军区
jprf 军人
jpro 军容
jprr 计入
jprw 家破人亡
jps, 军嫂
jpsa 肩上
jpsb 记事本
jpsd 讲师
jpsd 军师
jpsf 军售
jpsh 军事化
jpsi 计数
jpsj 计算机
jpsj 讲述
jpsj 军事
jpsj 记事
jpsj 记述
jpsn 军属
jpso 谨慎
jpsq 计算
jpss 计时
jpsu 讲授
jpsw 计生委
jpt 讥
jpt. 讲台
jptf 讲堂
jptg 军团
jpto 肩头
jptu 肩挑
jptv 讲坛
jpu 裥
jpub 裥
jpwg 军网
jpwk 军威
jpwm 讲文明
jpwo 讲完
jpwq 军委
jpwq 计委
jpws 讲卫生
jpwt 军务
jpx 襟
jpx. 讲习
jpxb 讲习班
jpxe 军衔
jpxf 记叙
jpxj 记下
jpxl 军需
jpxo 记性
jpxo 讲学
jpxp 军心
jpxp 军训
jpxq 讥笑
jpxs 金盆洗手
jpxt 军饷
jpxw 计息
jpxx 军校
jpxx 军械
jpxx 襟
jpxy 讲信用
jpyb 军营
jpyc 讲演
jpyi 讲义
jpyk 计有
jpyl 记忆力
jpyo 记忆
jpyp 军用品
jpyt 军用
jpyt 军乐
jpyu 军援
jpyy 军衣
jpyz 军医
jpzf 记住
jpzg 记账
jpzi 记着
jpzj 记者
jpzj 记载
jpzk 记在
jpzq 军长
jpzy 讲座
jpzy 军装
jpzy 肩周炎
jpzz 记者证
jq 积
jq, 笳
jq,l 笳
jq; 矩
jq;; 矩
jqb/ 简编
jqba 箭步
jqbd 举棋不定
jqbf 简便
jqbn 鸡犬不宁
jqbq 坚强不屈
jqbu 简报
jqck 积存
jqcq 简称
jqcx 稽查
jqd 筋
jqd, 筋
jqdc 积淀
jqde 积德
jqdh 简单化
jqdi 简单
jqdm 季度末
jqdo 筋斗
jqdq 简短
jqdy 季度
jqfb 积分榜
jqfd 积肥
jqfl 奖勤罚懒
jqfq 简繁
jqfr 积分
jqft 季风
jqfz 健全法制
jqg 稷
jqg/ 籍贯
jqgg 筋骨
jqgh 犋
jqgj 稷
jqgl 加强管理
jqgq 秸秆
jqgt 笕
jqgy 究其根源
jqh 籍
jqh, 笺
jqhe 季后
jqhf 简化
jqhj 籍
jqhw 笄
jqhx 稽核
jqi 箭
jqiz 箭
jqj 秸
jqja 箕
jqjb 季节
jqjc 简洁
jqjf 简介
jqjf 矫健
jqjj 积聚
jqjp 季军
jqjs 驾轻就熟
jqjt 犄角
jqju 简捷
jqjx 积极
jqjx 积极性
jqjz 秸
jqk 稽
jqk. 嵇
jqk. 稽
jqkh 季刊
jqky 简况
jqky 犄
jql/ 简练
jqlg 积累
jqlg 简略
jqlk 简历
jqlm 简陋
jqlr 积
jqm 季
jqmd 筋脉
jqmh 季末
jqmk 简码
jqms 简明
jqmx 积木
jqmz 季
jqn 毽
jqnh 犍
jqnh 毽
jqo 稼
jqon 稼
jqpp 简谱
jqpx 简朴
jqq 矫
jqqi 季前
jqqo 矫情
jqqr 矫
jqqt 积欠
jqqy 极其重要
jqsg 积水
jqsj 简述
jqst 矫饰
jqt 笈
jqtf 简体
jqtj 加强团结
jqto 箭头
jqtv 笈
jqtz 简体字
jqu 简
jqub 简
jqx 榘
jqxb 积蓄
jqxh 矩形
jqxl 积雪
jqxp 简讯
jqxp 简写
jqy/ 简约
jqyj 简要
jqyk 积压
jqys 简易
jqyt 积怨
jqyy 究其原因
jqyz 简言之
jqzc 矫治
jqzd 健全制度
jqze 稽征
jqzj 简直
jqzj 矫正
jqzm 矩阵
jqzs 简直是
jqzu 积攒
jqzx 九泉之下
jqzy 简章
jqzy 简装
jr 爵
jrbb 坚韧不拔
jrbd 精锐部队
jrbt 截然不同
jrbt 迥然不同
jrgj 金融工具
jrgs 爵
jrhc 噤若寒蝉
jrjg 金融机构
jrjj 渐入佳境
jrjs 经人介绍
jrjy 假仁假义
jrjz 见仁见智
jrjz 尽人皆知
jrlx 寄人篱下
jrps 坚如磐石
jrrc 既然如此
jrry 尽如人意
jrsc 金融市场
jrsj 爵士
jrsy 尖锐湿疣
jrtx 吉人天相
jrtz 金融体制
jrwj 金融危机
jrxf 截然相反
jrys 孑然一身
jryw 金融业务
jryx 井然有序
jrzb 金融资本
jrzc 金融政策
jrzx 金融中心
jrzz 矫揉造作
js 紧
js/u 紧
jsau 紧挨
jsb/ 紧绷
jsbj 见死不救
jsbl 鉴别
jsbu 紧闭
jsbx 兼收并蓄
jsbz 紧逼
jscb 监察部
jscc 监测
jscf 精神财富
jscg 技术成果
jscj 监察局
jsco 监察
jscq 坚称
jscs 技术措施
jsct 军事冲突
jsct 聚沙成塔
jscu 坚持
jscx 监查
jscy 紧凑
jsda 监督
jsda 景点
jsdg 紧盯
jsdh 鉴定会
jsdj 监督局
jsdo 坚定
jsdo 鉴定
jsdq 监督权
jsds 精神抖擞
jsdx 坚定性
jsdy 监督员
jsdz 景德镇
jsf 鉴
jsfh 鉴
jsfl 精神分裂
jsfs 救死扶伤
jsft 军事法庭
jsfw 技术服务
jsfz 技术发展
jsg 监
jsg. 景观
jsgc 建设工程
jsgg 坚固
jsgh 建设规划
jsgj 监工
jsgl 紧跟
jsgm 技术革命
jsgq 监管
jsgs 监
jsgw 坚守岗位
jsgx 技术革新
jsgy 集思广益
jsgy 娇生惯养
jsgz 紧箍咒
jshd 竞赛活动
jshf 精神焕发
jshh 借尸还魂
jshj 举世罕见
jshr 监护人
jshs 惊世骇俗
jshu 监护
jsi 炅
jsir 炅
jsjd 军事基地
jsjj 技术监督局
jsjl 技术交流
jsjm 尽善尽美
jsjq 娇声娇气
jsjs 紧紧
jsjs 今生今世
jsjt 紧急
jsju 紧接
jsjx 监禁
jsjy 坚决
jsjz 紧接着
jskb 尖酸刻薄
jskf 技术开发
jskj 监考
jskq 紧靠
jsku 监控
jskx 军事科学
jsky 景况
jslf 紧邻
jslh 监理
jsli 晶粒
jsll 技术力量
jsll 军事力量
jslo 监牢
jsls 就事论事
jslt 近水楼台
jsly 近水楼台先得月
jsmm 精神面貌
jsmo 紧密
jsmx 技术密集型
jsmy 集市贸易
jsnd 九十年代
jsnl 几十年来
jsp, 景颇
jspg 紧迫感
jspj 监票
jspw 紧迫
jspx 技术培训
jspx 紧迫性
jspz 景颇族
jsqb 军事情报
jsqf 紧俏
jsqn 坚强
jsqq 紧缺
jsqq 景气
jsqz 景区
jsr, 坚忍
jsrc 技术人才
jsrh 坚韧
jsrw 接受任务
jsry 技术人员
jsrz 紧日子
jss 晶
jss/ 紧缩
jssc 景深
jssf 鉴赏
jssg 景山
jssh 监事会
jssj 精神世界
jssk 晶石
jssl 精神食粮
jssm 紧随
jsso 坚实
jsso 坚守
jssp 监视
jssq 监视器
jssr 极少数人
jsss 军事设施
jsss 晶
jsst 景色
jssw 紧身
jssx 军事思想
jssy 建设事业
jssz 军事素质
jstf 晶体
jstg 紧贴
jsth 锦上添花
jstl 景泰蓝
jstl 监听
jstu 坚挺
jstx 即时通讯
jstz 举手投足
jsv 坚
jswh 军事委员会
jswj 见所未见
jswk 金石为开
jswm 精神文明
jswm 举世闻名
jswq 景物
jsws 精神文明建设
jsws 举世无双
jswu 紧握
jsxd 军事行动
jsxf 坚信
jsxj 技术先进
jsxl 军事训练
jsxm 建设项目
jsxs 九三学社
jsxt 景象
jsxx 技术信息
jsxz 技术协作
jsy 景
jsyb 晶莹
jsyd 尽收眼底
jsyf 景仰
jsyh 鉴于
jsyh 建设银行
jsyj 紧要
jsyk 坚硬
jsyl 景
jsyr 教书育人
jsys 九死一生
jsyt 监狱
jsyx 军事演习
jsyy 坚毅
jsyy 骄奢淫逸
jsyz 军事援助
jsz; 景致
jsza 坚贞
jszb 军事装备
jszc 技术职称
jszd 监守自盗
jszd 紧张的
jszh 洁身自好
