x 学
xlj/ 需经
xlja 霰
xlja 咁
xljb 雪茄
xljc 心力交瘁
xlje 蹊径
xljh 吸进
xljk 哮
xljl 啸叫
xljo 嗅觉
xljs 雪景
xljt 新老交替
xljv 吓
xljy 雪茄烟
xljz 嘻
xljz 咭
xlk 需
xlkg 嚣
xlkg 需
xllq 雪梨
xlly 响亮
xlm, 兄妹
xlm/ 响马
xlmb 星罗密布
xln 霞
xln/ 吸纳
xlna 霞
xlnj 啸
xlnu 喧闹
xlnz 雪
xlo 喧
xlon 喧
xlpl 吓跑
xlpn 响屁
xlpw 雪片
xlq 跣
xlqa 跣
xlqb 星罗棋布
xlqf 跹
xlqh 雪球
xlqj 需求
xlql 需求量
xlqq 吸气
xlqv 响起
xlqx 雪橇
xlr 唏
xlrf 吓人
xlrf 雪人
xlri 蹊
xlrk 唏
xlrl 喧嚷
xlrm 心乱如麻
xlrr 吸入
xlru 吸热
xlrw 熙来攘往
xlrz 血流如注
xlsc 心灵深处
xlsf 吸食
xlsg 雪山
xlsh 心领神会
xlsj 响声
xlsk 吓死
xlsl 吸吮
xlsm 吸收
xlsq 心灵手巧
xlsr 吓死人
xlsx 吸湿性
xlsz 心理素质
xlt 兄
xlt. 兄台
xlth 雪天
xlto 噱头
xltv 吸
xlw 响
xlwb 响
xlwh ^小李我寻欢
xlwn 嗅
xlx/ 雪线
xlxf 狭路相逢
xlxl 嘻嘻
xlxl 喧嚣
xlxq 乡里乡亲
xlxq 想来想去
xlxw 吸血
xlxy 笑脸相迎
xly 躞
xlyh 躞
xlyi 吸烟
xlyj 需要
xlyk 雪原
xlyl 吸引力
xlyn 吸引
xlyr 吸引人
xlys 训练有素
xlyt 需用
xlyy 响应
xlyz 需要在
xlzi 响着
xlzn 嚣张
xlzq 兄长
xlzq 需知
xlzy 勋章
xm 限
xm. 陉
xm.j 陉
xmbl 险别
xmcy 限产
xmd 胥
xmdo 限定
xmdv 隙
xmdy 限度
xmeo 限额
xmf 险
xmfd 降服
xmff 降伏
xmfg 险峰
xmfl 险
xmfr 项目负责人
xmfz 迅猛发展
xmgl 项目管理
xmho 陷害
xmjf 限价
xmjg 险峻
xmjl 项目经理
xmjm 陷阱
xmjs 项目建设
xmjv 险境
xmlb 陷落
xmlc 限流
xmlf 限令
xmls 喜马拉雅山
xmls 限量
xmly 喜马拉雅
xmn; 限
xmp 逊
xmpv 逊
xmqj 限期
xmqo 险情
xmrr 陷入
xms 隰
xms/ 隰
xmsd 险胜
xmsl 卸磨杀驴
xmss 限时
xmst 逊色
xmt 降
xmtw 陷
xmty 降
xmwd 邪魔外道
xmxa 险些
xmyh 限于
xmyh 陷于
xmyj 险要
xmyj 蓄谋已久
xmyl 心明眼亮
xmyn 幸免于难
xmyz 心满意足
xmzj 险遭
xmzm 险阻
xmzq 限制
xmzx 限制性
xmzy 新民主主义
xn 寻
xnal 喜怒哀乐
xnbl 徐娘半老
xncf 寻常
xnd; 寻到
xndj 寻短见
xndq 西南地区
xne 屣
xnes 屣
xnf 屑
xnfc 屑
xnfp 寻访
xngq 虚拟光驱
xngx 寻根
xnh. 寻欢
xnhj 寻呼机
xnhl 寻呼
xnj 巽
xnja 巽
xnjj 小农经济
xnjn 迅即
xnju 迅捷
xnjv 寻
xnjx 寻机
xnkl 新年快乐
xnll 迅雷
xnlq 犀利
xnmr 寻觅
xnmt 迅猛
xnmx 寻梦
xnnc 虚拟内存
xnnq 犀牛
xnnt 犀鸟
xnp 迅
xnpv 遐
xnpv 迅
xnq 犀
xnqj 寻求
xnqj 犀
xnsg 寻思
xnsj 迅速
xnsk 寻死
xnsq 虚拟社区
xnwc 喜怒无常
xnwu 寻问
xnxs 虚拟现实
xnxw 寻衅
xnxx 遐想
xny 弦
xny/ 弦
xnyq 弦乐器
xnyr 小鸟依人
xnys 新年伊始
xnyt 弦乐
xnzu 寻找
xnzv 寻址
xo 性
xob, 兴办
xobk 宣布
xobl 性别
xobu 学报
xobw 宪兵
xoby 学部
xocb 宣传部
xocc 兴冲冲
xocd 宣传队
xocf 宣传
xoch 宣传画
xock 宣传科
xocp 宣传品
xocq 宣称
xocv 宣城
xocx 宣传性
xocy 宣传员
xocz 宣传周
xod. 懈怠
xod; 学到
xode 学得
xodi 穴道
xodp 宣读
xoe 忻
xoej 忻
xof 宵
xofc 宪法
xofc 宵
xofj 兴奋剂
xofk 兴奋
xofk 宿
xofn 学费
xofr 学分
xoft 学风
xofy 学府
xofz 学分制
xog 泶
xogc 性高潮
xogg 兴国
xogj 学过
xogk 性感
xogq 宣告
xogr 泶
xogx 性格
xoh, 学好
xohf 学会
xohl 学号
xoj 惜
xoja 惜
xojb 性价比
xojg 学界
xojj 宣教
xojn 兴建
xojo 学家
xojp 宣讲
xojq 学籍
xojt 性急
xojx 宵禁
xojy 性交
xokq 学科
xola 学龄
xold 性冷淡
xolf 学雷锋
xolh 学理
xolk 学历
xolm 兴隆
xolq 学龄前
xomf 性命
xomt 学名
xomz 学
xon. 性能
xonq 学年
xopc 学派
xopi 宣判
xoq 兴
xoqa 宪
xoqc 兴
xoqj 学期
xoqj 性
xoqo 性情
xoqv 兴趣
xor 穴
xorq 窸
xos 惺
xos. 悭
xosf 惜售
xosh 性生活
xosh 宣示
xosj 学术
xosj 学士
xosk 兴盛
xosm 学生们
xoso 惺忪
xoso 窸窣
xosp 学识
xosp 学说
xosq 学生
xosq 惺
xosr 性骚扰
xoss 学时
xosu 宣誓
xosy 兴衰
xosz 学生证
xot 懈
xote 学徒
xotf 学堂
xotg 学徒工
xots 恂
xott 懈
xotv 穸
xov 悻
xovi 悻
xow 恤
xowf 学位
xowf 穴位
xowm 恤
xowq 宣武区
xows 兴旺
xowu 学问
xowy 兴亡
xox. 学习
xoxb 学习班
xoxc 宣泄
xoxf 兴修
xoxh 学会
xoxj 学先进
xoxo 兴学
xoxp 兴许
xoxw 性行为
xoxx 学校
xoy 窨
xoyb 学艺
xoyi 窨
xoyk 学友
xoyl 学员
xoym 学院
xoyr 性欲
xoys 学业
xoys 兴业
xoyu 宣扬
xoyy 宣言
xoz 宣
xoz/ 宣纸
xoz; 兴致
xoza 宣战
xoze 性质
xozf 学杂费
xozi 学着
xozj 学者
xozm 学子
xozm 性子
xozq 学制
xozs 宣
xozy 宪章
xozy 性状
xp 写
xp. 诩
xp.; 诩
xp; 谐
xp;t 谐
xp;z 写
xpa 谑
xpa, 谑
xpar 心爱
xpbc 谐波
xpbh 写保护
xpby 心病
xpcc 心潮
xpcd 心肠
xpce 训斥
xpck 写成
xpck 心存
xpcm 写出
xpd; 写到
xpde 心得
xpdg 心电
xpdh 心动
xpdi 写道
xpdk 血盆大口
xpdn 许多年
xpdr 许多人
xpdt 许多
xpdv 心地
xpdy 心底
xpfc 写法
xpfd 心腹
xpfd 心服
xpfd 心肺
xpfi 心烦
xpfp 心房
xpfp 心扉
xpg 袖
xpg/ 写给
xpgd 心肝
xpgj 写过
xpgj 袖
xpgq 袖管
xph 祆
xph, 写好
xphi 心火
xphj 禊
xphl 讯号
xpho 心慌
xpho 心怀
xphp 训话
xphq 祥和
xphr 祆
xpi 祥
xpih 详
xpih 祥
xpj 禧
xpj/ 谢绝
xpjd 心肌
xpjg 详见
xpjh 写进
xpjn 详尽
xpjo 心惊
xpjp 心计
xpjp 训诫
xpjt 心急
xpjt 许久
xpjt 详解
xpjt 心系
xpjv 心境
xpjx 心机
xpjy ^心迹
xpjz 禧
xpkl 心口
xpkl 袖口
xpkv 心坎
xpkz 许可
xpkz 许可证
xpl/ 训练
xplb 训练班
xple 心律
xplf 训令
xplg 心里
xplh 心理
xpln 心灵
xpls 心理上
xplx 心理学
xply 心率
xpmb 谢幕
xpmg 心目
xpms 写明
xpmz 心目中
xpn 讯
xpnf 心念
xpnm 心内膜
xpnp 许诺
xpnr 细皮嫩肉
xpnx 讯
xpo 心
xppj 许配
xppw 心魄
xpq 许
xpq; 心切
xpqh 心平气和
xpqj 许
xpqo 详情
xpqo 心情
xpr 谖
xpr; 心软
xprh 祥瑞
xpri 谖
xprr 写入
xps 裼
xps/ 写书
xpsa 心上
xpsa 写上
xpsg 心思
xpsj 心事
xpsj 心酸
xpsj 心声
xpsj 心术
xpsk 心碎
xpso 写实
xpsp 心神
xpsq 写生
xpsr 心上人
xpst 裼
xpt 询
xptg 心田
xptk 心态
xptl 心跳
xpto 心头
xptp 详谈
xptr 心头肉
xpts 询
xptx 心贴心
xpty 心痛
xpty 心疼
xpw 谢
xpwn 谢
xpwo 心窝
xpwu 询问
xpwx 训
xpx/ 详细
xpxa 心虚
xpxd 心胸
xpxf 写信
xpxg 心血管
xpxj 写下
xpxl 嬉皮笑脸
xpxn 心弦
xpxo 心性
xpxp 谢谢
xpxw 心血
xpxw 讯息
xpxx 心想
xpyf 心仪
xpyg 心眼
xpyk 心愿
xpyk 许愿
xpyk 写有
xpyp 心语
xpyy 心意
xpyy 谐音
xpyy 写意
xpyy 谢意
xpzb 心脏病
xpzb 写字板
xpzd 心脏
xpzf 写作
xpzg 心中
xpzh 袖珍
xpzi 写着
xpzj 写真
xpzk 写在
xpzl 写字楼
xpzm 袖子
xpzo 写字
xpzs 写照
xpzt 写字台
xpzu 谐振
xpzy 袖章
xq 先
xq, 秀
xqa 罅
xqa, 罅
xqaf 笑傲
xqb/ 选编
xqba 先辈
xqbb 稀薄
xqbs 选拔赛
xqbu 选拔
xqbx 香槟
xqbx 笑柄
xqcb 香菜
xqcd 香肠
xqcj 香醇
xqcj 秀才
xqcm 选出
xqcx 选材
xqd; 先到
xqde 先得
xqde 笑得
xqdi 笑道
xqdn 先导
xqdo 选定
xqf 筱
xqfd 先锋队
xqfd 筱
xqfg 血气方刚
xqfr 先父
xqft 稀饭
xqfz 先锋
xqg 氙
xqgb 香菇
xqgc 香港
xqgg 选购
xqgg 稀奇古怪
xqgx 氙
xqgz 辛勤工作
xqh, 选好
xqhc 先河
xqhe 先后
xqhf 卸货
xqhh 笑呵呵
xqhi 香火
xqhp 笑话
xqhp 稀罕
xqj 牺
xqj, 牺
xqjb 香蕉
xqjf 选集
xqjh 先进
xqji 香精
xqjo 选举
xqjq 选举权
xqjr 选举人
xqjx 先进性
xqjy 虚情假意
xqjz 选举制
xqkk 选矿
xqko 香客
xqkp 选课
xqkq 笑看
xqld 笑脸
xqlf 先例
xqli 香料
xqli 香炉
xqli 笑料
xqlk 先烈
xqll 小巧玲珑
xqlm 贤妻良母
xqly 香辣
xqlz 秀丽
xqm 卸
xqmh 笑面虎
xqmi 秀美
xqmm 笑眯眯
xqmn 选民
xqn 箫
xqn/ 笑纳
xqnj 箫
xqo 熏
xqoo 熏
xqp 选
xqpc 选派
xqpj 选票
xqpj 选聘
xqpp 香喷喷
xqpv 选
xqq 笑
xqq/ 先驱
xqqa 筅
xqqd 先遣队
xqqg 先遣
xqqh 先秦
xqqi 先前
xqqj 选取
xqqk 稀奇
xqql 笑起来
xqqq 香气
xqqq 秀气
xqqq 稀缺
xqqr 笑
xqqv 先去
xqqz 先驱者
xqqz 选区
xqr 稀
xqrc 熏染
xqrf 卸任
xqrf 先人
xqrk 稀
xqro 笑容
xqrr 选入
xqs 香
xqsc 心情舒畅
xqsd 稀少
xqsg 香水
xqsi 选送
xqsj 笑声
xqsj 稀世
xqsm 稀疏
xqsp 牺牲品
xqsq 先生
xqsq 选手
xqsq 牺牲
xqsr 稀释
xqss 先是
xqsx 稀松
xqsy 相去甚远
xqt 先
xqtf 箱体
xqth 先天
xqtm 熏陶
xqto 先头
xqtp 笑谈
xqtq 香甜
xqts 选题
xqtv 稀土
xqtx 先天性
xqwh 先王
xqwi 选为
xqwl 香味
xqx 箱
xqxa 相亲相爱
xqxe 先行
xqxf 选修
xqxg 休戚相关
xqxg 箱
xqxh 选型
xqxj 喜迁新居
xqxj 选项
xqxj 卸下
xqxq 笑笑
xqxs 笑星
xqxw 先向
xqxx 笑嘻嘻
xqxz 先行者
xqy/ 先验
xqyc 香油
xqyg 休戚与共
xqyh 先于
xqyi 香烟
xqyk 稀有
xqyp 笑语
xqys 稀盐酸
xqyt 选用
xqyy 喜气洋洋
xqyy 笑意
xqyy 笑盈盈
xqyz 闲情逸致
xqzg 选中
xqzi 笑着
xqzj 卸载
xqzm 箱子
xqzp 先祖
xqzq 先知
xqzr 先兆
xqzu 选择
xqzv 选址
xqzw 香皂
xqzw 选自
xqzx 选择性
xqzy 卸妆
xr 凶
xr/ 奚
xr/y 奚
xr; 兮
xrck 凶残
xrdb 轩然大波
xrdg 心如刀割
xrdj 心如刀绞
xrds 旭日东升
xrf 貅
xrff 想入非非
xrft 凶犯
xrfx 貅
xrhf 血肉横飞
xrho 凶悍
xrht 凶狠
xrja 希冀
xrk 希
xrkg 希
xrkj 笑容可掬
xrlb 奚落
xrld 希腊
xrm 郗
xrm 凶
xrmh 血肉模糊
xrmt 凶猛
xrnn 悉尼
xrp 悉
xrpo 悉
xrqj 希求
xrql 凶器
xrqs 寻人启事
xrsi 悉数
xrsq 凶手
xrsr 凶杀
xrt 欷
xrtf 欷
xrtl 希特勒
xrwy 希望
xrwz 先入为主
xrxl 血肉相连
xrxm 凶险
xrxp 悉心
xrxs 新人新事
xrym 相濡以沫
xs 星
xs; 晓
xs;q 晓
xsbd 心神不定
xsbj 携手并肩
xsbn 西双版纳
xsbr 形势逼人
xsbz 心术不正
xscb 兴衰成败
xscc 心事重重
xscf 刑事处罚
xsck 星辰
xscl 细水长流
xscm 显出
xsdd 信誓旦旦
xsde 晓得
xsde 显得
xsdi 贤弟
xsdl 歇斯底里
xsdo 星斗
xsdr 先声夺人
xsdy 形式多样
xsdz 兴师动众
xse 昕
xsej 昕
xsfz 迅速发展
xsg 贤
xsgf 星光
xsgf 贤
xshi 星火
xshj 贤惠
xshv 显赫
xshy 歇后语
xshy 学术会议
xsi 曦
xsih 曦
xsj/ 星级
xsjd 歇脚
xsjl 刑事拘留
xsjm 星际
xsjs 雪上加霜
xska 显卡
xskc 秀色可餐
xsko 星空
xsll 显露
xslp 贤良
xsls 显山露水
xslw 学术论文
xsmh 寻死觅活
xsms 喜上眉梢
xsms 贤明
xsn 暇
xsn. 贤能
xsna 暇
xsnj 销声匿迹
xsnl 信手拈来
xsnr 息事宁人
xsnz 贤内助
xso 暄
xson 暄
xsoo 煦
xsp 暹
xspg 袖手旁观
xspv 暹
xsq 曛
xsqe 星期二
xsqg 曛
xsqh 星球
xsqj 星期
xsqj 星
xsql 星期六
xsqr 星期日
xsqs 星期三
xsqs 星期四
xsqt 星期天
xsqv 晓起
xsqw 星期五
xsqy 星期一
xsrf 贤人
xsrs 显然是
xsrt 显然
xss 显
xssc 显示出
xssh 显示
xssh 现实生活
xssi 显
xssp 显示屏
xssq 显示器
xssr 销售收入
xsss 显身手
xssw 新生事物
xssx 学术思想
xst 歇
xstf 星体
xstf 歇
xswb 徇私舞弊
xswe 显微
xswj 显微镜
xswt 现实问题
xswz 兴师问罪
xsx 晰
xsxe 晰
xsxf 小商小贩
xsxg 显像管
xsxh 显现
xsxk 相生相克
xsxo 星宿
xsxo 显性
xsxr 形势喜人
xsxs 星星
xsxt 星系
xsxw 歇息
xsyd 星月
xsyg 显眼
xsyh 星云
xsyj 显要
xsyk 销售一空
xsys 显影
xsyx 修身养性
xsyz 协商一致
xszb 显著
xsze 销售总额
xszi 歇着
xszq 行使职权
xszr 行尸走肉
xszr 刑事责任
xszy 星座
xszz 迅速增长
xt 旭
xt, 解
xt,c 饧
xt,q 解
xtam 狭隘
xtbd 先头部队
xtbl 相提并论
xtbt 馅饼
xtbw 鲜卑
xtbz 先天不足
xtcq 狭长
xtcs 系统阐述
xtd 系
xtdv 系
xtdz 小题大做
xtf 猃
xtfl 猃
xtg 象
xtgc 系统工程
xtgg 鲜果
xtgh 狎
xtgj 蟹
xtgk 象
xtgy 形态各异
xth 玺
xth/ 鲜红
xtha 玺
xthb 鲜花
xthc 鲜活
xthe 邂逅
xti 鲜
xtih 馐
xtih 鲜
xtjs 稀土金属
xtl 狭
xtlh 系列化
xtlk 系列
xtlm 鳕
xtlq 狭
xtly 鲜亮
xtm 郇
xtmi 鲜美
xtms 鲜明
xtn 鲟
xtn, 鲜奶
xtn, 鲜嫩
xtn, 匈奴
xtnh 鲟
xtp 邂
xtpv 邂
xtq 饩
xtq; 饩
xtqg 獯
xtqx 象棋
xtr 匈
xtrm 匈
xts 旬
xts 旭
xtsi 系数
xtsq 猩
xtss 象是
xtt 馅
xtt/ 系统
xtth 系统化
xttt 獬
xttw 馅
xttx 系统性
xttz 系统中
xtv 夕
xtw 饷
xtwb 饷
xtx 枭
xtxd 狭小
xtxd 谢天谢地
xtxh 象形
xtxk 枭雄
xtxm 象限
xtxs 形同虚设
xtxt 猩猩
xtxw 鲜血
xtxz 象形字
xty; 象牙
xtyh 鲜艳
xtyi 狭义
xtyk 鲜有
xtyl 匈牙利
xtym 夕阳
xtyt 鲜鱼
xtyx 象样
xtzb 悉听尊便
xtzc 相同之处
xtze 象征
xtzh 挟天子以令诸侯
xtzo 狭窄
xtzu 系指
xtzx 象征性
xtzz 协同作战
xu 闲
xubz 闲不住
xucu 闲扯
xucu 挟持
xudh 掀动
xudj 携带
xudz 携带者
xue 掀
xuej 掀
xuf 携
xufr 掀翻
xufy 携
xugt 闲逛
xuhp 闲话
xuj 撷
xujz 撷
xukh 掀开
xul 挟
xula 踅
xulj 闲聊
xulq 挟
xuo 揎
xuon 揎
xuqv 掀起
xurf 闲人
xusj 闲事
xusj 闲散
xusq 携手
xut 鹇
xutp 闲谈
xutp 鹇
xuw 擤
xuw; 阋
xuwn 擤
xux 闲
xuxp 闲心
xuxs 闲暇
xuzg 闲置
xuzi 闲着
xuzt 闲杂
xv 幸
xva 墟
xva, 墟
xvck 幸存
xvcz 幸存者
xvek 幸而
xvfp 幸福
xvh 圩
xvh, 幸好
xvhf 幸会
xvhx 圩
xvih 幸
xvkh 幸亏
xvl 埙
xvlg 埙
xvmt 幸免
xvsj 幸甚
xvwh 幸未
xvyh 幸运
xw 向
xwao 血案
xwba 向北
xwbd 行为不端
xwbd 新闻报道
xwbj 血本
xwby 血病
xwbz 新闻部长
xwcb 新闻出版
xwcf 胸无城府
xwd; 向东
xwdj 希望大家
xwdn 向导
xwdw 新闻单位
xwdz 胸无大志
xwf 魈
xwfb 新闻发布
xwfc 魈
xwfd 兴旺发达
xwfh 新闻发布会
xwfr 新闻发言人
xwgb 新闻广播
xwgc 希望工程
xwgq 血管
xwgz 新闻工作
xwh, 向好
xwh/ 血红
xwhc 血汗
xwhe 向后
xwhq 血汗钱
xwhy 血痕
xwhz 秀外慧中
xwi 衅
xwih 衅
xwjg 新闻机构
xwjw 小巫见大巫
xwjy 血迹
xwjy 血浆
xwjz 新闻记者
xwk 臭
xwkl 血口
xwko 臭
xwkv 血块
xwky 血库
xwl 向
xwlb 新闻联播
xwlc 血泪
xwlj 喜闻乐见
xwll 血淋淋
xwll 向来
xwls 向量
xwm 血
xwmd 血脉
xwmt 新闻媒体
xwmx 血
xwn, 息怒
xwng 向内
xwnj 向南
xwp 息
xwpd 新闻频道
xwpm 虚无缥缈
xwpo 息
xwpu 血拼
xwqc 血清
xwqh 血球
xwqi 向前
xwqj 向前进
xwqk 向前看
xwqq 血气
xwr 囟
xwrg 血肉
xwrg 息肉
xwri 鼷
xwrk 向日葵
xwrz 鲜为人知
xws/ 血丝
xwsa 向上
xwsg 血水
xwsh 向社会
xwsj 县委书记
xwsr 兴味索然
xwss 血色素
xwst 血色
xwsx 血栓
xwt 舄
xwt/ 血统
xwti 血糖
xwto 舄
xwwc 血污
xwwe 向往
xwwt 向外
xwxb 血小板
xwxc 血吸虫
xwxd 血腥
xwxh 血型
xwxj 向下
xwxj 向西
xwxl 向心力
xwxo 血性
xwy/ 血缘
xwyc 血液
xwyd 虚位以待
xwyj 血压计
xwyk 向右
xwyk 血压
xwym 向阳
xwys 行为艺术
xwyx 血样
xwza 血战
xwzd 血脂
xwzi 向着
xwzj 学无止境
xwzk 向左
xwzx 新闻中心
xwzy 弦外之音
xwzz 行为准则
xx 想
xx. 栩
xx.; 栩
xx; 朽
xxar 相爱
xxb; 相比
xxbb 雄心勃勃
xxbc 想不出
xxbd 想不到
xxbf 相伴
xxbf 想办法
xxbj 相比较
xxbk 想不
xxbl 凶相毕露
xxbn 心绪不宁
xxbo 相悖
xxbp 想必
xxbt 想不通
xxbu 想把
xxbx 想不想
xxcb 信息产业部
xxcf 相传
xxci 相差
xxcj 学习成绩
xxcl 信息处理
xxcm 想出
xxcq 相称
xxct 相处
xxct 相册
xxcu 相持
xxcy 信息产业
xxd. 相对
xxd; 想到
xxdc 想当初
xxdd 许许多多
xxdd 絮絮叨叨
xxdd 星星点点
xxde 相待
xxdf 相当
xxdg 相当高
xxdh 熊熊大火
xxdk 想得开
xxdl 相对论
xxdn 想当年
xxdo 相斗
xxdq 相等
xxdr 想当然
xxds 相对数
xxdu 相抵
xxdw 校党委
xxdx 相对性
xxdy 相当于
xxe 析
xxej 析
xxfc 想法
xxfd 校服
xxfe 相反
xxff 相仿
xxfq 相符
xxft 相逢
xxft 校风
xxfw 信息服务
xxfy 校方
xxfz 想法子
xxg 相
xxgh 相干
xxgh 柙
xxgh 相
xxgi 相关
xxgj 想过
xxgl 信息管理
xxgm 洗心革面
xxgm 相隔
xxgr 相公
xxgt 信息沟通
xxgx 相关性
xxh 械
xxh, 相好
xxh; 相互
xxhb 校花
xxhe 校徽
xxhf 相会
xxhh 嘻嘻哈哈
xxhj 相互间
xxhj 楔
xxhs 险象环生
xxhw 械
xxj 栖
xxj, 相加
xxj, 栖
xxj/ 相继
xxjc 相形见绌
xxjd 橡胶
xxje 相近
xxjf 想借
xxjg 相见
xxjj 相聚
xxjj 循序渐进
xxjl 相距
xxjn 想尽
xxjo 想家
xxjs 信息技术
xxjs 详细介绍
xxju 相间
xxjx 相机
xxjy 相交
xxkh 校刊
xxkj 相克
xxkk 辛辛苦苦
xxkq 相看
xxkx 信息科学
xxkz 相控阵
xxl 杏
xxl; 相连
xxl; 枵
xxlc 心血来潮
xxlf 相邻
xxlh 熊熊烈火
xxlj 相联
xxll 想来
xxly 相恋
xxmk 相面
xxmm 寻寻觅觅
xxmr 相貌
xxmu 校门
xxmx 朽木
xxn 榍
xxnf 想念
xxng 校内
xxnm 嬉笑怒骂
xxnr 详细内容
xxnw 樨
xxnw 榍
xxo 楦
xxon 楦
xxp, 橡皮
xxpc 橡皮擦
xxpj 相配
xxpo 想
xxpw 相片
xxq. 相劝
xxq; 相切
xxqj 相求
xxqv 想起
xxqy 相亲
xxqy 校庆
xxrf 杏仁
xxrk 欣喜若狂
xxrl 新新人类
xxrn 选贤任能
xxro 相容
xxrp 相让
xxrr 熙熙攘攘
xxrs 栩栩如生
xxrs 熊熊燃烧
xxsb 相思病
xxsc 心想事成
xxsd 信息时代
xxsf 相似
xxsg 相思
xxsh 信息社会
xxsi 相送
xxsj 相声
xxsk 想死
xxsl 兴修水利
xxsm 相随
xxsp 相识
xxsq 先下手为强
xxss 形形色色
xxsx 新形势下
xxsy 循循善诱
xxsy 相适应
xxt 橡
xxt. 相通
xxtg 相同
xxtg 橡
xxtw 校团委
xxw 榭
xxwf 相位
xxwl 信息网络
xxwn 皙
xxwn 檄
xxwn 榭
xxwt 校外
xxwu 想问
xxwy 相望
xxxf 相信
xxxf 想像
xxxg 息息相关
xxxl 想像力
xxxp 校训
xxxr 欣欣向荣
xxxt 想象
xxxt 息息相通
xxxw 相向
xxxx 想想
xxxy 心心相印
xxxz 心胸狭窄
xxy 校
xxy/ 相约
xxyf 相依
xxyg 相遇
xxyg 校园
xxyh 校友会
xxyj 喜新厌旧
xxyj 想要
xxyk 喜笑颜开
xxyk 校友
xxyl 校友录
xxyn 相异
xxyo 相宜
xxyr 校
xxys 喜形于色
xxys 相映
xxyt 想用
xxyu 相拥
xxyw 校园网
xxyx 想一想
xxyy 相应
xxyy 小心翼翼
xxyy 香消玉殒
xxyz 相一致
xxzd 想知道
xxzf 想做
xxzg 相助
xxzh 星星之火
xxzi 想着
xxzq 校长
xxzt 相争
xxzu 相撞
xxzv 校址
xxzx 信息中心
xxzz 雄心壮志
xy 新
xy. 燮
xy.m 序
xy/ 玄
xy/v 玄
xyaj 新安江
xyao 新安
xyaw 玄奥
xyb, 新办
xyb/ 新编
xybh 新变化
xybl 形影不离
xybw 新版
xybw 新兵
xycb 喜忧参半
xycc 新潮
xycf 心悦诚服
xycg 新成果
xych 新春
xycl 新材料
xycm 辛丑
xyco 新宠
xycp 新产品
xycq 相映成趣
xycs 相应措施
xycv 襄城
xycx 新村
xycy 畜产
xycz 胸有成竹
xydc 亵渎
xydl 新德里
xydm 鲜艳夺目
xydt 新动态
xydy 晓以大义
xyej 新
xyf 庥
xyfc 效法
xyff 效仿
xyfp 新房
xyfp 享福
xyfs 新风尚
xyft 新风
xyft 旋风
xyfw 逍遥法外
xyfx 庥
xyfz 新发展
xyg 席
xygg 效果
xygj 畜
xygn 新概念
xygx 席
xygy 新高
xyh, 新婚
xyh. 新欢
xyhf 新华
xyhl 序号
xyhr 玄乎
xyhs 新华社
xyhw 新华网
xyhy 辛亥
xyi 庠
xyih 庠
xyj 辛
xyjb 悬崖绝壁
xyjd 新阶段
xyje 新近
xyji 席卷
xyjj 新经济
xyjm 新局面
xyjn 新疆
xyjn 新建
xyjn 新居
xyjo 新家
xyjp 新加坡
xyjr 现役军人
xyjs 新技术
xyju 席间
xyjx 新旧
xyjx 玄机
xyjy 新纪元
xykb 辛苦
xykj 新款
xyl, 效力
xyl/ 新绿
xylb 辛劳
xylb 效劳
xylc 新浪
xyle 旋律
xylh 序列号
xyli 畜类
xylj 新老
xylk 序列
xyll 襄
xylm 悬崖勒马
xylp 新郎
xyls 行云流水
xylt 效率
xylt 享乐
xylt 心有灵犀一点通
xylw 新浪网
xylx 心有灵犀
xyly 效率
xylz 新路子
xym 享
xym, 玄妙
xymb 序幕
xymb 新苗
xymc 新名词
xymm 硝烟弥漫
xymn 新民
xymq 畜牧
xymy 畜牧业
xymz 享
xyn, 新娘
xyn. 效能
xynq 新年
xynq 享年
xyny 新能源
xynz 旋钮
xypl 新品
xypp 汹涌澎湃
xypw 新片
xypz 新篇章
xyq 效
xyqa 冼
xyqb 虚有其表
xyqb 悬崖峭壁
xyqg 序曲
xyqj 辛勤
xyqk 新奇
xyqm 旋
xyqr 效
xyqx 新气象
xyqz 新区
xyrf 新人
xyrf 新任
xyrk 现有人口
xyrl 新人类
xyrw 新任务
xyrz 新锐
xys/ 新书
xysa 席上
xysc 学有所长
xysd 新时代
xyse 新生儿
xysh 新生活
xysi 序数
xysj 辛酸
xysj 新世纪
xysj 新四军
xysm 享有盛名
xysn 辛巳
xysq 新手
xysq 新生
xysq 新时期
xysr 享受
xysw 新事物
xysx 休养生息
xysy 闲言碎语
xysy 享有盛誉
xysz 新式
xysz 骁勇善战
xyt 癣
xytd 新天地
xytf 歆
xytg 癣
xytj 新台阶
xyts 新泰市
xytt 廨
xytz 新体制
xyu 痫
xyub 痫
xyut 亵
xywc 习以为常
xywf 席位
xywj 新闻界
xywm 相依为命
xywp 新闻片
xyws 新闻社
xywt 新问题
xywu 新闻
xywx 新文学
xywx 新闻系
xywy 虚与委蛇
xywy 序文
xywz 信以为真
xyxa 玄虚
xyxf 血雨腥风
xyxg 新鲜感
xyxh 新型
xyxl 新西兰
xyxo 新兴
xyxp 新禧
xyxq 新秀
xyxs 新形势
xyxs 新鲜事
xyxs 新星
xyxt 新鲜
xyxx 新消息
xyy 痃
xyy/ 痃
xyyb 新药
xyyd 新一代
xyyf 新余
xyyg 效应管
xyyh 闲云野鹤
xyyi 效益
xyyj 新一届
xyyj 心有余悸
