q 起
qqfh 牵强附会
qqfh 筌
qqfl 签
qqfo 气愤
qqfq 气氛
qqfr 缺乏
qqfs 氢氟酸
qqft 秋风
qqfz 千分之
qqgg 奇奇怪怪
qqgj 乞丐
qqgj 气功
qqgj 千古
qqgq 气管
qqgx 气概
qqgy 气管炎
qqh 氰
qqha 箐
qqha 氰
qqhd 巧取豪夺
qqhe 齐齐哈尔
qqhe 秋后
qqhf 气候
qqhh 前前后后
qqhi 箧
qqho 缺憾
qqhp 气话
qqhv 气坏
qqi 秋
qqir 秋
qqj 筇
qqj; 筇
qqjb 气节
qqjd 千斤顶
qqje 千斤
qqjf 群情激愤
qqjf 千金
qqjf 迄今
qqjj 全球经济
qqjn 迁居
qqjq 秋季
qqjy 迁就
qqjz 谦谦君子
qqk 稽
qqk. 稽
qqkj 千克
qqkj 缺考
qqkk 勤勤恳恳
qqkl 缺口
qqkm 气孔
qql, 气力
qqlc 气流
qqlg 千里
qqli 秋粮
qqlm 千里马
qqlo 乞怜
qqls 气量
qqly 七情六欲
qqmi 千米
qqmt 签名
qqmu 气门
qqmu 气闷
qqmx 乔木
qqn 缺
qqn, 迁怒
qqnc 千年虫
qqnh 犍
qqnj 气囊
qqnl 千年来
qqno 气恼
qqnq 千年
qqnr 缺
qqnt 气馁
qqp 迁
qqpc 气派
qqpc 气泡
qqpo 憩
qqpv 迄
qqpv 迁
qqpw 气魄
qqpy 亲戚朋友
qqqh 气球
qqqj 乞求
qqqj 缺勤
qqqq 千秋
qqqq 乔迁
qqqq 秋千
qqqt 缺欠
qqqx 气枪
qqqz 缺钱
qqrr 迁入
qqrs 秋日
qqsd 缺少
qqsd 缺省
qqsg 签署
qqsg 缺水
qqsh 琴棋书画
qqsi 气数
qqsk 气死
qqsm 签收
qqsm 秋收
qqsq 缺失
qqss 切切实实
qqss 轻轻松松
qqss 确确实实
qqst 气色
qqst 秋色
qqsu 气势
qqsu 缺损
qqsy 七窍生烟
qqsy 窃窃私语
qqtf 气体
qqtg 气团
qqth 秋天
qqtk 气态
qqtp 乞讨
qqtq 气筒
qqu 箝
qquj 箝
qqw 乔
qqw; 千万
qqw; 千瓦
qqwc 气温
qqwd 千秋万代
qqwe 迁往
qqwf 缺位
qqwl 气味
qqww 千千万万
qqww 卿卿我我
qqx 千
qqxa 气虚
qqxe 迁徙
qqxf 恰恰相反
qqxj 气象局
qqxm 缺陷
qqxn 千禧年
qqxp 千禧
qqxt 气象
qqxt 气象台
qqxw 气息
qqxy 缺席
qqxz 气象站
qqy/ 签约
qqyc 秋游
qqyd 秋月
qqyh 千元
qqyi 气焰
qqyj 秋雨
qqyk 秋雁
qqyk 气压
qqyl 秋叶
qqyo 气宇
qqyq 迁移
qqyy 气韵
qqz; 迁至
qqzb 求全责备
qqzc 乔治
qqze 气质
qqzf 群情振奋
qqzj 千载
qqzo 签字
qqzp 签证
qqzv 迁走
qqzx 拳拳之心
qqzy 签章
qqzz 曲曲折折
qr 郄
qrbg 全然不顾
qrff 沁人肺腑
qrm 郄
qrpy 欺软怕硬
qrqf 恰如其分
qrsn 强人所难
qrts 欺人太甚
qrws 悄然无声
qrxp 沁人心脾
qryj 亲如一家
qrys 情人眼里出西施
qryt 杞人忧天
qs 晴
qsbg 请示报告
qsbj 七手八脚
qsbr 其实不然
qsbx 七上八下
qsdm 欺世盗名
qses 穷山恶水
qset 全身而退
qsgz 全神贯注
qsh, 晴好
qsha 晴
qshh 气势恢宏
qshs 起死回生
qsjq 切实加强
qsjt 强身健体
qsjy 穷奢极欲
qsko 晴空
qskx 切实可行
qsl/ 晴纶
qslp 晴朗
qsls 曲水流觞
qsly 切身利益
qsmx 欺上瞒下
qsnd 七十年代
qspb 气势磅礴
qsqj 轻手轻脚
qsrh 巧舌如簧
qsrl 强手如林
qsth 晴天
qswl 千丝万缕
qsws 千山万水
qsww 前所未闻
qswy 前所未有
qsxq 求胜心切
qsxx 气势汹汹
qsyb 晴雨表
qsyd 翘首以待
qsyq 情深意切
qsyw 企事业单位
qszh 敲山震虎
qszh 切实做好
qt 欠
qt, 劬
qtao 欠安
qtbj 齐头并进
qtbr 青天白日
qtcp 拳头产品
qtcy 求同存异
qtds 蜻蜓点水
qtf 欠
qtfn 欠费
qtgl 奇谈怪论
qth 鲭
qtha 鲭
qthy 全体会议
qtj 鳍
qtjf 欠佳
qtjk 鳍
qtkj 欠款
qtml 穷途末路
qtn 卿
qtn; 卿
qtpl 晴天霹雳
qtq 鳅
qtqd 鳅
qtqq 欠缺
qtrm 全体人民
qtsh 气吞山河
qtsm 欠收
qtsq 欠税
qtsw 欠身
qtsz 情同手足
qtt 犰
qttj 前提条件
qttp 鸲
qttr 欠妥
qttt 欠条
qtwl 前途无量
qtwx 千头万绪
qtyh 情投意合
qtzf 欠债
qtzg 欠账
qu 抢
qu. 阕
qu.e 阕
qubw 抢白
qudk 抢夺
qudq 抢答
quf 擒
quf/ 抢
qufy 擒
qug 阒
qugg 抢购
qugh 阒
qugj 抢过
qui 阙
qui; 阙
qujf 抢劫犯
qujj 抢救
qujv 抢劫
qukh 撬开
quko 掮客
qulu 抢掠
qunf 擒拿
qup 掮
qupk 掮
quq 撬
quq; 撬
quqv 抢去
quqx 扦
qush 抢手货
qusj 抢时间
qusm 抢收
qusq 抢手
qut 掐
qutc 抢滩
qutw 掐
quxf 抢修
quxm 抢险
quxq 抢先
quyg 抢眼
quyh 抢运
quz 揿
quza 抢占
quzc 抢注
quzf 擒住
quzi 抢着
quzt 揿
quzv 抢走
qv 去
qv. 去
qvb, 墙边
qvba 起步
qvba 却步
qvbd 起不到
qvbi 起爆
qvbk 却不
qvbl 去吧
qvbn 墙壁
qvbp 却被
qvbq 起笔
qvbs 却不是
qvbu 墙报
qvbw 起兵
qvcb 起草
qvcm 去除
qvcp 起初
qvct 去处
qvcy 起床
qvd. 却对
qvd; 起到
qvda 起点
qvde 去得
qvdg 起电
qvdh 起动
qvdu 去掉
qve 圻
qvej 圻
qvf, 起飞
qvff 起伏
qvft 起风
qvg 趄
qvgh 趄
qvgj 去过
qvhe 起航
qvhi 起火
qvhl 起哄
qvj 墙
qvj. 起劲
qvja 趣
qvjd 墙脚
qvje 趋近
qvjf 起价
qvjg 起见
qvji 墙
qvjm 起降
qvjn 起居
qvjo 起家
qvjs 起居室
qvjt 墙角
qvjy 趋近于
qvkq 去看
qvlb 起落
qvlj 起落架
qvll 起来
qvlq 趋利
qvlt 去留
qvly 起立
qvm 却
qvmk 起码
qvmt 起名
qvmy 却没有
qvn. 却能
qvnb 起
qvnq 去年
qvpl 起跑
qvpu 起拍
qvpx 起跑线
qvrp 却让
qvs, 起始
qvsa 墙上
qvsj 去世
qvsj 趣事
qvsk 去死
qvsp 起诉
qvss 却是
qvst 起色
qvsu 趋势
qvsw 起身
qvt 趋
qvtc 墙头草
qvtf 墙体
qvtg 趋同
qvtl 起跳
qvtn 趋
qvto 墙头
qvto 起头
qvtp 趣谈
qvwc 去污
qvwl 趣味
qvwq 起舞
qvwt 墙外
qvwu 趣闻
qvwx 趣味性
qvxq 起先
qvxw 去向
qvxw 趋向
qvxx 去想
qvy. 却又
qvyc 起源
qvyg 起因
qvyh 趋于
qvyi 起义
qvyj 却要
qvyk 却有
qvym 却也
qvyn 却已
qvyt 起用
qvyy 起源于
qvz/ 墙纸
qvz; 起至
qvza 起止
qvzd 起征点
qvze 起征
qvzf 去做
qvzi 起着
qvzj 起重机
qvzj 去职
qvzk 却在
qvzq 起重
qvzu 去找
qvzy 起作用
qw 泉
qwby 千万不要
qwcv 泉城
qwcz 去伪存真
qwgh 躯干
qwgr 前无古人
qwgr 泉
qwhs 趣味横生
qwj 丘
qwjz 丘
qwk 躯
qwkj 躯壳
qwkp 躯
qwlm 丘陵
qwm 邱
qwnd 丘脑
qwrs 权威人士
qwsg 泉水
qwsj 区委书记
qwsx 悄无声息
qwt 鼽
qwtf 躯体
qwyc 泉源
qwyg 泉眼
qwys 趣闻轶事
qwzi 泉州
qwzs 泉州市
qx 枪
qx. 权
qxb; 枪毙
qxbm 去向不明
qxbu 枪把
qxdc 桥洞
qxdf 权当
qxdq 牵线搭桥
qxdv 桥墩
qxf 樵
qxf/ 枪
qxfc 枪法
qxfh 樵夫
qxfy 檎
qxfy 樵
qxg 桤
qxgg 权贵
qxgg 桤
qxgx 枪杆
qxgy 清心寡欲
qxgz 奇形怪状
qxgz 枪杆子
qxhe 权衡
qxj 棋
qxj, 栖
qxja 棋
qxjh 枪击
qxji 樯
qxjn 棋局
qxjs 谦虚谨慎
qxjy 枪决
qxjz 抢险救灾
qxk 槭
qxka 槭
qxkl 枪口
qxkl 勤学苦练
qxl, 权力
qxlc 桥梁
qxli 棋类
qxlq 权利
qxlx 桥栏
qxn 杞
qxnb 杞
qxp 榷
qxpe 棋盘
qxpi 枪炮
qxpp 棋谱
qxpr 穷乡僻壤
qxpw 桥牌
qxpw 榷
qxq 桥
qxq; 橇
qxqd 楸
qxqr 桥
qxqx 枸杞
qxqy 全心全意
qxrk 求贤若渴
qxsa 桥上
qxsi 权数
qxsj 枪声
qxsn 权属
qxso 棋赛
qxsq 枪手
qxsq 棋手
qxsr 枪杀
qxsu 权势
qxsw 栖身
qxsw 桥身
qxsx 权术
qxsz 桥式
qxtd 枪膛
qxtl 枸
qxto 桥头
qxtu 枪托
qxtv 棋坛
qxwf 权位
qxwk 千辛万苦
qxwk 权威
qxwq 气象万千
qxwx 权威性
qxwy 确信无疑
qxxd 栖息地
qxxj 桥下
qxxl 齐心协力
qxxm 权限
qxxw 栖息
qxyb 棋艺
qxyd 浅显易懂
qxyi 权益
qxym 取信于民
qxyo 权宜
qxyy 气息奄奄
qxza 枪战
qxzh 权责
qxzj 枪支
qxzm 棋子
qxzp 权证
qxzq 权重
qy 亲
qy,z 妾
qy; 凄
qy;h 凄
qya 敲
qya. 敲
qyad 亲爱的
qyar 亲爱
qybg 敲边鼓
qybh 权益保护
qybj 亲本
qybk 缺一不可
qybq 亲笔
qybt 齐备
qybw 亲兵
qybz 齐步走
qycl 岂有此理
qyco 凄惨
qycx 凄楚
qycz 企业重组
qydg 庆典
qydo 敲定
qydu 敲打
qydz 情有独钟
qyf 痊
qyfh 痊
qyfr 企业法人
qyfs 趋炎附势
qyfv 亲赴
qyfw 企业服务
qyfz 企业发展
qyg 瘸
qygg 齐国
qygh 庆功会
qygh 癯
qygj 庆功
qygl 企业管理
qygr 瘸
qygx 旗杆
qyh, 庆贺
qyhg 前因后果
qyhh 前仰后合
qyhl 旗号
qyhq 亲和
qyhx 强颜欢笑
qyj 麒
qyja 廑
qyja 麒
qyje 亲近
qyjf 齐集
qyjh 敲击
qyjj 齐聚
qyjo 亲家
qyjr 亲
qyjt 企业集团
qyk 庆
qykh 敲开
qykl 亲口
qykv 庆
qykx 弃
qyky 情有可原
qylk 亲历
qyls 亲临
qyls 巧言令色
qylt 齐鲁
qyly 凄凉
qyly 麒麟
qylz 敲锣
qymd 亲眼目睹
qymh 潜移默化
qymi 亲美
qymn 亲民
qymo 亲密
qymt 齐名
qymu 敲门
qymz 敲门砖
qyn, 亲娘
qynl 亲呢
qyns 亲昵
qypd 亲朋
qypk 敲破
qypp 旗袍
qyq 旗
qyq; 亲切
qyqf 齐全
qyqg 亲切感
qyqj 旗
qyqk 亲戚
qyqo 亲情
qyqs 确有其事
qyqx 弃权
qyrf 亲人
qyrt 凄然
qyru 亲热
qysi 亲善
qysj 齐声
qysj 亲事
qysk 敲碎
qysn 亲属
qysq 亲手
qysq 亲生
qysq 旗手
qysw 亲身
qysy 缺医少药
qysy 企业事业
qytd 瘸腿
qyth 齐天
qyw 齐
qywh 亲王
qywl 亲吻
qywy 千言万语
qyxa 气宇轩昂
qyxd 亲兄弟
qyxf 亲信
qyxj 旗下
qyxl 敲响
qyxo 弃学
qyxp 齐心
qyxv 庆幸
qyxz 气焰嚣张
qyy/ 亲缘
qyyf 痊愈
qyyg 亲眼
qyyh 齐云
qyyk 亲友
qyys 齐云山
qyyt 弃用
qyzd 企业制度
qyze 亲征
qyzg 旗帜
qyzh 庆祝会
qyzj 权宜之计
qyzj 齐整
qyzl 亲嘴
qyzm 旗子
qyzp 庆祝
qyzp 敲诈
qyzs 青云直上
qyzw 亲自
qyzz 区域自治
qz 钱
qzbd 求之不得
qzbg 却之不恭
qzbj 取之不尽
qzbk 其中包括
qzbl 区别
qzbq 铅笔
qzbs 七嘴八舌
qzbt 钱包
qzbt 千姿百态
qzbw 钱币
qzby 区别于
qzcg 钱财
qzci 钦差
qzcm 亲自出马
qzcs 强制措施
qzcs 恰在此时
qzdb 乔装打扮
qzf 铨
qzfh 铨
qzfp 钤
qzfr 区分
qzfv 铅封
qzgd 群众观点
qzgg 齐抓共管
qzgj 钳工
qzgy 青藏高原
qzgz 群众工作
qzh 锲
qzh, 钱
qzh; 区划
qzha 锖
qzhj 轻重缓急
qzhj 锲
qzhl 区号
qzj 钳
qzja 钳
qzjc 群众基础
qzjd 群众监督
qzju 区间
qzks 屈指可数
qzli 钱粮
qzlj 清正廉洁
qzlm 清正廉明
qzls 敲诈勒索
qzlx 群众路线
qzmh 起早摸黑
qzmk 区码
qzn 镪
qznb 镪
qznf 千载难逢
qzng 区内
qznl 锓
qzns 罄竹难书
qzpf 钦佩
qzq 锹
qzqc 钱其琛
qzqd 锹
qzqh 铅球
qzqx 钎
qzqz 锵锵
qzqz 区区
qzr 区
qzrs 曲终人散
qzrw 趋之若鹜
qzsb 穷则思变
qzsh 气壮山河
qzsh 群众生活
qzsl 屈指算来
qzsn 区属
qzsz 轻装上阵
qzt 铅
qztf 钦
qzth 起早贪黑
qztj 钱塘江
qztl 铅
qztt 群众团体
qzwf 区位
qzwh 群众文化
qzwm 勤政为民
qzwm 区位码
qzwq 千真万确
qzwq 钱物
qzwq 区委
qzws 求真务实
qzxg 区县
qzxm 旗帜鲜明
qzxq 钱箱
qzy 锵
qzyb 奇珍异宝
qzyd 锵
qzyf 奇装异服
qzyh 切中要害
qzyn 区域内
qzyq 情真意切
qzyt 铅印
qzyv 区域
qzyx 区域性
qzzf 区政府
qzzi 钦州
qzzm 钳子
qzzo 铅字
qzzq 钳制
qzzq 区长
qzzy 其中之一
qzzy 钱庄
