y 一
yif 烨
yifo 义愤
yifr 养分
yift 烨
yig 烟
yigi 羊羔
yigj 义工
yigk 烟
yigs 益
yigt 养狗
yigw 烟鬼
yih 羊
yihb 烟花
yihc 养活
yihg 烟灰缸
yihh 丫环
yihi 烟火
yihi 焰火
yihj 炎黄
yihj 羊
yihk 烟灰
yihu 养护
yii 炎
yiih 烊
yiir 焱
yiir 炎
yij. 养鸡
yijc 烟酒
yijo 养家
yijo 义举
yijp 义军
yik 猷
yiko 猷
yilf 养路费
yilh 义理
yili 养料
yilj 养老
yill 养路
yily 炎凉
yily 养老院
yimb 烟幕
yimi 烟煤
yimq 羊毛
yims 羊毛衫
yip 恙
yip, 羊皮
yipo 恙
yiqg 烟圈
yiqn 羊群
yiqq 义气
yiqq 烟气
yiqx 烟枪
yir/ 羊绒
yirc 羊肉串
yirg 羊肉
yiru 炎热
yis 剡
yisg 羊水
yisj 义士
yisq 养生
yisw 养身
yisy 煜
yit 焰
yit. 烟台
yito 丫头
yito 烟头
yitq 烟筒
yits 烟台市
yitw 焰
yiv 义
yiw 养
yiw. 燠
yiwb 义务兵
yiwl 烟雾
yiws 义乌市
yiwt 义务
yiwt 义乌
yix 丫
yixk 炎夏
yiyc 义演
yiyg 养眼
yiyh 益于
yiyi 炎炎
yiyi 熠熠
yiyj 烟雨
yiyk 益友
yiyl 烟叶
yiym 益阳
yiyt 养鱼
yiyy 养育
yiyy 养颜
yizc 养殖场
yizh 养殖户
yizk 养殖
yizm 义子
yizq 益智
yizt 养猪
yizy 炎症
yj 要
yj, 酉
yj,b 酉
yj,z 要
yj; 焉
yj;o 焉
yjao 要案
yjau 要按
yjaz 要按照
yjb; 要比
yjbd 要不断
yjbg 云橘波诡
yjbk 要不
yjbl 有机玻璃
yjbm 研究表明
yjbp 要被
yjbq 玉洁冰清
yjbr 要不然
yjbs 要不是
yjbu 要把
yjbx 应接不暇
yjby 要不要
yjbz 一蹶不振
yjca 冤假错案
yjce 严惩
yjcf 要从
yjcg 研究成果
yjcm 一举成名
yjcp 严词
yjcq 严辞
yjcw 已经成为
yjcx 严查
yjcz 引咎辞职
yjd. 要对
yjd; 要到
yjda 要点
yjda 雨点
yjdc 雨滴
yjdd 一举多得
yjde 要得
yjdf 亚当
yjdi 要道
yjdt 严冬
yjdu 严打
yjdv 要地
yjet 燕儿
yjf 亚
yjfa 亚非
yjfc 严
yjfc 亚
yjfl 亚非拉
yjfm 严防
yjft 要饭
yjg 鞅
yjg/ 要给
yjgg 雨果
yjgh 远景规划
yjgj 要根据
yjgk 鞅
yjgl 要跟
yjgx 严格
yjgy 冶金工业
yjgz 研究工作
yjh 酝
yjh, 要好
yjh. 酝
yjhe 雨后
yjho 严寒
yjho 要害
yjhx 衣锦还乡
yjhx 以旧换新
yjhy 颐和园
yjj 酽
yjj, 严加
yjjc 要坚持
yjjd 引经据典
yjjf ^严君复
yjjf 要价
yjjf 酽
yjjg 严峻
yjjk 亚健康
yjjp 严谨
yjjp 亚军
yjjp 要诀
yjjq 雨季
yjjs 要紧
yjjx 严禁
yjjy 要将
yjk 颐
yjkc 有机可乘
yjkc 有据可查
yjkd 要看到
yjkf 研究开发
yjkg 颐
yjkj 严酷
yjkq 要看
yjks 已经开始
yjky 严峻考验
yjlc 雨淋
yjld 一举两得
yjlf 要领
yjlf 严令
yjlk 严厉
yjll 雨露
yjls 雨量
yjlx 雨林
yjlz 以假乱真
yjlz 冤家路窄
yjm 耶
yjm 鄢
yjm 鄞
yjmb 酏
yjmf 要命
yjmg 要目
yjmh 燕麦
yjmo 严密
yjms 严明
yjmt 要么
yjmv 雨
yjmx 亚马逊
yjmy 亚麻
yjnj 酝酿
yjo 燕
yjok 亚欧
yjoo 燕
yjqb 要求把
yjqj 要求
yjqn 要强
yjqv 要去
yjqz 要钱
yjrc 引进人才
yjrd 亚热带
yjrf 要人
yjrg 一见如故
yjrp 要让
yjry 研究人员
yjs/ 雨丝
yjsd 一箭双雕
yjsf 雨伞
yjsg 雨水
yjsg 燕山
yjsh 要素
yjsj 要事
yjsj 雨声
yjsk 眼疾手快
yjsn 严肃
yjso 要塞
yjso 严实
yjso 严守
yjsp 要说
yjss 要是
yjst 耶稣
yjsx 严肃性
yjtg 要通过
yjth 雨天
yjtk 亚太
yjtq 异军突起
yjtz 严峻挑战
yjwf 燕尾服
yjwi 要为
yjwl 雨雾
yjwm 远近闻名
yjwo 燕窝
yjws 眼见为实
yjwt 要务
yjwu 要闻
yjwx 有惊无险
yjwz 引进外资
yjxf 要像
yjxh 严刑
yjxl 雨雪
yjxp 要写
yjxr 养精蓄锐
yjxs 液晶显示
yjxu 要挟
yjxw 要向
yjxx 要想
yjxy 以儆效尤
yjy 懿
yjy. 要以
yjy; 要与
yjyb 要进一步
yjyc 有鉴于此
yjyd 一举一动
yjyg 言简意赅
yjyh 亚运会
yjyk 要有
yjyl 要员
yjyq 业精于勤
yjys 拥军优属
yjyt 要用
yjyt 懿
yjyy 雨衣
yjz 壹
yjzb 亚洲杯
yjzc 亚洲
yjzc 一技之长
yjzg 雨中
yjzj 严正
yjzl 壹
yjzm 燕子
yjzq 严重
yjzq 一见钟情
yjzr 亚洲人
yjzs 远见卓识
yjzt 要旨
yjzw 有奖征文
yjzx 严重性
yjzy 一家之言
yk 友
yk. 尤
yk. 友
yk.; 翳
yk; 砑
yk;d 砑
ykak 有碍
ykar 友爱
ykb 尢
ykb, 右边
ykbb 硬邦邦
ykbh 友邦
ykbi 有半
ykbj 原本
ykbl 有别
ykbo 有悖
ykbs 有不少
ykbw 硬币
ykbw 原版
ykbx 硬板
ykby 有别于
ykbz 硬逼
ykcd 原产地
ykcf 有偿
ykcf 右侧
ykcf 原创
ykck 压成
ykcl 原材料
ykct 原处
ykcy 原产于
ykcz 有错
ykd 有
ykda 有点
ykda 原点
ykde 有待
ykdf 压倒
ykdf 压低
ykdg 压电
ykdh 有毒
ykdk 硬碟
ykdl 硬道理
ykdo 原定
ykdp 研读
ykds 有多少
ykdv 原地
ykdw 有的
ykdw 原单位
ykdy 硬度
ykdy 有待于
ykdz 压担子
ykf 雁
ykf, 研发
ykfd 压服
ykff 雁
ykfi 厌烦
ykfp 餍
ykfv 原封
ykfy 有方
ykg 页
ykge 压根儿
ykgf 赝
ykgf 页
ykgh 奄
ykgh 厣
ykgi 有关
ykgj 有功
ykgk 殃
ykgq 原告
ykgq 原稿
ykgt 砚
ykgx 压根
ykgy 有感于
ykh 研
ykh, 友好
ykhc 硬汉
ykhf 硬化
ykhh 压环
ykho 有害
ykhp 原话
ykhw 研
ykj 压
ykj. 有劲
ykjb 有口皆碑
ykjd 右脚
ykjf 原件
ykjf 厌倦
ykjf 原价
ykjf 硬件
ykjh 右击
ykjh 研究会
ykjh 原计划
ykjl 殪
ykjl 压
ykjm 压降
ykjn 硬
ykjo 研究
ykjp 友军
ykjq 原籍
ykjs 研究所
ykjs 研究生
ykjs 研究室
ykjt 殃及
ykjt 有机体
ykjw 有机物
ykjx 有机
ykjx 郁金香
ykjy 研究院
ykjz 右键
ykk 厌
ykkg 靥
ykkn 有可能
ykko 有空
ykko 厌
ykkv 压垮
ykl 右
ykl, 有力
ykl, 压力
yklb 压力表
yklf 友邻
yklg 殒
yklh 原理
ykli 原料
yklj 压路机
ykll 原来
yklp 原谅
yklp 硬朗
yklq 有利
ykls 原来是
yklx 压力下
ykly 有利于
ykm 郁
ykmi 原煤
ykmk 页面
ykmk 右面
ykmr 原貌
ykmt 有名
ykmt 原名
ykmu 郁闷
ykmx 原棉
ykmy 有没有
ykmy 研磨
yknb 有口难辩
yknl 有能力
yknx 有哪些
ykny 有口难言
ykp 愿
ykpc 右派
ykpe 硬盘
ykpi 原判
ykpl 赝品
ykpo 愿
ykpw 压迫
ykpy 硬碰硬
ykqf 右倾
ykqj 尤其
ykqn 压强
ykqo 友情
ykqq 硬气
ykqr 有钱人
ykqs 尤其是
ykqv 有趣
ykqx 有权
ykqy 尤其要
ykqz 有钱
ykqz 尤其在
ykr, 有如
ykrf 友人
ykrs 有人说
yks, 原始
yks/ 压缩
yksa 右上
ykse 有所
yksf 厌食
yksh 有时候
yksi 友善
yksi 页数
yksj 有事
yksj 厌世
yksm 有什么
ykso 硬实
yksp 有神
yksq 右手
yksq 压岁钱
ykss 有时
ykst 原生态
ykst 忆苦思甜
ykst 有色
yksu 有损
yksy 有损于
yksz 原生质
yktd 右腿
yktf 硬体
yktg 愿同
ykth 研讨会
yktj 有条件
yktp 研讨
ykts 异口同声
ykw 原
ykwh 有无
ykwi 尤为
ykwi 愿为
ykwj 厌恶
ykwl 欲哭无泪
ykwn 魇
ykwn 原
ykwp 有误
ykwq 原物
ykwt 有问题
ykwy 原文
ykwy 愿望
ykwy 哑口无言
ykx. 研习
ykx/ 有线
ykxa 有些
ykxf 研修
ykxh 原型
ykxj 右下
ykxl 有效率
ykxm 有限
ykxo 硬性
ykxp 有心
ykxq 原先
ykxq 有效期
ykxr 有些人
ykxt 原系
ykxv 有幸
ykxx 有效性
ykxy 有效
yky. 右翼
yky/ 有缘
yky; 愿与
ykyc 有源
ykyd 有一点
ykyf 有余
ykyg 原因
ykyh 越快越好
ykyi 有益
ykyj 硬要
ykyk 原有
ykyn 有异
ykyp 友谊
ykyq 右移
ykys 友谊赛
ykyt 有一天
ykyu 压抑
ykyw 原以为
ykyx 有一些
ykyy 有意
ykyy 愿意
ykz; 压轴
ykza 厌战
ykzb 原著
ykzc 研制出
ykzd 原子弹
ykzf 压住
ykzf 原作
ykzf 硬仗
ykzg 原则
ykzh 原子核
ykzi 有着
ykzj 有志
ykzj 原载
ykzk 压在
ykzl 原子量
ykzm 原子
ykzn 原子能
ykzq 研制
ykzq 压制
ykzs 原则上
ykzv 原址
ykzx 压榨
ykzy 原装
ykzy 原状
ykzy 硬座
ykzy 有助于
ykzz 有组织
yl 员
yl. 踊
yl.g 踊
yl/ 哟
yl/k 哟
yl/p 呦
yl/v 吆
yl; 呀
yl;; 咦
yl;d 呀
ylb 呓
ylbb 呓
ylbj 医疗保健
ylbl 一了百了
ylbm 哑巴
ylbx 医疗保险
ylbz 一鳞半爪
ylc 霪
ylcl 吟唱
ylcr 霪
ylcs 娱乐场所
ylcs 有力措施
ylct 优良传统
yldg 唁电
yldh 跃动
yldi 咬断
yldj 严厉打击
yldn 哑弹
yldo 咬定
yldx 舆论导向
yleq 一来二去
ylf 喻
ylfn 咿
ylfp 吟
ylfr 以理服人
ylfz 喻
ylg 咽
ylgd 哕
ylgf 嘤
ylgf 员
ylgg 叶落归根
ylgh 喁
ylgj 员工
ylgk 咽
ylh 吁
ylhb 雩
ylhd 娱乐活动
ylhf 咬合
ylhl 咽喉
ylhl 吆喝
ylhx 吁
ylhz 鱼龙混杂
ylik 嗌
ylix 吖
ylj 叶
yljd 舆论监督
yljf 哑
yljg 医疗机构
yljh 跃进
yljj 因陋就简
yljl 噎
yljn 跃居
yljs 以卵击石
yljt 一连几天
ylkt 有利可图
yll; 叶轮
ylls 叶绿素
yllt 叶绿体
yllx 一路领先
ylm 郢
ylm 郧
ylm; 邑
ylmk 叶面
ylml 倚老卖老
yln 吲
ylnm 吲
ylp 咏
ylp, 咏
ylpp 严厉批评
ylpw 叶片
ylq 跃
ylqm 意乱情迷
ylqp 吁请
ylqr 跃
ylqv 跃起
ylqx 医疗器械
ylqz 一落千丈
ylrc 原来如此
ylrj 夜阑人静
ylrs 引狼入室
ylsa 跃上
ylsb 伊丽莎白
ylsd 亚历山大
ylsf 一路顺风
ylsg 医疗事故
ylsj 有利时机
ylsk 咬死
ylsl 耶路撒冷
ylsp 吟诗
ylsw 迎来送往
yltj 有利条件
yltl 咏叹
ylwh 以邻为壑
ylws 医疗卫生
ylwy 一览无余
ylxd 以礼相待
ylxm 以泪洗面
yly 咬
yly. 唷
yly; 咬牙
ylyb 有利有弊
ylyd 越来越多
ylyh 唁
ylyi 噫
ylyi 喑
ylyj 有理有据
ylyj 由来已久
ylyl 踊跃
ylyn 越来越浓
ylyp 哑语
ylyp 呓语
ylyr 咬
ylys 越来越少
ylyy 一劳永逸
ylzb 雅鲁藏布
ylzd 夜郎自大
ylzf 咬住
ylzi 咬着
ylzj 雅鲁藏布江
ylzm 叶子
ylzo 咬字
ylzy 言论自由
ylzz 意料之中
ym 也
ymam 阴暗面
ymas 阴暗
ymb 也
ymb; 也比
ymbb 隐蔽
ymbb 一毛不拔
ymbc 也不错
ymbg 也不过
ymbg 也罢
ymbh 也不会
ymbk 也不
ymbn 也不能
ymbp 也被
ymbs 也不是
ymbu 也把
ymbx 也必须
ymby 也不要
ymcb 隐藏
ymcc 阴沉
ymcc 阴沉沉
ymcf 也从
ymcg 圆满成功
ymch 阳春
ymci 也曾
ymck 阴唇
ymcs 羊毛出在羊身上
ymcz 也存在
ymd 阴
ymd. 也对
ymdb 阴蒂
ymde 也得
ymdg 阳电
ymdh 阴毒
ymdi 阴道
ymdj 也都
ymds 也都是
ymdt 也多
ymdx 一马当先
ymfa 也非
ymff 隐伏
ymft 阴风
ymfy 院方
ymg 隅
ymg/ 也给
ymgc 阴沟
ymgd 有目共睹
ymgf 阳光
ymgg 妖魔鬼怪
ymgh 隅
ymgj 阴谋诡计
ymgn 也敢
ymgp 也该
ymh, 也好
ymhe 也很
ymhf 也会
ymhg 隐患
ymhk 也还
ymhp 隐讳
ymhq 也和
ymhs 隐晦
ymht 阴狠
ymhy 也会有
ymhz 鱼目混珠
ymjb 阴茎
ymjc 阳江
ymjg 阳具
ymjj 圆满解决
ymjl 夜幕降临
ymjn 隐居
ymjr 一鸣惊人
ymjs 也就是
ymju 阴间
ymjx 阴极
ymjx 阳极
ymjy 也将
ymkn 也可能
ymky 也可以
ymkz 也可
yml 陨
ymlb 陨落
ymlb 院落
ymlf 也令
ymlg 陨
ymlh 愚昧落后
ymlk 阴历
ymlk 阳历
ymll 也来
ymlr 一目了然
ymly 阴冷
ymly 阴凉
ymmc 也没
ymmg 隐瞒
ymmj 阴谋家
ymml 阴霾
ymmo 隐密
ymmp 阴谋
ymmq 隐秘
ymmu 也门
ymmy 也没有
ymmz 游牧民族
ymn. 也能
ymng 也能够
ymnj 阴囊
ymnz 隐匿
ymo 院
ymon 院
ympc 一马平川
ymqo 隐情
ymqq 阴气
ymqq 阳气
ymqr 以貌取人
ymqs 阴晴
ymqv 也去
ymqw 阳泉
ymqy 缘木求鱼
ymr. 阴柔
ymrp 也让
ymrw 也认为
yms 阳
ymsc 阴湿
ymsd 一亩三分地
ymse 院所
ymsh 阳寿
ymsj 院士
ymsk 陨石
ymsk 眼明手快
ymsp 也说
ymsq 隐私
ymss 也是
ymsw 隐身
ymsx 阴森
ymt 隐
ymt. 阳台
ymth 阴天
ymtk 也太
ymtn 隐
ymtp 也谈
ymtq 扬眉吐气
ymtq 陶
ymty 隐痛
ymwb 阳萎
ymwc 圆满完成
ymwh 一命呜呼
ymwi 也为
ymws 有名无实
ymwy 阳痿
ymwz 愚昧无知
ymxc 一脉相承
ymxe 也行
ymxf 也像
ymxh 隐形
ymxl 也需
ymxm 阴险
ymxo 阳性
ymxo 阴性
ymxo 隐性
ymxp 也许
ymxs 也许是
ymxt 院系
ymxx 院校
ymxy 也需要
ymy/ 隐约
ymyh 阴云
ymyj 阴雨
ymyj 也要
ymyk 阴郁
ymyk 也有
ymym 阴阳
ymyn 也已
ymys 阴影
ymyt 阴雨天
ymyy 一模一样
ymzc 一面之词
ymzd 也知道
ymzk 也在
ymzm 院子
ymzn 也只能
ymzq 院长
ymzs 也只是
ymzx 鱼米之乡
ymzz 揠苗助长
yn 已
ynb 已
ynba 异步
ynbh 异邦
ynbi 引爆
ynbn 已不能
ynbp 已被
ynbs 已不是
ynbu 已把
ynbz 一年半载
yncb 已初步
yncf 异常
yncg 已超过
yncm 引出
yncn 尉迟
yncr 异彩
yncw 已成为
yncy 引产
ynd. 已对
ynd; 已到
yndc 引渡
yndd 已达到
ynde 引得
yndh 异动
yndj 已登记
yndk 已达
yndl 一年多来
yndn 引导
yndo 已定
yndq 引导区
yndt 一年到头
yndv 异地
yndy 异端
yndz 引逗
ynf, 引发
yng/ 已给
yngg 异国
yngj 已故
ynh 聿
ynh, 已婚
ynhb 已获
ynhf 异化
ynhi 引火
ynhl 引号
ynhz 聿
yni 熨
ynir 熨
ynj 尉
ynj/ 已经
ynjb 引荐
ynje 已近
ynjg 引见
ynjh 引进
ynjj 已接近
ynjn 异己
ynjr 已进入
ynjs 已经是
ynjt 已久
ynjv 尉
ynjy 已将
ynk 尹
ynkx 异
ynl, 引力
ynlf 引领
ynli 异类
ynll 引来
ynll 引路
ynlp 引论
ynmc 已满
ynmy 已没有
ynn. 已能
ynq 尾
ynq; 尾
ynqb 引擎
ynqj 一诺千金
ynqv 引起
ynrf 引人
ynri 引燃
ynrr 引入
ynrs 业内人士
ynrt 已然
ynrx 业内人士分析
ynsg 引申
ynsg 引水
ynsj 引述
ynsj 一年四季
ynss 已是
ynsu 已逝
yntf 异体
yntg 异同
yntn 引退
ynwe 已往
ynwf 异位
ynwi 引为
ynwi 已为
ynwl 异味
ynwq 异物
ynws 已晚
ynwt 疑难问题
ynwy 引文
ynx 引
ynx/ 异乡
ynx/ 引线
ynxh 异形
ynxh 异型
ynxo 异性
ynxw 已向
yny. 引以
yny; 已与
ynyd 一年一度
ynyh 已于
ynyh 异于
ynyk 已有
ynyp 引诱
ynyp 异议
ynys 延年益寿
ynyt 引用
ynyv 异域
ynyx 异样
ynyy 引言
ynz 鬻
ynz; 引致
ynzc 一念之差
ynzk 已在
ynzl 鬻
ynzm 引子
ynzp 引证
ynzq 已知
ynzs 英年早逝
ynzw 引自
ynzx 一怒之下
ynzy 引资
yo 宜
yo. 怡
yo.h 怿
yo.l 怡
yo/ 窈
yo/p 窈
yob 忆
yobo 宜宾
yoch 宜春
yocq 忧愁
yocs 宜昌
yodc 窑洞
yodl 亚欧大陆
yoe 窳
yoe. 窳
yoej 悦耳
yof 愉
yofo 忧愤
yofz 窬
yofz 愉
yog 寓
yogh 宜
yogh 寓
yogk 怏
yoh 宇
yohe 宇航
yohf 宴会
yohg 忧患
yohj 宇航局
yoht 宴会厅
yohx 宇
yohy 宇航员
yoi 悦
yoil 悦
yoj 寅
yojn 寅
yok 忧
yok. 忧
yokd 宥
yokk 恹
yoko 愉快
yol 悒
yola 忧虑
yolm 悒
yomc 誉满
yomg 悦目
yop 恽
yop; 恽
yoq 窑
yoqj 窑
yoqp 宴请
yorf 宜人
yos 宴
yos, 宴
yose 寓所
yosf 忧伤
yosg 愠
yost 愠色
yoto 窈窕
yowi 誉为
yoxp 忧心
yoxy 宴席
yoy 誉
yoy. 宜以
yoyh 宜于
yoyh 誉
yoyi 窨
yoyk 忧郁
yoyo 愉悦
yoyt 慵
yoyy 寓言
yoyy 寓意
yoyz 忧郁症
yozm 窑子
yozo 宇宙
yp 语
yp, 永
yp,v 永
yp. 译
yp.h 译
yp.l 诒
yp; 讶
yp;d 讶
ypao 冤案
ypao 议案
ypbb 永葆
ypbj 译本
ypbk 永不
ypbl 永别
ypbu 诱捕
ypby 诱变
ypcf 谣传
ypcf 冤仇
ypck 译成
ypck 永存
ypcp 语词
ypcq 议程
ypdn 诱导
ypdo 议定
ypdp 语调
ypdq 诱敌
ypds 议定书
ypet 诱饵
ypf 谕
ypf, 诱发
ypfc 语法
ypfp 永福
ypfz 谕
ypgf 诱供
ypgk 语感
ypgq 以偏概全
ypgu 诱拐
ypgz 裕固族
yphc 语汇
yphf 议会
yphh 冤魂
yphl 诱惑力
ypho 永恒
yphq 议和
yphz 诱惑
ypi 议
ypil 说
ypiv 议
ypj 谳
ypjf 议价
ypjg 谳
ypjj 永嘉
ypjn 语
ypjo 冤家
ypjp 永诀
ypjt 永久
ypjt 语句
ypjv 语境
ypjx 永久性
ypjy 议决
yplj 一片狼藉
ypln 语录
yplp 议论
yplw 议论文
ypm 郓
ypmk 译码
ypmt 译名
ypo 谊
ypom 谊
ypp/ 诱骗
ypq 诱
ypqd 诱
ypqn 冤屈
ypqq 语气
ypr 谣
yprf 裕
yprf 诱人
ypri 谣
yprx 一贫如洗
yps 谒
ypsf 诱使
ypsh 一曝十寒
ypsj 议事
ypsk 永硕
ypso 语塞
ypsq 永生
ypsr 诱杀
ypss 一盘散沙
ypst 谒
ypt 冤
yptg 冤
ypts 议题
ypts 诣
ypw 谀
ypw; 谀
ypwh 永无
ypwi 译为
ypwk 语文课
ypwx 冤枉
ypwy 译文
ypwy 语文
ypxm 诱降
ypxt 语系
ypxy 议席
ypy 谚
ypyg 诱因
ypyh 永远
ypyi 语义
ypyi 谚
ypyl 议员
ypym 议院
ypyp 谚语
ypys 永远是
ypyx 语言学
ypyy 语言
ypyy 谣言
ypyy 语音
ypzb 译著
ypzj 译者
ypzp 译制片
ypzq 议长
ypzq 译制
yq 移
yqba 移步
yqbf 一去不复返
yqbh 一去不回
yqbl 远亲不如近邻
yqbl 移情别恋
yqbt 一窍不通
yqby 有求必应
yqcm 移除
yqd; 移到
yqdh 移动
yqeb 一穷二白
yqec 一清二楚
yqff 意气风发
yqfz 有其父必有其子
yqg 秧
yqgk 氤
yqgk 秧
yqgz 秧歌
yqgz 欲擒故纵
yqh 竽
yqhc 一气呵成
yqhd 油腔滑调
yqhf 氧化
yqhw 氧化物
yqhx 竽
yqi 氧
yqih 氧
yqj 氩
yqjf 氩
yqjn 移居
yqjy 移交
yqkh 移开
yqlj 迤逦
yqlj 友情链接
yqly 眼前利益
yqmb 秧苗
yqmn 移民
yqms 以权谋私
yqnb 与去年相比
yqnh 摇旗呐喊
yqo 箢
yqo, 箢
yqp 迤
yqpv 迤
yqqq 氧气
yqr 夭
yqrs 由浅入深
yqrs 有情人终成眷属
yqs 氲
yqsb 仪器设备
yqsd 移师
yqsg 氲
yqsi 移送
yqtg 异曲同工
yqtg 秧田
yqti 移
yqtx 有期徒刑
yqv 筠
yqvt 筠
yqw 筵
yqw; 筵
yqwe 移往
yqwf 移位
yqwl 有气无力
yqws 鸦雀无声
yqwy 夭亡
yqxg 偃旗息鼓
yqxy 筵席
yqy 毓
yqy. 毓
yqyb 仪器仪表
yqyq 氤氲
yqys 意气用事
yqyy 有情有义
yqz; 移至
yqzh 一丘之貉
yqzj 移栽
yqzu 夭折
yqzx 移植
yqzx 一气之下
yqzy 引起争议
yr 欲
yrbd 用人不当
yrcc 遥测
yrdw 用人单位
yrej 迎刃而解
yrem 掩人耳目
yres 油然而生
yrey 因人而异
yrfz 易如反掌
yrg 釉
yrgd 优柔寡断
yrgj 釉
yrgk 遥感
yrgw 依然故我
yrh 爰
yrhg 雍容华贵
yrhi 欲火
yrht 爰
yrjr 毅然决然
yrjw 一如既往
yrjz 与日俱增
yrk 肴
yrkd 肴
yrkg 以柔克刚
yrku 遥控
yrl 谷
yrm 爷
yrnf 欲念
yrp 遥
yrpv 遥
yrqj 欲求
yrql 一日千里
yrr 爻
yrrg 依然如故
yrrs 引人入胜
yrs 刈
yrsc 一日三餐
yrsx 哑然失笑
yrt 鹞
yrt. 繇
yrtf 欲
yrtp 鹆
yrtp 鹞
yrw 舀
yrw; 舀
yrwb 以人为本
yrws 与人为善
yrwy 遥望
yrwy 欲望
yrwz 音容宛在
yrxm 音容笑貌
yrxx 遥想
yry; 欲与
yryb 易燃易爆
yryh 遥远
yryr 爷爷
yryx 嫣然一笑
yryy 游刃有余
yrzd 怡然自得
yrzm 引人注目
yrzp 遥祝
yrzq 欲知
yrzr 庸人自扰
yrzs 跃然纸上
yrzu 遥指
ys 业
ys. 曜
ys.; 曜
ysbb 一手包办
ysbd 欲速不达
ysbg 一丝不苟
ysbg 一丝不挂
ysbi 易爆
ysbk 一声不吭
ysbs 依山傍水
ysbt 有所不同
ysbx 一声不响
ysby 艺术表演
yscc 与世长辞
yscc 严肃查处
yscl 严肃处理
yscm 映出
yscp 映衬
yscy 远涉重洋
yscz 艺术创作
ysdf 晕倒
ysdj 影碟机
ysdk 影碟
ysdo 易懂
ysdv 易地
ysdw 野生动物
ysdy 影帝
yse 影
ysec 影
yseg 一扫而光
ysek 一扫而空
ysen 一石二鸟
ysex 由上而下
ysf 晔
ysfg 艺术风格
ysfh 有伤风化
ysfm 衣食父母
ysfq 运算放大器
ysft 晔
ysfz 有所发展
ysg 映
ysgj 与世隔绝
ysgk 映
ysgs 雅俗共赏
ysgs 有所改善
yshb 优势互补
yshe 影后
yshf 易货
yshx 游手好闲
ysiz 业
ysj/ 业绩
ysjf 影集
ysjf 玉石俱焚
ysjg 业界
ysjj 与时俱进
ysjl 与生俱来
ysjn 影剧
ysjs 有色金属
ysjy 影剧院
ysjz 艺术价值
ysld 因势利导
yslf 一式两份
yslj 伊斯兰教
ysll 有生力量
ysll 衣衫褴褛
yslt 优胜劣汰
yslx 一声令下
ysm 邺
ysmi 影迷
ysng 业内
ysnj 预算内资金
yso 晏
yso/ 晏
ysp 晕
ysp; 晕
yspa 一生平安
yspe 易盘
yspp 影评
yspw 影片
ysqb 有所区别
ysqj 饮食起居
ysqv 易趣
ysrc 议事日程
ysrf 易人
ysri 易燃
ysrj 夜深人静
ysrr 映入
ysrz 严肃认真
yssb 运输设备
yssd 以少胜多
yssf 以身试法
yssh 原始社会
yssj 易事
yssl 原始森林
yssp 影视
yssw 影射
yssw 映射
yssy 饮水思源
yst 易
yste 伊斯坦布尔
yste 易
ystg 有所提高
ystp 有所突破
ystr 一视同仁
ystv 影坛
ysty 昀
yswb 营私舞弊
yswc 一事无成
yswj 预算外资金
yswk 有恃无恐
yswl 业务量
yswp 鱼死网破
ysws 游山玩水
yswt 业务
yswy 业务员
yswy 衣食无忧
yswz 与世无争
ysxd 影响到
ysxe 易行
ysxf 影像
ysxf 映像
ysxl 影响
ysxl 影响力
ysxo 易学
ysxs 影星
ysxt 意识形态
ysxx 以身相许
ysxz 以身殉职
ysy 昱
ysyb 摇身一变
ysyf 业余
ysyg 疑神疑鬼
ysyh 一丝一毫
ysyh 易于
ysyi 昱
ysyj 影印件
ysyl 有史以来
ysym 影院
ysyn 业已
ysys 有声有色
ysyt 易用
ysyt 影印
ysyx 有说有笑
ysyy 影音
ysyy 优生优育
ysyz 有始有终
yszb 有所准备
yszd 欲速则不达
yszd 怨声载道
yszh 一失足成千古恨
yszi 映着
yszj 有所增加
yszm 影子
yszn 有生之年
yszp 艺术作品
yszs 有识之士
yszs 映照
yszt 一手遮天
yszw 野生植物
yszx 衣食住行
yszy 业主
yszz 以身作则
yt 用
yt. 疑
yt.l 饴
yt.m 疑
yt.t 狁
ytao 疑案
ytbg 迎宾馆
ytbm 印巴
ytbo 迎宾
ytbq 用笔
ytbw 有条不紊
ytbw 摇头摆尾
ytbw 用兵
ytbz 用不着
ytc. 鱼叉
ytca 用餐
ytcb 饮茶
ytch 迎春
ytcj 鱼翅
ytck 犹存
ytcp 用词
ytcq 匀称
ytct 用处
ytcv 用场
ytd 乐
ytd; 用到
ytda 疑点
ytde 用得
ytdg 用电
ytdl 用电量
ytdm 乐队
ytdq 亚太地区
ytdr 印度人
ytdv 用地
ytdv 乐
ytdw 一天到晚
ytdy 印度
ytdz 用得着
ytet 鱼饵
ytet 鱼儿
ytf 狳
ytf, 印发
ytfc 用法
ytfh 馀
ytfh 狳
ytfm 油头粉面
ytfn 用费
ytfp 用房
ytft 迎风
ytfy 乐府
ytg 眢
ytgf 用光
ytgh 眢
ytgj 用功
ytgj 用工
ytgq 鱼缸
ytgs 迎头赶上
ytgy 鱼肝油
yth, 用好
ythb 印花
ythf 迎合
ythm 用户名
ythn 摇头晃脑
ytho 怨恨
ythp 用户
ythq 一团和气
ytht 一塌糊涂
ytht 猿猴
ythx 用
ythz 疑惑
ytj. 用劲
ytjc 言听计从
