m 们
musy 门市
musz 门锁
mute 门徒
mutk 门厅
muty 门庭
muu 扪
muub 扪
muwh 门外汉
muwm 门卫
muwt 门外
muxj 门下
muxl 闷响
muxp 描写
muy 闵
muy; 门牙
muyr 闵
muzb 门诊部
muzl 抿嘴
muzp 门诊
muzu 拇指
muzx 门柱
mv 埋
mv/ 坶
mv/y 坶
mvcb 埋藏
mvdi 埋单
mvff 埋伏
mvgh 埋
mvmc 埋没
mvs 墁
mvsg 墁
mvsp 埋设
mvto 埋头
mvxj 埋下
mvyt 埋怨
mvzb 埋葬
mvzk 埋在
mw 魅
mwbj 漫无边际
mwbq 面无表情
mwfj 目无法纪
mwgd 明文规定
mwhd 魅
mwjy 美味佳肴
mwl, 魅力
mwml 没完没了
mwqn 勉为其难
mwrs 面无人色
mwxe 名闻遐迩
mx 木
mx/ 杩
mx/z 杩
mxap 棉袄
mxb 模
mxbj 木本
mxbk 棉布
mxbp 棉被
mxbp 檬
mxbs 模
mxbw 木版
mxbx 木板
mxbx 模板
mxbx 木棒
mxca 木柴
mxce 木船
mxcx 木材
mxcz 梦想成真
mxd 杪
mxd; 梦到
mxdh 梅毒
mxdi 杪
mxdq 某些地区
mxdt 木雕
mxdx 面向对象
mxej 木耳
mxf/ 棉纺
mxfb 模范
mxfc 棉纺厂
mxff 模仿
mxfm 某些方面
mxfz 棉纺织
mxge 木瓜
mxgj 木工
mxh/ 梦幻
mxhb 棉花
mxhb 梅花
mxhi 模糊
mxhp 梦话
mxhz 明显好转
mxj, 木架
mxjg 模具
mxjg 梦见
mxjv 梦境
mxjz 木匠
mxkv 模块
mxky 木刻
mxlb 木莲
mxlg 梦里
mxli 木料
mxlx 梅林
mxm 楣
mxm/ 木马
mxmk 楣
mxmo 梦寐
mxmq 棉毛
mxmx 木棉
mxnp 木讷
mxnq 模拟器
mxnu 模拟
mxny 木乃伊
mxof 木偶
mxox 木偶戏
mxp 懋
mxpo 懋
mxq 梅
mxq/ 梅
mxqg 面向全国
mxqh 棉球
mxql 木器
mxqr 枚
mxrt 木然
mxs/ 棉纱
mxsc 面向市场
mxsh 面向社会
mxsj 面向世界
mxsx 木梳
mxsz 模式
mxt 梦
mxtg 木炭
mxto 木头
mxtq 模特
mxtt 棉条
mxtv 梦
mxtx 木桶
mxw 棉
mxwn 棉
mxx, 棉絮
mxx/ 梦乡
mxxb 密西西比
mxxg 毛细血管
mxxh 模型
mxxn 木屑
mxxq 木箱
mxxs 木星
mxxx 梦想
mxyc 梦游
mxyg 梦遗
mxyk 梦魇
mxyt 木鱼
mxyx 模样
mxyy 棉衣
mxze 木质
mxzg 梦中
mxzi 梅州
mxzm 模子
mxzp 棉织品
mxzw 扪心自问
mxzx 木桩
my 亩
my. 袤
my.m 袤
my/ 縻
my/u 縻
mya 靡
myah 靡
myb 瘼
mybj 绵延不绝
mybk 麻布
mybl 贸易壁垒
mybs 瘼
myby 麻痹
myby 密云不雨
mycd 盲肠
mycf 盲从
mycl 摩擦力
mycl 磨蹭
mycp 名优产品
mycs 满园春色
mycu 摩擦
mycy 亩产
mycz 木已成舟
myd, 磨刀
myd. 摩登
myda 盲点
mydc 命运多舛
mydf 麻袋
mydh 盲动
mydu 盲打
myet 摩尔
myf/ 麻纺
myfc 魔法
myfi 麻烦
myfj 民用飞机
myfm 某一方面
myfn 靡费
myft 麻风
myfv 磨坊
myg 庙
mygf 磨光
mygh 盲
mygh 蛮干
mygj 蛮
mygj 亩
mygj 庙
mygs 贸易公司
mygw 魔鬼
mygx 贸易关系
myh/ 魔幻
myhb 麻花
myhf 庙会
myhh 磨耗
myhj 麻黄
myhk 民用航空
myhx 蛮横
myi 糜
myij 麋
myij 糜
myjy 麻将
myjz 民用建筑
myk 磨
mykl 磨
myko 魔窟
myl, 魔力
myl/ 磨练
mylg 摩洛哥
myli 糜烂
mylk 磨砺
mylq 麻利
myly 麋鹿
mylz 妙语连珠
mym 邙
mymg 盲目
myml 磨灭
mymx 麻木
myn 氓
myn. 磨难
mync 贸易逆差
myng 摩纳哥
mynn 氓
mypc 卖淫嫖娼
mype 磨盘
myq 摩
myqd 麻雀
myqj 摩
myqq 旄
myqy 民营企业
myqz 盲区
myrf 盲人
myrh 没有任何
mys/ 麻绳
mysc 贸易顺差
mysc 摩挲
mysh 名扬四海
mysj 魔术
mysm 没有什么
myss 魔术师
myst 民以食为天
mysu 磨损
myt 麽
mytc 摩托车
myth 摩天
mytp 贸易谈判
mytu 摩托
mytv 麽
myw 魔
mywh 魔王
mywl 贸易往来
mywn 魔
mywy 盲文
myx 麻
myxd 没有想到
myxx 麻
myy; 蛮夷
myyb 麻药
myyc 麻油
myyo 庙宇
myyy 没有意义
myze 贸易总额
myze 魔爪
myzf 魔掌
myzj 麻醉
myzm 麻子
myzq 磨制
myzx 贸易中心
myzy 麻疹
myzz 贸易组织
mz 铭
mzad 明争暗斗
mzat 明珠暗投
mzb 锚
mzbg 锚
mzbs 明哲保身
mzbs 镆
mzbz 美中不足
mzdl 民族独立
mzdp 民主党派
mzdq 民族地区
mzdx 毛泽东思想
mzdx 命在旦夕
mzdz 铆钉
mzeg 满载而归
mzfg 民族风格
mzfs 民族服饰
mzfz 民主法制
mzg 钼
mzgf 明知故犯
mzgg 民主改革
mzgh 钼
mzgl 蒙在鼓里
mzgl 民主管理
mzgm 民主革命
mzgw 明知故问
mzgy 民族工业
mzi 镁
mzih 镁
mzjd 民主监督
mzjf 民族解放
mzjj 民族经济
mzjp 铭记
mzjs 民族精神
mzjy 民族教育
mzjz 民主集中
mzky 铭刻
mzm 锰
mzmg 民脂民膏
mzmj 锰
mzmk 镅
mzpy 民主评议
mzql 民主权利
mzqr 梦中情人
mzrs 民主人士
mzs 镘
mzsg 镘
mzsh 民主生活
mzt 铆
mztj 民族团结
mzts 民族特色
mztt 铆
mztv 铭
mzu 钔
mzub 钔
mzwh 民族文化
mzwr 目中无人
mzxj 民主选举
mzxs 民主协商
mzys 名正言顺
mzys 莫衷一是
mzyx 民族英雄
mzzc 民族政策
mzzd 命中注定
mzzg 弥足珍贵
mzzj 明智之举
mzzy 民族主义
mzzy 民主主义
