l 了
lmpv 辽
lmqf 连绵起伏
lmqv 了却
lmrt 了然
lmsa 陆上
lmsc 劳民伤财
lmsd 两面三刀
lmsf 陋俗
lmsj 了事
lmsk 龙门石窟
lmss 老谋深算
lmst 老马识途
lmt 隆
lmty 隆
lmv 陵
lmvr 陵
lmx. 陋习
lmx/ 陆续
lmxd 隆胸
lmxj 辽西
lmyc 辽源
lmyg 陵园
lmyh 陆运
lmym 辽阳
lmza 陆战
lmzd 陆战队
lmzp 了之
lmzq 隆重
lmzy 浪漫主义
ln 灵
lnbf 灵便
lnbo 灵宝
lncy 屡次
lndh 灵动
lndj 履带
lne 履
lned 履
lnf 录
lnfk 录
lngd 力能扛鼎
lngf 灵光
lngk 灵感
lnhc 灵活
lnhh 灵魂
lnhx 灵活性
lni 屡
lnij 屡
lnir 灵
lnj 隶
lnjv 隶
lnjx 灵柩
lnlb 履历表
lnlk 履历
lnln 屡屡
lnmd 灵敏度
lnmq 灵敏
lnp 逯
lnpv 逯
lnqj 录取
lnqj 灵巧
lnqq 灵气
lnrr 录入
lns/ 隶书
lnsn 隶属
lnsr 屡受
lnsy 隶属于
lnt. 灵通
lntf 灵堂
lnty 灵童
lnxd 录像带
lnxe 履行
lnxf 录像
lnxj 录像机
lnxo 灵性
lnxp 录像片
lny/ 灵验
lny/ 履约
lnyd 录音带
lnyj 录音机
lnyt 录用
lnyy 录音
lnzb 灵芝
lnzj 屡遭
lnzl 灵长类
lnzq 录制
lnzy 列宁主义
lo 帘
lo. 寥
lo.; 寥
loar 怜爱
locg 懒虫
lode 懒得
lodo 懒惰
lof 怜
lofp 牢房
lofp 怜
log 愣
logg 牢固
logs 愣
logw 懒鬼
logx 帘
lohc 懒汉
loj 懒
lojn 懒
lojp 牢记
lok 寮
loko 寮
lokq 牢靠
lold 牢牢地
lolo 牢牢
lolo 寥寥
lom 窿
lomo 怜悯
lomt 懒猫
lomt 窿
loq 牢
loqj 牢
lorf 懒人
los/ 牢骚
losj 懒散
loxo 怜惜
loy 懔
loyd 懒腰
loyg 懔
loyh 懒于
loyy 懒洋洋
lozf 愣住
lozi 愣着
lozm 帘子
lp 论
lp; 裢
lp;j 裢
lpb 礼
lpbl 礼拜六
lpbo 礼宾
lpbq 礼拜
lpbt 礼包
lpck 良辰
lpcq 良策
lpct 论处
lpd 朗
lpda 论点
lpdi 论断
lpdp 朗读
lpdt 良多
lpf 裣
lpfd 礼服
lpfl 裣
lpft 论
lpfy 良方
lpg 裸
lpg/ 论纲
lpgh 裸
lph 良
lph, 良好
lphb 礼花
lphb 良
lphf 礼盒
lphj 诔
lpi 褛
lpij 褛
lpjb 礼节
lpjf 礼金
lpjj 礼教
lpjn 郎君
lpjt 谅解
lpju 论据
lpjx 良机
lpjy 良将
lpk 戾
lpkb 良苦
lpko 戾
lpkq 朗科
lpld 连篇累牍
lplh 论理
lpll 裸露
lplp 褴褛
lpm 郎
lpmg 礼帽
lpmn 良民
lpmr 礼貌
lpn 禄
lpnj 禄
lppi 礼炮
lppj 礼聘
lppl 礼品
lppq 礼品券
lprp 礼让
lps 褴
lpsd 良师
lpsf 礼俗
lpsi 礼数
lpsj 论述
lpsp 朗诵
lpsp 论说
lpsq 褴
lptf 裸体
lptf 礼堂
lptg 良田
lpts 论题
lptv 论坛
lpu 谰
lpun 谰
lpwj 论文集
lpwq 礼物
lpwy 论文
lpxj 另辟蹊径
lpxo 良性
lpxp 良心
lpy 谅
lpy/ 良缘
lpyb 良药
lpyf 礼仪
lpyg 礼遇
lpyk 良友
lpyl 谅
lpyp 论语
lpyy 良言
lpyz 良医
lpza 论战
lpzb 论著
lpzg 郎中
lpzh 论证会
lpzp 论证
lpzq 良知
lpzq 礼制
lpzt 论争
lpzy 力排众议
lq 利
lqb 乱
lqbb 氯苯
lqbi 利弊
lqbn 黎巴嫩
lqbq 篱笆
lqbq 篮板球
lqbr 六亲不认
lqbx 篮板
lqby 利比亚
lqbz 乱七八糟
lqcc 来去匆匆
lqci 利差
lqcq 理屈词穷
lqdh 乱动
lqf 黎
lqf, 乱发
lqff 氯仿
lqff 黎
lqg 箩
lqgg 利国
lqgi 黧
lqgm 另请高明
lqgs 箩
lqh, 利好
lqhg 黧黑
lqhh 乱哄哄
lqhl 乱喊
lqhn 氯化钠
lqho 利害
lqhq 老气横秋
lqi 篓
lqij 篓
lqj 籁
lqjl 乱叫
lqjm 篥
lqjn 利己
lqjn 籁
lqjp 乱讲
lqk 笼
lqk, 笼
lqko 利空
lqkq 箩筐
lql 稆
lql/ 笼络
lqlb 利落
lqlf 乱伦
lqll 稆
lqlp 利禄
lqly 利率
lqlz 另起炉灶
lqmk 乱码
lqmn 利民
lqms 黎明
lqn 氯
lqnj 氯
lqnn 利尿
lqp 稂
lqph 稂
lqpp 乱蓬蓬
lqq 犁
lqqd 篮球队
lqqh 篮球
lqqj 犁
lqql 利器
lqqm 两全其美
lqqq 氯气
lqqs 篮球赛
lqr, 利刃
lqrc 利润
lqrl 利润率
lqs 篮
lqs 利
lqsf 乱收费
lqsj 利索
lqsj 离群索居
lqsq 利税
lqsq 篮
lqsx 梨树
lqt 氇
lqt/ 笼统
lqtg 氇
lqtk 乱套
lqtp 乱摊派
lqtv 篮坛
lqx 梨
lqxt 乱象
lqxw 利息
lqy 笠
lqyh 利于
lqyi 利益
lqyi 笠
lqyl 利用率
lqyp 利诱
lqyr 篱
lqyt 利用
lqyt 簏
lqza 乱占
lqzg 笼罩
lqzj 乱涨价
lqzm 篮子
lqzy 黎族
lqzz 乱糟糟
lrbc 老弱病残
lrbs 冷若冰霜
lrfc 来日方长
lrfj 令人费解
lrfw 落入法网
lrfz 令人发指
lrgw 令人鼓舞
lrkj 利润空间
lrl 谷
lrlh 来人来函
lrmy 令人满意
lrnw 令人难忘
lrqy 泪如泉涌
lrss 令人深思
lrsw 令人神往
lrwc 量入为出
lrxf 令人信服
lryx 泪如雨下
lryx 了然于胸
lryy 烈日炎炎
lrzm 令人瞩目
lrzo 令人作呕
lrzz 了如指掌
ls 量
lsao 临安
lsbg 历史博物馆
lsbj 老实巴交
lsbj 历史背景
lsbl 临别
lsbq 老少边穷
lsbs 屡试不爽
lsby 量变
lsch 历史长河
lscl 历史潮流
lscq 量程
lsct 老生常谈
lscy 临床
lsdr 理所当然
lsdx 雷声大雨点小
lsdy 量度
lsdz 量身定做
lsfc 临汾
lsfy 连锁反应
lsg 览
lsgh 量
lsgt 览
lshf 量化
lshh 梁山好汉
lshs 乐善好施
lshz 络腮胡子
lshz 龙蛇混杂
lsj/ 量级
lsjd 历史阶段
lsje 临近
lsjg 临界
lsjl 历史纪录
lsjx 历史教训
lsjy 历史经验
lsjz 梁上君子
lskk 两手空空
lsl, 量力
lsly 烈士陵园
lsmb 临摹
lsmf 牢骚满腹
lsnj 力所能及
lsq 临
lsqu 临
lsrs 料事如神
lsrw 历史人物
lssc 粮食生产
lssg 临时工
lssk 临死
lssm 历史使命
lssp 绿色食品
lssq 历史时期
lsss 临时
lsss 律师事务所
lsss 鹿死谁手
lssw 量身
lssx 临时性
lst 旯
lstc 临潼
lstj 历史条件
lswg 滥杀无辜
lswh 历史文化
lswl 礼尚往来
lsws 拉斯维加斯
lswt 临危
lsww 历史文物
lswy 历史唯物主义
lswz 六神无主
lsxe 临行
lsxh 量刑
lsxm 来势凶猛
lsxs 历史小说
lsxv 临幸
lsxx 来势汹汹
lsy 晾
lsyc 略胜一筹
lsyj 历史悠久
lsyl 晾
lsys 临沂市
lsyw 聊胜于无
lsyy 良师益友
lsyy 历史意义
lsz/ 临终
lsza 临战
lszc 落实政策
lsze 零售总额
lszf 临时政府
lszm 临阵
lszm 量子
lszp 历史最高水平
lszr 历史责任
lszv 临走
lszw 粮食作物
lszy 历史作用
lt 留
lt; 鲢
lt;j 鲢
lta 鲈
ltan 鲈
ltba 留步
ltbr 猎豹
ltbt 狼狈
ltbu 猎捕
ltc/ 卵巢
ltck 留成
ltck 留存
ltcm 留出
ltcy 量体裁衣
ltd 乐
ltd; 留到
ltde 乐得
ltdv 乐
ltdy 留底
ltf 雒
ltfy 雒
ltg 鲤
ltg. 乐观
ltg/ 留给
ltgh 狸
ltgh 鲤
ltgj 鳢
ltgj 留
ltgs 猡
ltgt 狼狗
ltgt 猎狗
lthh 乐呵呵
lthp 猎户
lths 留后手
lthx 龙潭虎穴
lthy 狼吞虎咽
lthy 龙腾虎跃
lti 鳞
ltij 鳞
ltj 猎
ltj. 鲡
ltj/ 留级
ltja 鳓
ltja 猎
ltjb 狼藉
ltjn 留居
ltk 獠
ltkg 乐凯
ltko 獠
ltl; 留连
ltly 留恋
ltly 流通领域
ltlz 老态龙钟
ltm 卵
ltmb 鲁莽
ltmi 留美
ltmt 留名
ltmv 卵
ltnf 留念
ltnj 鲁南
ltp 狼
ltpc 卵泡
ltph 狼
ltpl 乐平
ltpv 遛
ltpw 鳞片
ltq 猁
ltqd 流通渠道
ltqd 猁
ltqj 猎取
ltqk 猎犬
ltqk 猎奇
ltqn 狼群
ltqo 留情
ltqv 乐趣
ltqx 猎枪
ltrf 猎人
ltrf 留任
lts 鲁
lts/ 留书
ltsf 猎食
ltsg 乐山
ltsj 留声机
ltsj 乐事
ltsk 卵石
ltso 留守
ltsp 留神
ltsq 猎手
ltsr 猎杀
ltt 馏
lttp 馏
ltv 鲮
ltvr 鲮
ltwj 雷霆万钧
ltwq 猎物
ltwy 拉脱维亚
ltwz 领土完整
ltxj 留下
ltxn 鲁迅
ltxo 留学
ltxp 留心
ltxs 留学生
ltxx 留校
ltyb 留言板
ltyc 留洋
ltyg 乐园
ltyh 乐于
ltyi 狼烟
ltyk 留有
ltys 留影
ltyt 鲤鱼
ltyt 留用
ltyy 乐意
ltyy 留意
ltyy 留言
ltz/ 留驻
ltzb 力透纸背
ltzf 留住
ltzg 鲁中
ltzi 留着
ltzj 留职
ltzk 留在
ltzm 卵子
ltzz 乐滋滋
lu 拉
lua 掳
lua, 掳
lub 捞
lubp 捞
lubt 拎包
lubu 搂抱
lubu 撩拨
luc; 拉车
lucf 揽储
lucm 拉出
lucq 拉长
lucu 拉扯
lud; 拉到
ludf 拉倒
ludh 拉动
ludj 拉丁
ludk 掠夺
ludw 拉丁文
ludy 拉丁语
ludz 拉肚子
luf 拎
lufp 拎
luft 抡
lug 撂
lugj 掠过
lugj 摞
lugj 撂
lugx 拉杆
lugx 拉关系
luhb 拦河坝
luhz 拉祜族
lui 拦
luih 拦
luij 搂
luj 阑
luj. 阑
lujc 拉家常
luje 拉近
lujh 拉进
lujj 拦截
lujs 拉紧
lujz 拉锯战
luk 撩
luk, 拢
lukh 拉开
luko 撩
lul 擂
lul, 拉力
lulh 拦路虎
lull 拦路
lull 闾
lulm 擂
luls 拉力赛
lulu 拉拢
lulz 拉链
lumi 拉美
lumk 拉面
lup 阆
luph 阆
lupj 拉票
lupk 捩
lupl 拉平
lupt 拉皮条
luqj 捞取
luqv 拉起
luqz 捞钱
lur 捋
luri 捋
lurr 拉入
lus 揽
lus/ 拉丝
lusa 拉上
lusb 拉萨
lusf 拉伸
lush 阑珊
lusn 拉屎
lusq 揽
lut 撸
lut. 擂台
lutg 撸
luts 擂台赛
lutz 撂挑子
luwg 拦网
luwy 阑尾炎
lux/ 拉线
luxj 拉下
luxs 拉下水
luy 掠
luyb 捞一把
luyc 拉洋车
luyd 拦腰
luyi 拉
luyl 掠
luys 掠影
luzf 拉住
luzf 拦住
luzi 拉着
luzj 拉直
luzk 搂在
luzm 拦阻
luzv 拉走
lv 垃
lva 垆
lvan 垆
lvc 墚
lvc, 墚
lvg 塄
lvgs 塄
lvjt 垃圾桶
lvjv 垃圾
lvjx 垃圾箱
lvk 垅
lvk, 坜
lvk, 垅
lvk. 趔
lvqv 趔趄
lvr 埒
lvri 埒
lvyi 垃
lw 魉
lwbj 临危不惧
lwdb 论文答辩
lwj, 魉
lwkl 力挽狂澜
lwsc 劳务输出
lwsc 劳务市场
lwsm 临危受命
lwzy 漏网之鱼
lx 林
lx, 婪
lx,z 婪
lxa 栌
lxan 栌
lxap 另行安排
lxbd 连续不断
lxbj 离乡背井
lxbw 李白
lxbx 楼板
lxcn 楼层
lxcn 老羞成怒
lxcp 林产品
lxcv 林场
lxcy 林产
lxdh 联系电话
lxdi 楼道
lxdj 楼顶
lxdv 林地
lxdw 领先地位
lxdz 联系地址
lxf 柃
lxfp 楼房
lxfp 柃
lxfs 联系方式
lxfz 路线方针
lxg 楞
lxgf 狼心狗肺
lxgq 流行歌曲
lxgs 例行公事
lxgs 椤
lxgs 楞
lxgu 楼阁
lxgx 栏杆
lxhc 林海
lxhy 联席会议
lxi 楼
lxih 栏
lxij 楼
lxj. 楝
lxjk 栳
lxjt 棱角
lxjy 厉行节约
lxjz 令行禁止
lxk 枥
lxk, 栊
lxk, 枥
lxka 林肯
lxl 檑
lxld 离心离德
lxli 楼兰
lxlm 檑
lxlq 李岚清
lxly 林立
lxm 李
lxmg 栏目
lxmu 楼门
lxmx 林木
lxmz 李
lxn 棂
lxng 楼内
lxnk 棂
lxp 榔
lxpd 李鹏
lxpe 楼盘
lxph 榔
lxpm 溜须拍马
lxqf 两袖清风
lxqn 楼群
lxqz 林区
lxrs 理性认识
lxrw 领袖人物
lxs 榄
lxsa 楼上
lxsm 李世民
lxsp 领先水平
lxsq 榄
lxsx 柳树
lxsy 楼市
lxt 柳
lxt. 楼台
lxtd 栎
lxtg 橹
lxto 榔头
lxtp 榴
lxtt 柳条
lxtt 柳
lxtx 楼梯
lxtz 另行通知
lxu 榈
lxub 榈
lxv 棱
lxvr 棱
lxwm 落下帷幕
lxwt 楼外
lxx 林
lxxh 良性循环
lxxj 楼下
lxxs ^李溪生
lxxs 礼贤下士
lxxy 怜香惜玉
lxy 麓
lxyb 林业部
lxyd 林荫道
lxyg 檩
lxyj 林业局
lxyl 椋
lxym 林阴
lxyo 楼宇
lxys 林业
lxyt 林业厅
lxyt 麓
lxyw 履行义务
lxzf 楞住
lxzi 柳州
lxzl 楼中楼
lxzm 林子
lxzy 楼主
lxzy 理想主义
lxzz 履行职责
ly 立
ly, 娈
ly,z 娈
ly. 廖
ly.; 廖
ly/ 率
ly/o 率
ly; 鹿
ly;c 疠
ly;t 鹿
lyaf 冷傲
lyag 离岸
lyao 立案
lyar 恋爱
lyb 痨
lybb 冷冰冰
lybd 立于不败之地
lybf 冷不防
lybh 刘邦
lybj 络绎不绝
lybk 离不开
lybl 离别
lybm 林业部门
lybp 冷裱
lybp 痨
lybq 良莠不齐
lybu 凉拌
lybx 六边形
lyby 痨病
lycb 冷藏
lych 立春
lycj 廉耻
lyck 六成
lycl 冷处理
lycm 亮出
lycq 疗程
lycq 旅程
lycs 凌晨
lycs 滥竽充数
lycv 立场
lycy 六畜
lyd 膂
lyd. 冷对
lyda 亮点
lydc 冷淡
lydg 蠃
lydi 羸
lydm 离队
lydo 立定
lydt 立冬
lydv 离地
lydy 旅店
lydy 冷冻
lydy 亮度
lyej 六一儿童节
lyf 冷
lyfc 立法
lyfc 疗法
lyff 劳燕分飞
lyfh 銮
lyfm 立方米
lyfm 另一方面
lyfn 旅费
lyfp 冷
lyft 凉风
lyft 冷风
lyft 立方体
lyfv 廊坊
lyfw 旅游服务
lyfy 流言蜚语
lyfy 立方
lyfz 冷锋
lyg 离
lyg. 离
lygc 旅港
lygf 亮光
lygg 立国
lygj 立功
lygj 瘰
lygo 冷宫
lygr 脔
lygs 联营公司
lygt 旅馆
lygx 峦
lyh, 离婚
lyhc 冷汗
lyhd 旅游活动
lyhf 离合
lyhh 老眼昏花
lyhm 癞蛤蟆
lyhq 离合器
lyhz 离婚证
lyi 麟
lyi; 廉
lyij 瘘
lyij 麟
lyiz 立
lyj 辣
lyj, 凌驾
lyj/ 六级
lyjc 廉洁
lyjd 旅游景点
lyjf 廉价
lyjg 冷峻
lyjh 劳逸结合
lyjh 冷静
lyjj 亮晶晶
lyjm 六元金码
lyjn 立即
lyjn 癞
lyjn 瘌
lyjn 辣
lyjo 离家
lyjq 立交桥
lyjt 鹿角
lyju 离间
lyjv 离境
lyjx 辣椒
lyjx 恋旧
lyjy 立交
lyjy 离京
lyjy 痢疾
lyjz 利益均沾
lyk 冽
lyk, 疬
lyk. 冽
lykh 离开
lykj 冷酷
lykk 良药苦口
lyko 凌空
lyko 旅客
lyko 凉快
lykq 冷空气
lyks 凉开水
lyky 立刻
lyl 吝
lylb 冷落
lylc 伶牙俐齿
lylk 凌厉
lylp 立论
lylq 凌乱
lyly 冷冷
lyly 凛冽
lyly 冷言冷语
lylz 亮丽
lym 疗
lym, 辣妹
lym/ 立马
lymc 冷漠
lyms 亮明
lymt 癃
lymu 冷门
lymz 孪
lynq 六年
lyns 冷暖
lyny 冷凝
lyp 恋
lype 冷盘
lypf 冷僻
lypg 冷眼旁观
lyph 廊
lypk 庐
lypo 恋
lypp 离谱
lyps 六盘水
lypx 凉棚
lyq 旅
lyq; 六七
lyqc 冷清
lyqd 痢
lyqj 挛
lyqk 离奇
lyqo 恋情
lyqq 冷气
lyqq 立秋
lyqt 旅
lyqv 离去
lyqv 冷却
lyqy 离弃
lyqy 旒
lyr 六
lyrb 鹿茸
lyrf 恋人
lyrf 离任
lyrk 凌辱
lyrl 里约热内卢
lyrs 六日
lyrt 凛然
lyru 冷热
lys 刘
lysc 赖以生存
lysd 旅游胜地
lysf 疗伤
lysg 冷水
lysg 凉水
lysg 庐山
lysg 老于世故
lysj 吝啬
lysj 离散
lysj 六十
lysl 老有所乐
lysp 旅社
lysq 孪生
lyss 立时
lysu 立誓
lysw 旅顺
lysx 老有所学
lysy 老有所养
lysz 凉爽
lysz 立式
lyt 亮
lyt. 凉台
lytf 立体
lytf 旅途
lyth 冷天
lytp 瘤
lytp 鸾
lyts 离题
lyts 立体声
lytt 六条
lytw 立陶宛
lytx 离退休
lyu 斓
lyun 斓
lyv 凌
lyvr 凌
lyw; 六万
lywh 里应外合
lywl 辣味
lywz 利用外资
lyx 栾
lyx/ 离线
lyxc 旅行车
lyxe 旅行
lyxf 离休
lyxj 立项
lyxk 另眼相看
lyxk 立夏
lyxl 离心力
lyxn 离弦
lyxo 立宪
lyxo 吝惜
lyxp 离心
lyxq 冷笑
lyxs 旅行社
lyxt 旅行团
lyxw 冷血
lyxx 利欲熏心
lyxx 离校
lyxx 亮相
lyxy 疗效
lyxz 旅行者
lyy 凉
lyyc 旅游
lyyd 六月
lyyg 冷遇
lyyg 凛
lyyg 廪
lyyh 冷艳
lyyi 疗养
lyyj 旅游局
lyyl 凉
lyyn 离异
lyyq 旅游区
lyys 立业
lyyt 冷饮
lyyy 旅游业
lyyy 疗养院
lyyy 立意
lyyz 旅游者
lyza 冷战
lyzc 亮泽
lyzd 立足点
lyzg 六中
lyzi 亮着
lyzj 廉政
lyzj 立志
lyzj 离职
lyzl 立足
lyzm 离子
lyzq 滥用职权
lyzq 旅长
lyzr 乐于助人
lyzu 六折
lyzw 聊以自慰
lyzx 立柱
lyzy 立足于
lyzy 冷颤
lz 丽
lz; 链
lz;j 链
lzb 铹
lzbj 来者不拒
lzbp 铹
lzby 来之不易
lzck 铝厂
lzd, 镰刀
lzdc 锂电池
lzdg 锂电
lzdj 溜之大吉
lzdz 铃铛
lzf 铃
lzfp 铃
lzg 锂
lzgh 锂
lzgi 鬲
lzgj 锣鼓
lzgj 镙
lzgs 锣
lzgu 丽
lzhd 龙争虎斗
lzhj 铝合金
lzht 浪子回头
lzi 镂
lzij 镂
lzj 铑
lzjc 丽江
lzjf 镏金
lzjh 离子交换
lzjk 铑
lzjs 廉政建设
lzju 链接
lzk 镣
lzkk 铝矿
lzkm 隆重开幕
lzko 镂空
lzko 镣
lzkz 镣铐
lzl 铝
lzl; 链轮
lzlb 屡战屡败
lzll 链路
lzll 铝
lzlm 镭
lzlq 铼
lzm 钌
lzmq 临阵磨枪
lzp 锒
lzpb 论资排辈
lzph 锒
lzqz 理直气壮
lzr 锊
lzrf 丽人
lzri 锊
lzrn 烂醉如泥
lzsf 劳资双方
lzsg 丽水
lzsi 铝塑
lzsj 铃声
lzsw 镭射
lzsy 力争上游
lzsz 链锁
lzt 镏
lztc 隆重推出
lztg 镥
lztp 镏
lztt 链条
lztt 临阵脱逃
lzu 镧
lzun 镧
lzy 镰
lzy. 锍
lzye 略知一二
lzyr 镰
lzyt 乱作一团
lzyx 狼子野心
lzzd 立足之地
lzzj 两者之间
lzzm 链子
