f 分
ftxk 非同小可
ftxl 风雪
ftxm 风险
ftxp 负心
ftxq 风箱
ftxw 风向
fty 鲂
fty, 鲂
fty; 风雅
ftyb 非同一般
ftyh 风云
ftyh 负于
ftyj 风雨
ftyk 负有
ftym 凤阳
ftys 风调雨顺
ftyt 犯疑
ftyt 逢迎
ftyy 风韵
ftz 匐
ftza 饭桌
ftzf 负债
ftzg 犯罪
ftzh 负责
ftzj 负载
ftzl 匐
ftzo 风灾
ftzq 风筝
ftzq 负重
ftzr 负责人
ftzy 风姿
ftzz 负责制
fu 扶
fucu 扶持
fuf 阀
fuf; 阀
fufj 拊
fuh 抚
fuhr 扶
fuht 抚
fukg 扶困
fumu 抚摸
fumu 阀门
fumy 抚摩
fun 拂
fun, 拂
funi 拂逆
fupl 抚平
fupr 扶贫
fuqv 扶起
fusq 扶手
fusu 拂拭
fusw 抚顺
fuwn 抚慰
fuxj 抚恤金
fuxo 抚恤
fuxs 拂晓
fuyf 抚养费
fuyi 抚养
fuyy 抚育
fuzf 扶住
fuzg 扶助
fuzi 抚州
fuzi 扶着
fuzx 扶植
fv 封
fvbs 封闭式
fvbu 封闭
fvck 封存
fvcv 坟场
fvdj 封顶
fvdv 坟地
fvdy 封底
fvf 赴
fvgg 封固
fvhf 赴会
fvjn 封建
fvjv 封
fvjy 赴京
fvkl 封口
fvmb 坟墓
fvmi 赴美
fvmk 封面
fvrf 赴任
fvrs 赴日
fvsa 封上
fvsb 封神榜
fvsf 封赏
fvsg 封山
fvsk 封死
fvsp 封禅
fvsr 封杀
fvsx 封锁线
fvsz 封锁
fvto 坟头
fvtt 封条
fvy 坊
fvy, 坊
fvy/ 赴约
fvyj 封严
fvyo 赴宴
fvyr 坟
fvzf 封住
fvzy 封装
fw 阜
fwbq 分文不取
fwcn 服务承诺
fwdj 防微杜渐
fwgn 服务功能
fwgs 服务公司
fwgz 服务工作
fwhy 服务行业
fwj 阜
fwms 非我莫属
fwmy 服务贸易
fwqj 访问期间
fwr 鼢
fwr, 鼢
fwrj 繁文缛节
fwrx 服务热线
fwsp 服务水平
fwss 服务设施
fwtx 服务体系
fwxm 服务项目
fwxy 阜新
fwym 阜阳
fwyz 副委员长
fwzl 服务质量
fwzx 服务中心
fx 枫
fxbf 放下包袱
fxbg 分析报告
fxbx 放心不下
fxdg 翻箱倒柜
fxdg 梵蒂冈
fxhf 焚化
fxhj 逢凶化吉
fxhw 焚毁
fxi 焚
fxir 焚
fxj 榧
fxjh 榧
fxjs 奉献精神
fxjz 放下架子
fxk 樊
fxkv 樊
fxlp 浮想联翩
fxr 桴
fxr, 棼
fxri 桴
fxsi 焚烧
fxsx 枫树
fxsx 腐朽思想
fxt 梵
fxtd 放下屠刀
fxtr 枫
fxtv 梵
fxtz 风险投资
fxwa 方兴未艾
fxwy 梵文
fxxq 焚香
fxy 枋
fxy, 枋
fxyj 分析研究
fxyl 枫叶
fxyp 梵语
fxys 风行一时
fxzl 复习资料
fy 方
fy, 废
fy, 方
fy,. 废
fy/ 冯
fy/z 冯
fya 痱
fyah 痱
fyao 方案
fybf 方便
fybg 腐败
fybh 风云变幻
fybh 飞扬跋扈
fybj 妇幼保健
fybm 方便面
fybx 放不下
fyc/ 府绸
fycg 废黜
fycj 方寸
fycj 方才
fycm 废除
fycm 放出
fycq 方程
fycs 方程式
fycv 府城
fycx 富有成效
fycz 方程组
fyd; 放到
fydb 放荡
fydd 放胆
fydf 放贷
fydg 放电
fydj 放大镜
fydk 放大
fydq 放大器
fydu 废掉
fydy 疯癫
fyel 蜂拥而来
fyf 府
fyf, 放飞
fyfc 方法
fyfj 府
fyfl 方法论
fyft 放风
fyfy 附庸风雅
fyfy 翻云覆雨
fyg 腐
fygd 发扬光大
fygj 放过
fygr 腐
fygt 疯狗
fygx 方格
fygx 方根
fygz 放歌
fyh, 放好
fyh/ 放缓
fyhc 放活
fyhf 腐化
fyhg 放回
fyhi 放火
fyhj ^冯汉军
fyhp 废话
fyjf 放假
fyjh 放进
fyjj 风雨交加
fyjt 方角
fyjx 废旧
fykh 放开
fykj 放款
fyko 放宽
fykt 疯狂
fykv 方块
fykx 方框
fykz 方可
fylc 放浪
fylg 方略
fyli 腐烂
fyli 废料
fylk 幅员辽阔
fyls 敷衍了事
fyly 放疗
fym 邡
fym/ 放马
fymj 方面军
fymk 方面
fymo 放慢
fymq 放牧
fyms 方明
fymz 发扬民主
fyn. 方能
fynb 疯牛病
fynl 防御能力
fynq 放牛
fype 放盘
fypi 放炮
fypl 废品
fypn 放屁
fypy 风雨飘摇
fyq 放
fyqk 反映情况
fyqq 废气
fyqr 放
fyqw 废弃物
fyqy 放弃
fyqy 废弃
fyrf 放任
fyrr 放入
fyrw 风云人物
fyry 疯人院
fys, 方始
fysa 放上
fysa 府上
fysg 放水
fysg 废水
fysi 放送
fysj 放肆
fysj 放声
fysj 放眼世界
fysk 放射科
fysl 放哨
fysq 放手
fyss 匪夷所思
fyst 腐蚀
fysw 放射
fysx 放射性
fysx 放松
fysx 腐蚀性
fysz 方式
fysz 敷衍塞责
fyt 疯
fytb 风云突变
fytr 疯
fytz 废铁
fytz 风雨同舟
fywf 方位
fywk 负隅顽抗
fywq 废物
fywz 风雨无阻
fyxe 放行
fyxf 放像
fyxh 方形
fyxj 放下
fyxo 放学
fyxp 放心
fyxv 废墟
fyxw 方向
fyxx 腐朽
fyyc 废液
fyyg 方圆
fyyg 放眼
fyyh 放于
fyyi 放羊
fyyi 放养
fyyj 放映机
fyyk 反咬一口
fyys 放映
fyyy 方言
fyz/ 废纸
fyz/ 放纵
fyza 废止
fyzb 飞檐走壁
fyzc 废渣
fyze 方舟
fyzg 放置
fyzi 放着
fyzj 方正
fyzk 放在
fyzm 疯子
fyzm 方子
fyzm 方阵
fyzq 方知
fyzq 放租
fyzr 负有责任
fyzs 丰衣足食
fyzs 扶摇直上
fyzv 放走
fyzz 方针
fz 副
fza 匪
fzah 匪
fzaj 犯罪案件
fzbh 发展变化
fzbh 匪帮
fzbj 副本
fzbt 副标题
fzbw 匪兵
fzbz 副部长
fzcj 副处级
fzcn 风烛残年
fzcp 副产品
fzcs 防治措施
fzct 副处
fzcw 发展成为
fzcz 副处长
fzdl 付诸东流
fzdz 副队长
fzff 发自肺腑
fzfx 发展方向
fzfz 犯罪分子
fzgc 发展过程
fzgh 发展规划
fzgn 法制观念
fzgo 副官
fzhd 犯罪活动
fzhz 副会长
fzjd 发展阶段
fzjg 分支机构
fzjh 发展计划
fzjj 发展经济
fzjl 副总经理
fzjs 副教授
fzjy 法制教育
fzjz 副局长
fzkh 副刊
fzkj 发展空间
fzkz 副科长
fzll 负债累累
fzlq 锋利
fzmb 锋芒
fzn 镄
fzn, 镄
fznx 发自内心
fzqj 发展前景
fzql 发展起来
fzqs 发展趋势
fzqz 副区长
fzr, 锋刃
fzrb 法制日报
fzs 副
fzsd 发展速度
fzsf 副食
fzsh 副伤寒
fzsj 副书记
fzsp 副食品
fzsq 副手
fzss 付诸实施
fzsz 副市长
fzt 锋
fzte 匪徒
fztj 副厅级
fztl 纷至沓来
fztv 钒
fzty 锋
fztz 负责同志
fzx/ 锋线
fzxd 付诸行动
fzxr 犯罪嫌疑人
fzxs 放在心上
fzxz 副县长
fzxz 副校长
fzy 钫
fzy, 钫
fzyj 付之一炬
fzyl 放在眼里
fzyr 反之亦然
fzys 副业
fzyx 付之一笑
fzyz 副院长
fzzc 方针政策
fzzi 副总
fzzj 副职
fzzl 发展战略
fzzr 副主任
fzzt 副总统
fzzx 副主席
fzzx 发展中心
fzzy 副作用
