b 不
blkj 不落窠臼
blkq 别看
blll 筚路蓝缕
bllr 白领丽人
blly 别离
bllz 不了了之
blm 鄙
blm; 吧
blmm 本来面目
blmt 别名
blnu 别扭
blpc 濒临破产
blpo 别怕
blqq 霸气
blqs 博览群书
blqx 霸权
blqy 鄙弃
blr 叭
blrf 别人
blrj 别人家
blrp 别让
blrq 哺乳期
blrr 哺乳
blry 表里如一
bls 别
blsc 跋涉
blse 布鲁塞尔
blsg 别墅
blsp 鄙视
blsp 别说
blss 不露声色
blst 巴勒斯坦
blsx 办理手续
blsy 壁垒森严
blt 雹
blt. 吧台
bltk 别太
bltl 蹦跳
bltn 雹
bltq 趵突泉
bltu 别提
bltv 趵
blty 百里挑一
blwh 霸王
blwj 步履维艰
blwu 别问
blwx 包罗万象
blwy 别忘
blxn 半老徐娘
blxx 别想
bly 踣
bly; 鄙夷
blyi 踣
blyk 别有
blys 霸业
blyt 别用
blyw 别以为
blyx 别样
blyy 哺育
blz; 别致
blza 霸占
blzj 别再
blzk 波澜壮阔
blzo 别字
blzv 别走
blzy 霸主
blzz 别针
bm 巴
bm, 陂
bm,g 陂
bm; 陛
bm; 巴
bm;t 陛
bmbb 不明不白
bmbd 巴不得
bmbl 巴比伦
bmbm 巴巴
bmcj 报名参加
bmcx 避免出现
bmdz 本末倒置
bme 阪
bme. 阪
bmeg 巴尔干
bmeh 不谋而合
bmfw 便民服务
bmfz 部门负责
bmgd 巴格达
bmgz 保密工作
bmj/ 巴结
bmjf 巴金
bmjl 部门经理
bmlg 巴拉圭
bmlj 巴陵郡
bmll 八面玲珑
bmlq 巴黎
bmlx 巴林
bmnf 班门弄斧
bmnm 巴拿马
bmse 巴塞尔
bmsg 闭门思过
bmsj 巴士
bmsl 不谋私利
bmt 孢
bmtd 表明态度
bmtn 孢
bmwf 八面威风
bmwy 巴望
bmwz 白马王子
bmxj 巴西
bmxj 陛下
bmxx 表面现象
bmy. 巴以
bmys 闭目养神
bmys 百密一疏
bmzd 不毛之地
bmzf 巴掌
bmzm 孢子
bmzx 不明真相
bmzy 不眠之夜
bmzz 拔苗助长
bn 避
bn, 嬖
bn,z 嬖
bnbd 臂膀
bnby 百年不遇
bncx 壁橱
bnd 臂
bndj 百年大计
bndk 剥夺
bnf 鐾
bnfg 避风港
bnfh 鐾
bnft 避风
bngj 避过
bnh 璧
bnha 壁虎
bnha 璧
bnhp 避讳
bnhz 壁画
bni 屏
bnih 屏
bnk 弼
bnkc 不难看出
bnkg 弼
bnkh 避开
bnkj 剥壳
bnl, 臂力
bnl. 壁垒
bnlb 剥落
bnli 壁炉
bnlq 避乱
bnly 剥离
bnlz 避雷针
bnmt 避免
bnn. 避难
bnns 避难所
bnp, 剥皮
bnpv 避
bnq 擘
bnqj 擘
bnqv 剥去
bnrp 避让
bnrr 不能容忍
bns 剥
bnsa 壁上
bnsf 搬弄是非
bnsr 百年树人
bnss 避暑
bnsy 饱暖思淫欲
bnv 壁
bnx 檗
bnx, 避嫌
bnxf 剥削
bnxw 屏息
bnxx 不难想象
bnxz 剥削者
bny 辟
bny, 避孕
bnyi 辟
bnyj 避雨
bnyt 避孕套
bnyt 襞
bnyy 避孕药
bnz/ 壁纸
bnzb 不能自拔
bnzl 避震
bnzq 避震器
bnzy 不能自已
bnzy 臂章
bo 宝
bobg 宝贝
bobo 宝宝
bod, 宝刀
bodg 宝典
bodn 宝殿
bodt 宝岛
bodv 宝地
bogg 宝贵
bogt 宾馆
bogz 宝钢
boha 宝
boj 悖
boj. 宝鸡
bojf 宝剑
bojp 悖
bok 怖
bokg 怖
boko 宾客
boky 宝库
bolp 悖论
bom/ 宝马
bopd 宾朋
boq 愎
boqs 愎
bor 窆
bor. 窆
bosg 宝山
bosk 宝石
botv 宝塔
bow 宾
bowj 宾
bowq 宝物
boy 忭
boyf 忭
boyh 宝玉
boyp 宾语
bozb 宝藏
bozh 宝珠
bozy 宝座
bozy 宾主
bp 被
bp,g 被
bpa 褙
bpak 褙
bpb, 补办
bpbg 必败
bpbk 遍布
bpbt 必备
bpbu 被捕
bpby 不偏不倚
bpbz 被逼
bpcf 补偿
bpci 补差
bpcj 补偿金
bpcw 被称为
bpcy 补充
bpcz 被称作
bpde 必得
bpdh 被动
bpdi 被单
bpdj 补丁
bpdo 必定
bpdq 必答
bpdu 扁担
bpdv 遍地
bpdy 被盗
bpdz 扁豆
bpeo 扁额
bpf 补
bpf, 补发
bpff 被俘
bpfg 被罚
bpfl 褓
bpfx 被发现
bpg 扁
bpgj 扁
bpgq 被告
bpgr 被告人
bpgx 被告席
bph 裱
bpha 裱
bpho 被害
bphr 被害人
bphw 被毁
bphz 被害者
bpi 必
bpiv 必
bpj/ 补给
bpj/ 必经
bpjj 补救
bpjo 必究
bpjt 遍及
bpjv 被劫
bpjy 必将
bpkj 补考
bpkp 补课
bpku 被控
bpku 被扣
bplf 补领
bplj 杯盘狼藉
bpmk 补码
bpn. 必能
bpp 遍
bpp/ 被骗
bppi 被判
bppj 补票
bppk 褊
bppl 补品
bppl 扁平
bppv 遍
bppw 被迫
bpqq 补缺
bpqq 补气
bprf 被人
bprh 必然会
bprp 被褥
bprr 补入
bprs 必然是
bprt 必然
bprw 被认为
bprx 必然性
bpsa 补上
bpsd 必胜
bpsi 遍数
bpsk 必死
bpsq 补税
bpsr 被杀
bpss 必是
bpsw 被视为
bpt, 被她
bptf 被偷
bptg 补贴
bptk 被套
bptt 扁桃体
bpw 裨
bpwn 裨
bpwo 被窝
bpx. 补习
bpxb 必须把
bpxc 必须从
bpxe 必须
bpxf 必修
bpxj 必须将
bpxk 必修课
bpxl 必需
bpxn 遍寻
bpxp 必需品
bpxq 补选
bpxs 必须是
bpxw 被选为
bpxw 补血
bpxx 必须向
bpxy 必须要
bpxz 必须在
bpy 谤
bpyb 补药
bpyg 遍野
bpyg 补遗
bpyi 裨益
bpyi 补益
bpyi 谤
bpyj 必要
bpyk 必有
bpyp 被压迫
bpys 必要时
bpyw 被誉为
bpyx 必要性
bpza 被占
bpzf 补助费
bpzg 补助
bpzi 被炸
bpzj 补正
bpzl 补足
bpzm 被子
bpzq 补种
bpzu 被抓
bq 笔
bq, 笾
bq,p 笾
bq; 秕
bq;t 筚
bq;t 秕
bqbl 拜别
bqbn 不屈不挠
bqbq 拜拜
bqbz 拜把子
bqc 簿
bqcj 簿
bqcm 秉承
bqct 笔触
bqcw 箔
bqdf 拜倒
bqdm 笨蛋
bqdp 拜读
bqdq 笔答
bqdy 笔端
bqey 不期而遇
bqfc 笔法
bqff 拜佛
bqfp 拜访
bqfz 笔锋
bqg 箅
bqgj 箅
bqgr 秉公
bqgx 笔杆
bqgz 笔杆子
bqh 拜
bqhf 拜会
bqhh 拜
bqhz 笔画
bqj 笨
bqja 簸
bqjb 笔记本
bqjd 笔尖
bqjg 拜见
bqjp 笔记
bqjq 簸箕
bqjr 笨
bqjy 笔迹
bql, 笔力
bqln 笔录
bqlt 秘鲁
bqlz 鼻青脸肿
bqm 笆
bqm; 笆
bqmg 笔墨
bqmt 笔名
bqmz 兵强马壮
bqn 秉
bqnq 拜年
bqnz 秉
bqp 秘
bqpi 秘
bqq; 笔
bqr 掰
bqr, 掰
bqrr 不期然而然
bqsd 拜师
bqsh 拜寿
bqsj 不切实际
bqsj 不求甚解
bqsp 笔试
bqsw 笔顺
bqsy 版权所有
bqtf 拜堂
bqtk 笔套
bqto 笔头
bqtp 笔谈
bqtq 笔筒
bqtu 拜托
bqtu 笔挺
bqw 稗
bqw, 篦
bqwn 稗
bqwp 笔误
bqwy 拜望
bqxb 笔芯
bqxh 笔形
bqxj 笔下
bqxo 秉性
bqxp 拜谢
bqyj 冰清玉洁
bqyk 笔友
bqyp 笔译
bqzd 八旗子弟
bqzi 秉烛
bqzj 笔者
bqzm 簿子
bqzq 笨重
bqzu 笨拙
bqzy 霸权主义
br 八
brbc 八荣八耻
brbk 颁布
brbr 爸爸
brbs 八宝山
brby 不仁不义
brbz 八宝粥
brck 八成
brdh 不然的话
brdl 八达岭
brdn 勃然大怒
brdw 哺乳动物
brf, 颁发
brfr 八分
brfs 不容分说
brfy 八方
brg/ 颁给
brgd 八股
brgf 八个
brgh 病入膏肓
brgl 必然规律
brgv 八卦
brgz 八哥
brhj 薄弱环节
brhs 不容忽视
brjg 必然结果
brjn 八届
brjt 八角
brjt 八九
brjy 颁奖
brk 颁
brkg 颁
brlg 不容乐观
brlj 八路军
brll 八路
brm 爸
brm, 爸妈
brm; 爸
brnq 八年
brqn 八强
brqs 必然趋势
brqy 八旗
brrs 八日
brsj 八十
brsm 不辱使命
brsu 颁授
brt 豹
brth 八天
brts 逼人太甚
brtt 八条
brtv 豹
brv 坌
brw; 八万
brwf 八位
brwj 八五
brxe 颁行
brxf 八仙
brxj 兵戎相见
brxs 八小时
brxz 八仙桌
bryd 八月
bryz 八一
brzg 步入正轨
brzm 豹子
brzo 八字
brzu 八折
brzy 不容置疑
bs 暴
bsbh 半死不活
bsbj 百思不得其解
bsbj 笨手笨脚
bsbj 百思不解
bsbs 半身不遂
bsbx 不声不响
bsbz 比上不足
bsdd 板上钉钉
bsdx 不是东西
bsft 暴风
bsgf 曝光
bsgw 倍受鼓舞
bsgx 表示感谢
bshy 不受欢迎
bsj 晡
bsja 暴
bsjc 本世纪初
bsjg 办事机构
bsjn 晡
bsjq 不思进取
bsjx 避实就虚
bskl 百事可乐
bsl, 暴力
bsll 暴露
bsln 巴塞罗那
bslq 暴利
bsls 逼上梁山
bsmj 不胜枚举
bsmn 暴民
bsmy 表示满意
bsnd 八十年代
bsqf 不胜其烦
bsqj 白手起家
bsqx 冰释前嫌
bss 曝
bssd 避暑胜地
bssj 不失时机
bssj 曝
bsss 跋山涉水
bssw 不识时务
bssz 避暑山庄
bstj 不识抬举
bsty 表示同意
bswt 不少问题
bsww 表示慰问
bsxw 博士学位
bsxx 办事效率
bsyg 不是一个
bsyj 暴雨
bsym 榜上有名
bsyz 背水一战
bszh 表示祝贺
bszk 不速之客
bszr 饱食终日
bszx 不时之需
bszy 表率作用
bt 匕
bt; 狴
bt;t 狴
btao 备案
btb, 包办
btbj 半推半就
btbn 笨头笨脑
btby 包庇
btby 不痛不痒
btca 饱餐
btcb 包藏
btcc 不同层次
btcd 不同程度
btcf 饱尝
btcu 包抄
btcv 包场
btcx 备查
btcy 包产
btdq 不同地区
btef 半途而废
bten 包二奶
btff 备份
btfp 包袱
btft 饱饭
btfx 不同凡响
btg 备
btgf 狈
btgh 饼干
btgj 包工
btgj 备
btgk 备感
btgl 饱嗝
btgq 包管
btgr 包公
btgt 包工头
btgy 包裹
btgz 包干制
bth, 备好
bthb 刨花
bthc 包涵
bthd 饱和度
bthf 包含
bthf 饱含
bthq 饱和
bthu 包换
bthz 包含着
bti 饼
btih 饼
btir 飚
btj 饽
btj/ 饱经
btjf 备件
btjm 鳔
btjp 饽
btjx 包机
btjz 本台记者
btk 鲅
btk. 鲅
btkj 备考
btkp 备课
btku 包括
btli 备料
btls 遍体鳞伤
btlu 包揽
btlx 不同类型
btmc 饱满
btmr 悲天悯人
btn 包
btnb 包
btp 惫
btp, 包皮
btpj 包票
btpk 鳊
btpo 惫
btqk 不同情况
btqy 备齐
btro 包容
bts 刨
btsc 抱头鼠窜
btsi 匕首
btsr 备受
btt 饱
bttk 抱头痛哭
bttn 鲍
bttn 飑
bttn 饱
btto 包头
bttp 鸨
btts 包头市
bttw 暴殄天物
btwg 包围
btwl 备忘录
btwq 包围圈
btwy 备忘
btxc 不同寻常
btxd 冰天雪地
btxf 包修
btxk 包厢
btxl 白头偕老
btxo 饱学
btxq 备选
btxz 包销
btyb 不同一般
btyd 包月
btyj 悲痛欲绝
btyk 备有
btyt 备用
btz; 备至
btza 备战
btzc 备注
btzd 包装袋
btzf 包装费
btzh 包装盒
btzi 包着
btzm 包子
btzq 包租
btzu 包扎
btzx 包装箱
btzy 包装
bu 把
bu, 拨
bu,. 拨
buao 报案
bubh 报表
bubk 摆布
bubu 播报
bubx 把柄
buby 抱病
bucf 报仇
bucj 报酬
buck 扮成
bucm 播出
bucm 摆出
bucm 拔出
bucm 搬出
bucq 报称
bucu 把持
bud, 拔刀
bud; 报到
budc 摆渡
budh 搬动
budh 摆动
budh 拨动
budi 报道
budo 搏斗
budo 抱定
budq 报答
buds 报道说
budu 拔掉
bue 搬
bue. 扳
bue. 搬
bueg 报恩
buff 拨付
bufj 播放机
bufq 报复
buft 抱负
bufx 报复性
bufy 播放
bufy 报废
bufy 摆放
bug 摆
bug/ 拨给
bugg 报国
bugh 报告会
bugi 把关
bugq 报告
bugr 报告人
bugs 报告书
bugs 摆
bugt 报告团
bugy 拔高
bugz 报告中
buh, 摆好
buhb 捕获
buhc 拔河
buhf 闭合
buhf 闭会
buhg 扳回
buhh 闭环
buhl 拨号
buho 抱憾
bui 拌
buih 拌
buj 捕
buj/ 报经
bujb 报警
bujc 闭
bujd 拔尖
bujf 报价
bujg 报界
bujh 搏击
buji 闭卷
bujn 搏
bujn 捕
bujo 搬家
bujs 抱紧
buju 报捷
bujx 扳机
bujz 摆架子
buk 拔
buk. 拔
bukh 报刊
bukj 报考
bukj 拨款
bukl 闭口
buku 摆阔
bul 捌
bul, 捌
bulh 扮靓
bull 闭路
bult 捕猎
bulu 捕捞
bum 报
bum. 报
bum; 把
bumb 闭幕
bumc 摆满
bumd 把脉
bumf 报名费
bumg 闭门羹
bumg 闭目
bumj 摆卖
bums 闭幕式
bumt 报名
bumu 闭门
bun 摒
bunf 把你
bunh 搬弄
bunh 摆弄
bunn 把那
bunr 摒
buo 摈
buo, 摈
bupl 摆平
bupp 摆谱
bupu 报批
buqi 抱歉
buqp 报请
buqq 搬迁
buqv 抱起
buqy 摒弃
buqz 把钱
bur 扒
bur, 扮
burq 播
bus/ 拔丝
busa 报上
busf 捕食
busi 报送
busm 报收
buso 闭塞
buso 把守
buso 报审
busp 报社
busp 摆设
busq 扳手
busq 把手
busr 捕杀
busr 搏杀
buss 报时
busy 把所有
busz 把式
but 抱
but, 把她
but. 拨通
butd 摆脱
butf 报停
butn 抱
buto 抱头
butu 摆摊
buty 报童
buw 捭
buwh 把玩
buwn 捭
buwq 把我
buwt 报务
buwu 把握
buwy 报务员
bux. 把戏
buxf 报信
buxj 报喜
buxs 报晓
buxx 扮相
buxy 报效
buxz 报销
buy. 报以
buy/ 报验
buy; 拔牙
buyc 扮演
buyg 闭眼
buyh 搬运
buyi 抱养
buyk 抱有
buyo 报忧
buyq 搬移
buys 报业
buys 播映
buyt 抱怨
buyt 捕鱼
buyy 报应
buyy 播音
buyy 播音员
buz/ 报纸
buzd 捕捉到
buzf 抱住
buzg 报账
buzi 抱着
buzj 摆正
buzk 摆在
buzl 闭嘴
buzq 播种
buzs 报纸上
buzu 捕捉
buzv 搬走
buzy 报章
bv 坝
bve 坂
bve. 坂
bvgf 坝
bvto 埠头
bvw 埠
bvwn 埠
bvzm 坝子
bw 白
bwb, 白边
bwbg 兵败
bwbh 版本号
bwbj 版本
bwbk 白布
bwbl 卑鄙
bwbt 兵备
bwbw 不闻不问
bwbw 白白
bwbx 白板
bwby 兵变
bwcb 白菜
bwcd 白炽灯
bwci 白炽
bwcj 白醋
bwcl 白吃
bwcv 白城
bwcy 白痴
bwdf 白癜风
bwdi 白道
bwdj 白带
bwdl 不无道理
bwdu 白搭
bwe 版
bwe. 版
bwej 白垩纪
bwf, 白发
bwfc 兵法
bwfd 并网发电
bwfi 白粉
bwfn 白费
bwft 白饭
bwfw 百万富翁
bwg 鼻
bwgc 兵工厂
bwgf 白光
bwgg 白骨
bwgj 鼻
bwgo 白宫
bwgx 帛
bwgz 保卫工作
bwha 白虎
bwhb 白花
bwhc 白活
bwhh 白花花
bwhp 白鹤
bwhp 白话
bwhw 白话文
bwhx 白桦
bwhz 版画
bwj 卑
bwjc 白酒
bwjf 白金
bwjg 卑贱
bwjh 把握机会
bwji 白卷
bwjj 百无禁忌
bwjo 兵家
bwjx 不畏艰险
bwjy 白净
bwk 魃
bwk. 魃
bwkm 鼻孔
bwks 白开水
bwkv 版块
bwl, 兵力
bwlb 白萝卜
bwlc 鼻梁
bwld 卑劣
bwld 白兰地
bwlf 白领
bwlk 白磷
bwll 百无聊赖
bwll 白鹭
bwll 白露
bwls 兵临
bwm 币
bwm/ 兵马
bwm/ 白马
bwmc 白沫
bwmi 白米
bwmk 版面
bwmm 白茫茫
bwmo 白忙
bwmq 鼻毛
bwmt 白猫
bwmu 白描
bwmy 兵马俑
bwn, 白嫩
bwnz 白内障
bwnz 白
bwpp 白袍
bwps 白皮书
bwqd 鼻腔
bwqe 白求恩
bwqf 版权法
bwqj 博闻强记
bwql 兵器
bwqx 版权
bwqy 白旗
bwr 兵
bwrf 白人
bwrh 白热化
bwrm 白日梦
bwrs 白日
bwrz 不为人知
bws/ 兵书
bwsb 白薯
bwsd 不为所动
bwsg 白水
bwsi 白送
bwsj 兵士
bwso 鼻塞
bwsq 版税
bwsq 别无所求
bwss 白森森
bwst 白色
bwsz 版式
bwt 鹎
bwtc 鼻涕
bwte 白天鹅
bwtf 别无他法
bwtg 版图
bwtg 兵团
bwth 白天
bwti 白糖
bwto 白头
bwtp 鹎
bwtq 别无他求
bwtt 白兔
bwtt 白条
bww 魄
bwwe 卑微
bwwl 白雾
bwwn 魄
bwx. 白熊
bwxb 白血病
bwxb 白细胞
bwxj 卑下
bwxl 白雪
bwxs 白晰
bwxw 鼻血
bwxx 白皙
bwxz 别无选择
bwy. 鼻翼
bwyb 兵营
bwyc 兵源
bwye 兵役
bwyf 兵役法
bwyg 白眼
bwyg 白蚁
bwyh 白云
bwyi 鼻炎
bwyi 白烟
bwyl 兵员
bwys 白云山
bwyx 白杨
bwyy 白衣
bwyz 白银
bwz/ 白纸
bwzb 白芷
bwzf 白做
bwzj 白术
bwzm 鼻子
bwzn 白昼
bwzo 白字
bwzp 鼻祖
bwzy 版主
bwzy 不务正业
bwzy 白族
bx 标
bxaz 必须按照
bxbb 并行不悖
bxbc 必须保持
bxbf 不修边幅
bxbj 标本
bxbu 板报
bxbw 标版
bxbw 标兵
bxbx 标榜
bxby 半信半疑
bxcm 标出
bxcn 标尺
bxcq 标称
bxcs 表现出色
bxcx 板材
bxcz 标称值
bxd. 板凳
bxda 标点
bxdc 博学多才
bxdh 彪形大汉
bxdj 不惜代价
bxdu 棒打
bxdw 标的
bxe 板
bxe. 板
bxez 不宣而战
bxfr 板斧
bxfy 宾夕法尼亚
bxgh 八仙过海
bxgs 保险公司
bxgx 标杆
bxh 棒
bxhd 标
bxhk 梆
bxhk 棒
bxhl 标号
bxj 柄
bxj, 柄
bxj/ 板结
bxjc 必须坚持
bxjf 标价
bxjh 抱薪救火
bxjj 悲喜交集
bxjp 标记
bxjq 被选举权
bxk 杯
bxk, 豳
bxkf 杯
bxkl 必须考虑
bxkv 板块
bxlj 板栗
bxls 标量
bxlt 柏拉图
bxlx 柏林
bxly 标新立异
bxms 标明
bxny 本性难移
bxo 槟
bxo, 槟
bxqh 棒球
bxqq 标签
bxqx 标枪
bxqy 背信弃义
bxrs 不省人事
bxrz 必须认真
bxs/ 板书
bxsa 标上
bxsh 标示
bxsi 榜首
bxsq 不徇私情
bxsx 不相上下
bxsx 柏树
bxsy 不相适应
bxsz 板式
bxt 杓
bxtj 办学条件
bxtl 标题栏
bxts 标题
bxtv 杓
bxw 柏
bxwj 冰消瓦解
bxwn 柏
bxws 不学无术
bxwy 榜文
bxx 彬
bxxe 彬
bxxs 表现形式
bxy 榜
bxyc 柏油
bxyg 不屑一顾
bxyg 榜眼
bxyi 榜
bxyk 标有
bxyl 柏油路
bxyp 标语
bxyw 保险业务
bxyx 榜样
bxyy 比下有余
bxz; 标致
bxzb 标准版
bxzc 标注
bxzg 报效祖国
bxzh 标准化
bxzj 标志
bxzl 败下阵来
bxzm 杯子
bxzs 饱学之士
bxzx 标志性
bxzy 标准
bxzz 不祥之兆
by 部
by. 变
by/ 辫
by/l 辫
by; 庇
by;. 瓿
by;t 庇
byao 病案
byas 变暗
byb/ 辩驳
bybg 褒贬
bybl 辨别
bybl 冰雹
bybr 不依不饶
bybs 百依百顺
bybu 禀报
bybw 辩白
bybx 冰棒
byby 病变
bycg 病虫
bych 病虫害
byci 变粗
bycj 辩才
byck 变成
bycm 变出
bycn 冰层
bycp 辩词
bycs 必要措施
byct 巴以冲突
bycv 冰城
bycw 冰川
bycy 病床
byda 冰点
byde 变得
bydf 病倒
bydg 变电
bydh 病毒
bydh 变动
bydi 冰灯
bydk 变大
bydm 部队
bydq 边远地区
byds 变电所
bydt 冰岛
bydt 别有洞天
bydy 冰冻
bydz 变电站
bye 瓣
bye. 瘢
bye. 瓣
byef 不翼而飞
byet 不约而同
byey 不言而喻
byez 不一而足
byf 卞
byfc 变法
byff 部份
byfg 禀赋
byfl 褒
byfp 病房
byfr 部分
byfs 不由分说
byfv 冰封
byfw 别有风味
byg 冰
bygi 冰糕
bygj 病故
bygj 痹
bygr 冰
bygv 变卦
bygx 冰棍
bygx 冰柜
bygx 病根
byh 斌
byh, 变好
byh/ 变幻
byha 癍
byha 斌
byhc 冰河
byhd 禀
byhe 不一会儿
byhf 变化
byhg 变黑
byhj 冰壶
byhk 变厚
byhl 病号
byho 病害
byhr 辩护人
byhu 变换
byhu 辩护
byhu 庇护
byhv 变坏
byhy 疤痕
byhz 病患者
byi 辨
byiy 辨
byj 病
byj, 病
byj/ 部级
byjb 病菌
byjc 便衣警察
byjf 部件
byjg 部机关
byjl 冰激凌
byjm 瘭
byjo 冰窖
byjr 拨云见日
byjt 辩解
byjy 褒奖
bykl 不予考虑
byko 变宽
bykv 冰块
byky 病况
bykz 不亦快哉
bylb 部落
byld 变脸
bylf 病例
bylg 部里
bylh 不亦乐乎
bylh 病理
bylk 病历
bylp 辩论
bylq 变乱
byls 变量
bylw 毕业论文
byly 冰冷
byly 冰凉
bym 疤
bym 部
bym; 疤
bymj 变卖
byms 辨明
bymu 部门
bymy 病魔
byns 变暖
byp 辩
bypa 变频
bypy 辩
byq 亳
byqb 亳
byqc 辨清
byqf 不厌其烦
byqh 冰球
byql 冰淇淋
byqo 病情
byqq 变迁
byqx 不厌其详
byqz 病区
byrf 病人
byro 病容
byrp 辨认
bysa 冰上
bysb 部属
bysd 变少
bysg 部署
bysg 冰山
bysg 半夜三更
bysh 瘪三
bysi 部首
bysj 变速
bysk 病死
bysl 冰霜
bysl 变色龙
bysp 辨识
bysq 变速器
bysr 冰释
byst 变色
bysu 病逝
bysw 变身
byt. 变通
bytd 别有天地
bytf 病体
byti 冰糖
bytj 必要条件
bytk 变态
bytk 病态
byts 白衣天使
bytx 病榻
byty 病痛
byw 瘪
bywf 部位
bywi 变为
bywl 变味
bywn 庳
bywn 瘪
bywq 部委
bywr 不以为然
bywt 病危
bywy 不以为意
byxd 变小
byxf 病休
byxh 变形
byxh 闭月羞花
byxj 部下
byxl 冰雪
byxo 变性
byxo 禀性
byxp 变心
byxq 冰箱
byxx 变相
byyc 褒义词
byyf 病愈
byyf 庇佑
byyg 病因
byyi 褒义
byyj 病原菌
byyk 变压
byyk 病原
byyl 不遗余力
byym 病院
byyn 变异
byyq 变压器
byys 表演艺术
byyt 病原体
byyu 褒扬
byyx 别有用心
byyy 变音
byzc 不义之财
byzd 兵役制度
byze 变质
byzf 辩证法
byzg 病中
byzh 变奏
byzi 病灶
byzj 部长级
byzl 必由之路
byzm 辫子
byzm 不言自明
byzo 变窄
byzp 辩证
byzq 部长
byzq 病重
byzs 毕业证书
byzy 病症
byzz 不由自主
bz 逼
bzbd 百战不殆
bzbj 不知不觉
bzbk 不折不扣
bzbl 保质保量
bzbn 百折不挠
bzbs 百战百胜
bzbx 不忠不孝
bzca 钡餐
bzcl 包装材料
bzdd 不正当手段
bzde 逼得
bzdh 表彰大会
bze 钣
bze. 钣
bzeo 匾额
bzg 钡
bzgc 不足挂齿
bzgf 逼供
bzgf 钡
bzgx 辩证关系
bzgz 本职工作
bzhc 不知何处
bzhd 不知好歹
bzhh 奔走呼号
bzhs 不知何时
bzhx 不在话下
bzhz 白纸黑字
bzj 钵
bzje 逼近
bzjm 镖
bzjn 镖局
bzjq 避重就轻
bzjr 钵
bzjt 逼急
bzjz 保障机制
bzk 钹
bzk. 钹
bzkf 钚
bzkg 钸
bzky 锛
bzll 不自量力
bzlt 被占领土
bzmd 半殖民地
bzo 镔
bzo, 镔
bzp 匾
bzpi 铋
bzpk 匾
bzpv 逼
bzpw 逼迫
bzqx 不知去向
bzrf 逼人
bzrg 宾至如归
bzrq 包装容器
bzsc 不知所措
bzsd 不择手段
bzsh 不知死活
bzsp 逼视
bzss 不在少数
bzsw 摆在首位
bzsy 不知所云
bzsz 不知所终
bzth 不知天高地厚
bztx 保障体系
bzty 辩证统一
bzw 铂
bzwk 败者为寇
bzwn 铂
bzwp 不足为凭
bzwq 不足为奇
bzwu 逼问
bzwy 辩证唯物主义
bzxg 奔走相告
bzy 镑
bzyc 不止一次
bzyi 镑
bzyt 不值一提
bzyt 镳
bzzc 不足之处
bzzd 必争之地
bzzf 不正之风
bzzf 逼债
bzzi 逼着
bzzj 逼真
bzzj 伯仲之间
bzzl 保证质量
bzzw 被子植物
bzzz 不治之症
