c 成
cmgx 出格
cmgx 出
cmgy 沉默寡言
cmh 丑
cmhc 出汗
cmhc 出谋划策
cmhc 出海
cmhf 丑化
cmhl 充满活力
cmho 除害
cmhp 丑话
cmhr 出乎
cmhz 承
cmj, 出嫁
cmjb 草木皆兵
cmjc 陈酒
cmjd 聪明绝顶
cmjf 出价
cmjg 出具
cmjh 出击
cmjj 窗明几净
cmjn 承建
cmjn 丑剧
cmjo 出家
cmjs 瞠目结舌
cmjt 丑角
cmju 承接
cmjv 出境
cmjx 陈旧
cmjx 触目惊心
cmjy 陈迹
cmke 出口额
cmkg 出口国
cmkh 除开
cmkl 愁眉苦脸
cmkl 出口
cmkl 出口量
cmks 出口商
cml, 出力
cmli 出炉
cmlk 陈列
cmll 出来
cmll 出路
cmlm 丑陋
cmlm 除了
cmlp 陈列品
cmlq 出笼
cmls 陈列室
cmlu 承揽
cmm/ 出马
cmmb 承蒙
cmmc 出没
cmmj 出卖
cmmk 出面
cmmt 除名
cmmt 出名
cmmu 出门
cmn, 丑女
cmn/ 出纳
cmng 聪明能干
cmnp 承诺
cmnq 陈年
cmp, 陈皮
cmpl 出品
cmpw 出牌
cmq 陲
cmqa 陲
cmqc 吹毛求疵
cmqj 出勤
cmqk 出奇
cmqq 出气
cmqt 出气筒
cmqv 出去
cmqv 除去
cmqz 出钱
cmrf 出任
cmrj 出入境
cmrk 出入口
cmrp 承认
cmrr 出入
cmrz 出入证
cms/ 出书
cmsd 出师
cmsf 出售
cmsg 出山
cmsh 出示
cmsi 除数
cmsj 陈述
cmsj 出声
cmsj 出世
cmsj 出事
cmsl 承受力
cmsl 出生率
cmsm 慈眉善目
cmsp 出神
cmsp 陈设
cmsq 出生
cmsq 出手
cmsr 承受
cmst 出色
cmsw 出身
cmsy 出生于
cmt. 出台
cmtk 丑态
cmtn 出头鸟
cmto 出头
cmtr 出逃
cmts 出题
cmtv 出土
cmty 出庭
cmtz 出铁
cmwl 魑魅魍魉
cmwt 除外
cmwu 丑闻
cmx/ 出线
cmxc 出谋献策
cmxe 出行
cmxh 出现
cmxk 承袭
cmxq 出线权
cmxr 出席人
cmxt 除夕
cmxw 出血
cmxw 出息
cmxx 丞相
cmxy 出席
cmxy 丑小鸭
cmxz 承销
cmyc 出演
cmyc 出游
cmyg 出一个
cmyh 出于
cmyk 蚩尤
cmym 出院
cmyr 承运人
cmyt 出狱
cmyx 出洋相
cmyy 柴米油盐
cmz 丞
cmza 出战
cmzc 出租车
cmze 出征
cmzf 出众
cmzj 承载
cmzp 出诊
cmzq 出租
cmzq 承重
cmzr 承租人
cmzv 出走
cmzw 出自
cmzy 出资
cn 层
cncg 层次感
cncj 尺寸
cncn 层层
cncn 迟迟
cncs 层次上
cncy 层次
cnd. 层叠
cnd; 迟到
cndy 尺度
cndz 迟钝
cnh. 层
cnh/ 迟缓
cnhk 春暖花开
cnht 迟浩田
cni 羼
cnih 羼
cnj/ 层级
cnlx 层楼
cnly 长年累月
cnm 弛
cnm; 孱
cnmb 弛
cnmk 尺码
cnmk 层面
cnp 迟
cnpv 迟
cnr 尺
cnsi 层数
cnwp 迟误
cnxx 层析
cnyh 从那以后
cnyk 层压
cnyt 迟疑
cnyw 迟延
cnzc 迟滞
cnzm 尺子
cnzs 迟早
co 穿
co, 怊
co,l 怊
co. 惨
co.k 惨
co; 惭
co;a 惭
co;d 穿
coao 惨案
coar 宠爱
cob, 窗边
cobg 惨败
cobw 惨白
cocm 窜出
coco 惆怅
cocu 穿插
codc 惨淡
code 穿得
codj 穿戴
coet 宠儿
cof 怆
cof/ 怆
cofw 惝
cog 窜
cogf 恻
cogj 穿过
cogj 忡
cogj 窜
coho 忏悔
cohp 窗户
coj 忖
cojh 窜进
cojl 惨叫
cojn 惨剧
cojo 憧憬
cojo 察觉
cojr 怵
cojv 忖
cok 宠
cok, 宠
cokh 宸
cokl 窗口
cokm 穿孔
coko 惭愧
cokq 察看
colk 惨烈
colo 窗帘
colx 窗棂
cop 忱
copt 忱
coq 怅
coq. 怅
coqi 窗前
coqv 穿起
coqx 忏
cort 怅然
cosa 穿上
cosk 惨死
cosx 穿梭
cot 察
cot. 窗台
cotf 窗体
coto 察
cotq 穿透
cotv 惆
coty 惨痛
cow 窗
cow, 窗
cowo 怅惘
cowq 宠物
cowt 窗外
cox 憷
coxe 穿行
coxf 宠信
coxj 窗下
coxx 憷
coy 悴
coyf 悴
coyi 憧
coyv 穿越
coyy 穿衣
cozi 穿着
cozj 惨遭
cozm 窗子
cozq 惨重
cozy 惨状
cp 词
cp, 初
cp. 衩
cp.v 衩
cpba 初步
cpbr 初八
cpcc 初潮
cpcf 初创
cpch 初春
cpcy 初次
cpd; 初到
cpdg 词典
cpdl 长篇大论
cpdq 初等
cpdt 初冬
cpdy 衬底
cpe 褫
cpea 褫
cpeh 初二
cpf 谶
cpff 谶
cpfl 产品分类
cpfp 初访
cpft 初犯
cpgq 初稿
cpgx 词根
cphc 词汇
cpi 禅
cpig 禅
cpj 衬
cpj/ 初级
cpja 谌
cpjb 初级班
cpjg 产品价格
cpjj 产品简介
cpjk 褚
cpjs 产品介绍
cpjt 词句
cpjt 初九
cpjv 衬
cpk 诚
cpk/ 诚
cpkf 产品开发
cpkh 初开
cpkn 诚恳
cpky 词库
cpl 裎
cplh 裎
cpli 词类
cpll 初露
cply 初恋
cpm, 谄媚
cpn 祠
cpnl 词
cpnl 祠
cpnq 初年
cpo 诧
cpo, 诧
cppa 词频
cppc 产品评测
cppj 诚聘
cppp 初评
cpq; 初七
cpqg 词曲
cpqj 初期
cpqq 初秋
cpr, 诚如
cprf 初任
cprt 诚然
cps 昶
cps, 初始
cpsg 初四
cpsh 初三
cpsj 初十
cpsl 产品数量
cpso 诚实
cpso 初审
cpso 初赛
cpsp 衬衫
cpsp 初试
cpsq 初生
cpss 初时
cpt 谗
cptf 祠堂
cptg 谗
cpts 产品特色
cptu 衬托
cptw 谄
cpwj 初五
cpxf 诚信
cpxh 产品型号
cpxk 初夏
cpxo 初学
cpxp 诚心
cpxq 初选
cpxs 产品销售
cpxy 词序
cpxz 初学者
cpyi 词义
cpyn 诧异
cpyp 词语
cpyw 诚邀
cpyy 诚意
cpyy 衬衣
cpyz 初一
cpz/ 词组
cpza 初战
cpzb 词藻
cpze 诚征
cpzg 初中
cpzl 产品质量
cpzs 初中生
cpzu 诚挚
cpzy 初衷
cq 长
cq. 篡
cq. 长
cq.l 笞
cqa 垂
cqaj 长安街
cqao 长安
cqax 垂
cqb, 筹办
cqbb 趁其不备
cqbc 长波
cqbf 此起彼伏
cqbh 惩前毖后
cqbl 称霸
cqbl 辞别
cqbq 残缺不全
cqbs 长白山
cqbt 筹备
cqbu 重播
cqbw 重版
cqby 出其不意
cqbz 筹备组
cqc; 乘车
cqca 长此
cqce 乘船
cqch 长春
cqcj 称臣
cqck 长存
cqcl 辞呈
cqcm 乘除
cqcq 长长
cqcq 重重
cqcs 采取措施
cqct 长处
cqcu 筹措
cqcv 长城
cqcz 长期存在
cqd. 重叠
cqdg 辞典
cqdh 策动
cqdi 称道
cqdk 长达
cqdl 重蹈
cqdm 长队
cqdq 长短
cqds 程度上
cqdy 程度
cqdy 长度
cqdz 垂钓
cqe 篪
cqea 篪
cqf 矬
cqf, 长发
cqfc 乘法
cqfe 重返
cqff 矬
cqfq 重复
cqft 长方体
cqft 重逢
cqfx 长方形
cqfy 长方
cqg 重
cqgc 长期共存
cqgc 重归
cqgj 长工
cqgj 种
cqgn 篡改
cqgo 辞官
cqgz 长歌
cqgz 重
cqh 筹
cqh, 重婚
cqh; 策划
cqh; 筹划
cqhc 辞海
cqhc 长河
cqhf 重合
cqhg 长虹
cqhk 筹
cqhl 称呼
cqhl 称号
cqhp 长话
cqhz 策划者
cqj 策
cqjb 乘警
cqjc 长江
cqjd 成群结队
cqjf 长剑
cqjf 长假
cqjf 筹集
cqjl 长颈鹿
cqjm 策
cqjn 重建
cqjn 筹建
cqjq 乘积
cqjt 长久
cqjx 乘机
cqkb 愁苦
cqkj 筹款
cqko 乘客
cqkp 长裤
cqku 程控
cql 程
cqlc 长流
cqlg 策略
cqlh 程
cqlk 长龙
cqll 重来
cqlq 秤
cqls 称量
cqlx 策略性
cqly 乘凉
cqly 长廊
cqm/ 策马
cqmf 长命
cqmg 长眠
cqmk 筹码
cqmk 重码
cqml 长鸣
cqmm 重命名
cqmo 稠密
cqmu 愁闷
cqnq 长年
cqp 愁
cqpl 长跑
cqpo 愁
cqpp 长袍
cqpq 长篇
cqq 掣
cqq; 毳
cqqh 承前启后
cqqi 长拳
cqqj 长期
cqqj 掣
cqqk 称奇
cqqp 重启
cqqs 重庆市
cqqv 辞去
cqqx 长期性
cqqy 重庆
cqro 愁容
cqry 差强人意
cqs 乘
cqs/ 辞书
cqsc 长沙
cqsd 乘胜
cqsf 长舌妇
cqsg 重申
cqsh 长寿
cqsi 乘数
cqsj 长时间
cqsj 唇枪舌剑
cqsj 重述
cqsk 垂死
cqsp 长衫
cqsq 长时期
cqsr 称颂
cqss 长沙市
cqsu 乘势
cqsw 成千上万
cqsz 程式
cqsz 乘
cqt 称
cqtd 称
cqtf 长途
cqtf 垂体
cqtk 秤砣
cqtl 长叹
cqtn 辞退
cqtp 长谈
cqtt 长条
cqtv 稠
cqw 氚
cqwc 重温
cqwf 篡位
cqwg 重围
cqwh 筹委会
cqwi 称为
cqwp 称谓
cqwt 垂危
cqwx 氚
cqwy 乘务员
cqx/ 长线
cqxa 乘虚
cqxb 程序包
cqxe 辞行
cqxf 重修
cqxh 重现
cqxj 垂下
cqxk 称雄
cqxl 长啸
cqxo 长兴
cqxp 称心
cqxp 称许
cqxy 重新
cqxy 程序
cqy 辞
cqy, 簇
cqyc 重演
cqyh 长远
cqyi 辞
cqyl 长期以来
cqym 重阳
cqyu 簇拥
cqyx 重檐
cqyy 长夜
cqz/ 重组
cqzc 长治
cqzd 掣肘
cqze 长征
cqzf 乘坐
cqzf 称作
cqzg 春秋战国
cqzh 重奏
cqzi 乘着
cqzj 垂直
cqzj 称职
cqzj 辞职
cqzl 长足
cqzq 称赞
cqzr 长驱直入
cqzs 出奇制胜
cqzu 重振
cqzw 称之为
cqzy 筹资
cr 彩
crb/ 采编
crbj 宠辱不惊
crbp 从容不迫
crbq 彩笔
crby 吃软不吃硬
crcb 采茶
crdg 彩电
crdi 彩灯
crdi 岔道
crdj 彩带
crdt 趁热打铁
crec 彩
crff 采伐
crfj 催人奋进
crfp 采访
crfs 采访时
crft 采风
crfz 采访者
crg 岔
crgf 采光
crgg 采购
crgr 汆
crgx 岔
crgy 采购员
crh/ 彩绘
crhb 采花
crhg 彩虹
crhz 彩画
crj 豺
crjc 豺
crjf 采集
crju 采掘
crjy 成人教育
crkk 采矿
crkl 岔口
crky 采矿业
crlg 常任理事国
crll 岔路
crln 采录
crlp 彩礼
crlt 豺狼
crlz 彩铃
crmi 采煤
crmn 彩民
crn/ 采纳
crnj 刹那间
crnn 刹那
crns 采暖
crpj 彩票
crpn 彩屏
crpu 彩排
crqj 采取
crqy 彩旗
crs 刹
crsc 采石场
crsk 采砂
crsm 采收
crsm 痴人说梦
crst 彩色
crt 鬯
crtd 出人头地
crtg 彩图
crww 超然物外
crx 采
crxf 彩信
crxl 彩霞
crxp 采写
crxs 彩显
cryb 采药
cryc 采油
cryh 彩云
cryk 彩页
cryl 出人意料
cryt 采用
cryx 采样
crzm 岔子
crzm 成人之美
crzs 彩照
crzu 采摘
crzw 乘人之危
crzy 彩妆
cs 晨
csbf 出手不凡
csbj 措手不及
csbl 长生不老
csbs 长盛不衰
csbu 晨报
cscb 苍松翠柏
csck 此时此刻
csdd 出事地点
csdx 从上到下
cseg 擦身而过
cseh 苍山洱海
csft 晨风
csfz 城市发展
csgf 晨光
csgh 城市规划
csjc 昌江
csjg 常设机构
csjl 崇山峻岭
cskh 晨
cskj 触手可及
cskq 赤手空拳
csl/ 晨练
cslh 城市绿化
cslj 错失良机
csll 晨露
cslt 赤身裸体
csml 车水马龙
csmx 沉思默想
csmy 春色满园
csnd 初生牛犊
csnh 初生牛犊不怕虎
csnl 承受能力
csny 出生年月
csor 纯属偶然
csqx 承上启下
csr 晁
csr; 晁
csrh 出神入化
csrl 从善如流
csrs 出生入死
css 昌
cssk 昌盛
cssx 诚实守信
cssy 慈善事业
cst 匙
cswc 出色完成
csxq 才疏学浅
csxs 晨曦
csyx 产生影响
csyy 畅所欲言
cszj 乘胜追击
cszx 城市中心
ct 处
ct; 舛
ct;x 舛
ctbc 丑态百出
ctbs 长途跋涉
ctbz 寸土必争
ctcc 猜测
ctcf 匆促
ctcm 猜出
ctct 处处
ctct 匆匆
ctcw 彻头彻尾
ctcz 猜错
ctd. 猜对
ctd; 触到
ctdg 触电
ctdh 触动
ctdj 从头到脚
ctdw 从头到尾
ctdy 猜度
cte 匆
ctej 从天而降
ctev 匆
ctf 雏
ctf 处
ctf, 触发
ctfg 处罚
ctfq 触发器
ctfr 处分
ctft 触犯
ctfv 册封
ctfy 处方
ctfy 雏
ctg 触
ctgj 触
ctgn 传统观念
ctgy 传统工艺
cth 猜
ctha 猜
ctj/ 处级
ctjk 触礁
ctjn 猜忌
ctjo 触觉
ctjr 传统节日
ctjt 猖獗
ctjt 触及
ctjt 触角
ctjv 处境
ctjy 处决
ctks 从头开始
ctkt 猖狂
ctlh 处理
ctlj 处理机
ctlm 出头露面
ctlp 处理品
ctlq 处理器
ctlw 藏头露尾
ctmd 传统美德
ctmg 触目
ctmo 匆忙
ctmp 猜谜
ctmu 触摸
ctn 刍
ctn, 处女
ctnd 处女地
ctnm 处女膜
ctnt 雏鸟
ctnz 刍
ctpk 触碰
ctq 饬
ctq, 饬
ctrt 猝然
cts 猖
ctsb 成套设备
ctse 处所
ctsj 处世
ctsk 处死
ctsk 猝死
ctso 处室
ctsq 垂头丧气
ctss 鲳
ctss 猖
ctsy 蹉跎岁月
ctt 册
cttg 馋
cttp 鸱
cttz 册
ctwh 传统文化
ctww 出土文物
ctwz 畅通无阻
ctx 馇
ctxh 雏形
ctxs 猹
ctxs 馇
ctxx 猜想
cty 猝
cty. 处以
ctyf 猝
ctyh 处于
ctyq 串通一气
ctyt 猜疑
ctzg 猜中
ctzg 处置
ctzk 处在
ctzl 馋嘴
ctzm 册子
ctzp 处之
ctzq 处长
ctzw 从头至尾
cu 持
cu. 掺
cu.k 掺
cu/ 闯
cu/z 闯
cua 扯
cuaa 扯
cub 搽
cub, 操办
cuba 捶背
cubf 搽
cubg 挫败
cubh 插班
cubu 抄报
cubw 撤兵
cucc 揣测
cuce 撑船
cucf 持仓
cucj 插翅
cuck 摧残
cucm 拆除
cucm 撤出
cucm 撤除
cucm 抽出
cuco 拆穿
cucp 措词
cucq 措辞
cucu 抽搐
cucu 操持
cucv 操场
cucx 抽查
cucx 插槽
cud 抄
cud, 持刀
cud; 扯到
cudb 闯荡
cudc 扯淡
cudh 抽动
cudi 抄
cudm 插队
cudu 拆掉
cudu 抽打
cudy 揣度
cue 拆
cuea 搋
cuej 拆
cuf 撑
cuff 挫
cufr 拆分
cufr 撑
cuft 抽风
cufu 搀扶
cufv 拆封
cug 抽
cuga 揣
cugd 持股
cugh 抻
cugi 闯关
cugj 闯过
cugj 抽
cugt 撑杆跳
cugx 摧
cuhb 插花
cuhc 擦汗
cuhf 撮合
cuhg 撤回
cuhp 闯祸
cuhq 掺和
cuhu 撤换
cuhw 摧毁
cuhw 拆毁
cui 搓
cuig 阐
cuig 掸
cuih 搓
cuj 措
cuj. 闯劲
cuja 措
cujf 掺假
cujf 插件
cujh 闯进
cujh 插进
cujn 拆建
cujp 撤军
cujq 抽筋
cujt 持久
cujt 拆解
cujx 抽检
cujy 抽奖
cujz 持久战
cukh 拆开
cukl 插口
cukm 插孔
cuko 抽空
cuku 操控
cul 操
cul/ 操练
culb 操劳
cull 操
culn 抄录
culy 擦亮
culy 撤离
cums 阐明
cumy 揣摩
cuo 擦
cuo, 撺
cuo, 擦
cup, 扯皮
cupe 操盘
cupl 持平
cups 操盘手
cuq 插
cuqa 捶
cuqa 攒
cuqc 抽泣
cuqd 插
cuqg 插曲
cuqh 持球
cuqj 抽取
cuqq 拆迁
cuqq 抽签
cuqv 拆去
cuqx 持枪
curr 插入
curr 闯入
cus 撮
cusa 插上
cusf 挫伤
cusg 抽水
cusi 抄送
cusj 阐述
cusj 拆散
cusj 撮
cuso 操守
cusp 撤诉
cusq 插手
cusr 阐释
cuss 阊
cusu 擦拭
cusy 措施
cut 搀
cut. 拆台
cutg 插图
cutg 搀
cutn 撤退
cutn 抽屉
cuto 插头
cuvj 持
cux/ 持续
cuxc 撤消
cuxc 拆洗
cuxe 操行
cuxj 拆下
cuxk 抄袭
cuxp 操心
cuxp 抄写
cuxq 拆卸
cuxt 抽象
cuxw 抽血
cuxx 持续性
cuxz 撤销
cuy 撤
cuy. 撤
cuy/ 搐
cuyd 撑腰
cuyi 抽烟
cuyk 持有
cuyl 抽噎
cuyq 插秧
cuyr 持有人
cuyu 拆阅
cuyx 抽样
cuyz 持有者
cuz/ 操纵
cuzf 操作
cuzg 操纵杆
cuzi 揣着
cuzj 撤职
cuzk 插在
cuzl 插足
cuzl 插嘴
cuzo 拆字
cuzp 持证
cuzt 掺杂
cuzu 挫折
cuzv 撤走
cuzv 抽走
cuzx 操作性
cuzy 插座
cuzz 操作者
cv 场
cv, 超
cv,c 场
cv,l 超
cvb/ 超编
cvbb 超薄
cvbd 赤膊
cvbf 城堡
cvbn 赤壁
cvbx 超标
cvbz 超标准
cvc; 超车
cvca 趁此
cvcc 城池
cvcf 超常
cvcm 超出
cvcp 赤诚
cvcq 超长
cvcv 场场
cvcy 场次
cvdb 超短波
cvdi 赤道
cvdk 超大
cvdn 超导
cvdt 超导体
cvdv 场地
cvdy 超度
cve 坼
cvej 坼
cveo 超额
cvf 趁
cvfe 趁
cvfg 赤峰
cvfh 超负荷
cvft 超凡
cvfy 城府
cvgi 城关
cvgj 超过
cvgp 超高频
cvgq 城管
cvgs 超高速
cvgt 场馆
cvgy 超高
cvhf 场合
cvhr 超乎
cvj/ 超级
cvjd 赤脚
cvjj 城建局
cvjn 城建
cvjp 场记
cvjs 场景
cvjx 趁机
cvjy 城郊
cvk 城
cvk/ 城
cvl 埕
cvla 超龄
cvlg 城里
cvlh 埕
cvlj 超链接
cvll 赤裸裸
cvlp 赤裸
cvlr 城里人
cvls 超量
cvlx 城楼
cvmk 场面
cvmt 超媒体
cvmu 城门
cvn 墀
cvng 场内
cvng 城内
cvnw 墀
cvpa 超频
cvpr 赤贫
cvqi 超前
cvqj 超期
cvqn 超群
cvqv 城墙
cvqz 城区
cvrf 超人
cvrt 超然
cvru 趁热
cvsa 场上
cvsb 超声波
cvse 场所
cvsg 赤水
cvsh 城市化
cvsj 超速
cvsm 超收
cvsp 超水平
cvsq 超生
cvss 超时
cvst 赤色
cvsu 趁势
cvsw 赤身
cvsy 城市
cvsy 超市
cvtd 超脱
cvtt 赤条条
cvw 赤
cvwb 超文本
cvwr 赤
cvwt 场外
cvwt 城外
cvx/ 城乡
cvxx 超小型
cvym 场院
cvys 超音速
cvyv 超越
cvyy 超音
cvzf 超值
cvzg 城中
cvzi 趁着
cvzj 超载
cvzj 超支
cvzm 赤子
cvzo 赤字
cvzq 超重
cvzs 趁早
cvzy 场站
cvzz 城镇
cw 川
cwbg 财务报告
cwcb 川菜
cwcb 称王称霸
cwch 唇亡齿寒
cwdy 从无到有
cwgd 错误观点
cwgl 财务管理
cwhy 常务会议
cwjc 川江
cwjd 财务监督
cwjh 传为佳话
cwjm 重温旧梦
cwk 臭
cwkj 财务会计
cwko 臭
cwls 常务理事
cwmw 魑魅
cwng 藏污纳垢
cwqx 错误倾向
cwrd 惨无人道
cwsj 查无实据
cwsx 错误思想
cwsz 财务收支
cwt 囱
cwtv 囱
cwwh 常务委员会
cwwy 常务委员
cwx 川
cwxb 川芎
cwx 爨
cwx 川
cwxx 爨
cwy 魑
cwyg 成为一个
cwyr 魑
cwys 财务预算
cwzd 财务制度
cwzk 财务状况
cx 村
cx. 橙
cx.e 橙
cx.v 杈
cx.v 柽
cx/ 椽
cx/k 椽
cxb, 查办
cxbz 此消彼长
cxcb 城乡差别
cxck 储蓄存款
cxcm 查出
cxco 橱窗
cxct 查处
cxcu 查抄
cxcx 楚楚
cxcy 诚心诚意
cxd. 查对
cxd; 查到
cxdd 称兄道弟
cxdd 从小到大
cxdt 长吁短叹
cxdy 粗心大意
cxdz 捶胸顿足
cxer 乘虚而入
cxf 枞
cxff 枞
cxfp 查房
cxfp 查访
cxfv 查封
cxfy 椎
cxfz 持续发展
cxg, 村姑
cxgb 村干部
cxgg 楚国
cxgn 抽象概念
cxgx 橱柜
cxgz 槽钢
cxh 椿
cxhb 查获
cxhd 促销活动
cxhj 橙黄
cxhk 楱
cxhk 椿
cxht 查号台
cxhx 查核
cxhy 出席会议
cxi 槎
cxih 槎
cxj 材
cxjc 材
cxjg 橱具
cxjj 城乡经济
cxjk 楮
cxjl 处心积虑
cxjm 城乡居民
cxjn 槽
cxjs 城乡建设
cxjv 村
cxjx 查禁
cxk 橱
cxkl 村口
cxkq 查看
cxkz 橱
cxl 樗
cxlb 村落
cxlc 材料厂
cxlf 材料费
cxlg 村里
cxli 材料
cxlm 樗
cxlx 栅栏
cxm 郴
cxmk 楚
cxmn 村民
cxms 查明
cxnl 创新能力
cxo 檫
cxo, 檫
cxq 杵
cxq. 枨
cxqa 棰
cxqc 查清
cxqd 春夏秋冬
cxqj 杵
cxrm 城乡人民
cxry 称心如意
cxs 查
cxsc 垂涎三尺
cxsf 村舍
cxsj 程序设计
cxsm 查收
cxso 查实
cxsq 查税
cxsr 查杀
cxst 橙色
cxsw 长袖善舞
cxsx 椿树
cxsz 查
cxt 栅
cxto 村头
cxtt 栅
cxtx 促膝谈心
cxtz 长线投资
cxw 槌
cxwd 持续稳定
cxwh 村委会
cxwn 槌
cxwq 村委
cxwu 查问
cxwx 痴心妄想
cxwz 畅行无阻
cxx 楂
cxxn 查寻
cxxp 查询
cxxs 楂
cxxz 成效显著
cxy 榇
cxy/ 查验
cxyd 馋涎欲滴
cxyg 榱
cxyh 储蓄银行
cxyi 榇
cxyu 查阅
cxze 材质
cxzg 查账
cxzm 村子
cxzo 村寨
cxzp 查证
cxzq 村长
cxzu 查找
cxzy 村庄
cxzz 村镇
cy 次
cy. 充
cy.; 瘳
cy.t 充
cy; 瓷
cy;. 瓷
cya 疵
cyaa 疵
cyar 春意盎然
cyb, 床边
cybj 迟疑不决
cybx 出言不逊
cyby 疮疤
cyce 充斥
cycj 冲刺
cyck 凑成
cycl 产出率
cycm 冲出
cycm 产出
cycq 冲程
cycw 愁云惨雾
cycy 痤疮
cyd; 冲到
cydb 残垣断壁
cydc 冲淡
cydf 充当
cydg 充电
cydh 冲动
cydh 颤动
cydi 床单
cydl 痴呆
cydm 穿衣戴帽
cydq 充电器
cydq 次第
cyds 长远打算
cydu 颤抖
cydv 产地
cyf 疮
cyf, 产妇
cyf/ 疮
cyff 痤
cyfh 茶余饭后
cyfp 产房
cyfq 冲锋枪
cyfr 充分
cyfy 次方
cyfz 冲锋
cyg 冲
cygh 廛
cygj 畜
cygj 冲
cygr 充公
cygs 察言观色
cygx 产供销
cygy 冲高
cyh 凑
cyhe 产后
cyhf 凑合
cyhj 瘛
cyhk 凑
cyhw 冲毁
cyi 产
cyih 瘥
cyiz 产
cyj, 床架
cyj/ 次级
cyjb 冲击波
cyjd 产业基地
cyje 凑近
cyjf 产假
cyjg 产业结构
cyjh 冲击
cyjh 冲进
cyjl 冲击力
cyjp 充军
cyjq 冲积
cyjt 充饥
cyjy 冲剂
cyk 颤
cykg 颤
cykq 产科
cykt 痴狂
cykv 冲垮
cyl 啻
cylc 冲浪
cyli 产粮
cylq 产粮区
cyls 产量
cylt 产卵
cyly 长远利益
cyly 沉鱼落雁
cymb 长远目标
cymc 充满
cymi 痴迷
cymw 崇洋媚外
cymz 充满着
cyn, 产奶
cynq 次年
cynr 出淤泥而不染
cypc 充沛
cypk 冲破
cypl 产品
cyps 产品税
cypz 床铺
cyq 痴
cyqi 床前
cyqj 凑巧
cyqk 痴
cyql 充其量
cyql 瓷器
cyqo 痴情
cyqq 充气
cyqx 产权
cyqz 凑钱
cyqz 产区
cyrf 充任
cyrn 凑热闹
cyrr 冲入
cyrs 次日
cyry 从业人员
cys/ 冲绳
cysa 床上
cysg 充水
cysi 次数
cysi 凑数
cysi 充数
cysn 冲刷
cyso 充实
cysq 产生
cysq 畜生
cysq 畜牲
cysr 冲杀
cysy 产生于
cyt 鹑
cytf 次
cytg 床头柜
cyth 冲天
cyto 冲突
cytp 鹑
cytv 充填
cywf 床位
cywn 出于无奈
cywq 产物
cyx 床
cyxc 冲洗
cyxj 床下
cyxl 产销量
cyxp 痴心
cyxw 冲向
cyxy 次序
cyxz 产销
cyy 瘁
cyy, 充盈
cyyb 产业部
cyyc 产油
cyyf 瘁
cyyg 产油国
cyyh 产业化
cyyj 次要
cyyk 冲压
cyyp 充裕
cyys 产业
cyyt 冲印
cyyy 颤音
cyyy 持有异议
cyzc 产业政策
cyzf 产值
cyzf 充值
cyzg 床罩
cyzi 冲着
cyzk 瓷砖
cyzl 充足
cyzp 次之
cyzu 冲撞
cyzv 冲走
cyzx 恻隐之心
cz 错
cz. 钗
cz.v 钗
czao 错案
czbm 财政部门
czbt 财政补贴
czbx 常抓不懈
czbz 错别字
czcb 锄草
czcf 创造财富
czcl 潮涨潮落
czcm 铲除
czct 错处
czcz 财政赤字
czd 钞
czd, 锉刀
czdb 穿着打扮
czdh 传真电话
czdi 钞
czdj 沉重打击
czdw 从早到晚
czdy 粗枝大叶
czf 锉
czfd 财政负担
czff 锉
czfh 穿凿附会
czft 铛
czfy 叱咤风云
czfz 错综复杂
czg 锄
czgc 操作规程
czgh 锄
czgj 错过
czgj 操之过急
czgj 初战告捷
czgo 错怪
czgr 才智过人
czhm 传真号码
czhp 错话
czj 豉
czj. 豉
czja 长治久安
czja 错
czjd 传宗接代
czjm 镡
czjo 错觉
czjr 财政金融
czk 铖
czk/ 铖
czkh 错开
czkn 财政困难
czkz 财政开支
czlb 错落
czli 锤炼
czlq 错乱
czlz 粗制滥造
czmf 擦脂抹粉
czmk 错码
czo 镲
czo, 镩
czo, 镲
czpj 钞票
czq 锤
czqa 锤
czqd 锸
czqg 重整旗鼓
czrk 城镇人口
czsj 错事
czsq 错失
czsr 财政收入
cztj 创造条件
czto 锄头
cztr 处之泰然
czts 从总体上
czw 钏
czwf 错位
czwj 财政危机
czwl 错误率
czwp 错误
czwt 存在问题
czwx 钏
czxt 操作系统
czy 铲
czy. 铳
czyb 嗤之以鼻
czyh 持之以恒
czyh 姹紫嫣红
czyi 铲
czys 财政预算
czyx 穿针引线
czyz 参政议政
czz/ 错综
czzc 财政支出
czzc 财政政策
czzk 财政状况
czzm 锤子
czzm 铲子
czzo 错字
